t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1758499200000,2025-09-22 23:59:59.999,0G,1d,3.7154,4.7488,6.6666,3.1181,9990344.0,58250,0G,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758585600000,2025-09-23 23:59:59.999,0G,1d,4.74,5.5925,5.6109,4.506,965678.0,6882,0G,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758672000000,2025-09-24 23:59:59.999,0G,1d,5.7178,5.3782,5.8289,5.2668,561544.0,5154,0G,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758758400000,2025-09-25 23:59:59.999,0G,1d,4.9893,4.5444,4.9895,4.5312,181483.0,1990,0G,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758844800000,2025-09-26 23:59:59.999,0G,1d,3.8646,4.0296,4.28,3.82,661486.0,9926,0G,6.6666,3.1181,4.89235,,,,,,,,,,,,,,,,,,,,,,,,
1758931200000,2025-09-27 23:59:59.999,0G,1d,3.6728,3.642,3.749,3.564,46927.0,609,0G,5.8289,3.564,4.6964500000000005,,,,,,,,,,,,,,,,,,,,,,,,
1759017600000,2025-09-28 23:59:59.999,0G,1d,3.7186,3.5238,3.7672,3.5045,21523.0,422,0G,5.8289,3.5045,4.6667000000000005,,,,,,,,,,,,,,,,,,,,,,,,
1759104000000,2025-09-29 23:59:59.999,0G,1d,3.7213,3.5343,3.7223,3.5328,53500.0,474,0G,4.9895,3.5045,4.247,,,,,,,,,,,,,,,,,,,,,,,,
1759190400000,2025-09-30 23:59:59.999,0G,1d,2.8586,2.6773,2.8735,2.6368,201243.0,1489,0G,4.28,2.6368,3.4584,,,,,,,,,,,,,,,,,,,,,,,,
1759276800000,2025-10-01 23:59:59.999,0G,1d,2.5147,2.6849,2.9866,2.4979,932045.0,7164,0G,3.7672,2.4979,3.13255,6.6666,2.4979,4.58225,,,,,,,,,,,,,,,,,,,,,
1759363200000,2025-10-02 23:59:59.999,0G,1d,2.758,2.7698,2.8358,2.711,125365.0,1152,0G,3.7672,2.4979,3.13255,5.8289,2.4979,4.1634,,,,,,,,,,,,,,,,,,,,,
1759449600000,2025-10-03 23:59:59.999,0G,1d,2.7,2.787,2.851,2.665,139365.0,1627,0G,3.7223,2.4979,3.1101,5.8289,2.4979,4.1634,,,,,,,,,,,,,,,,,,,,,
1759536000000,2025-10-04 23:59:59.999,0G,1d,3.3339,3.1394,3.3339,3.1131,53087.0,606,0G,3.3339,2.4979,2.9158999999999997,4.9895,2.4979,3.7436999999999996,,,,,,,,,,,,,,,,,,,,,
1759622400000,2025-10-05 23:59:59.999,0G,1d,2.9824,2.9386,2.9824,2.8679,85064.0,695,0G,3.3339,2.4979,2.9158999999999997,4.28,2.4979,3.3889500000000004,,,,,,,,,,,,,,,,,,,,,
1759708800000,2025-10-06 23:59:59.999,0G,1d,2.8653,3.1175,3.2004,2.8632,300853.0,2535,0G,3.3339,2.665,2.99945,3.7672,2.4979,3.13255,,,,,,,,,,,,,,,,,,,,,
1759795200000,2025-10-07 23:59:59.999,0G,1d,3.0527,2.945,3.0527,2.9307,20217.0,262,0G,3.3339,2.665,2.99945,3.7672,2.4979,3.13255,,,,,,,,,,,,,,,,,,,,,
