t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,AAVE,1d,74.6,70.23,78.12,70.22,0.0,0,AAVE
1688688000000,2023-07-07 23:59:59.999,AAVE,1d,70.23,74.71,74.96,69.2,0.0,0,AAVE
1688774400000,2023-07-08 23:59:59.999,AAVE,1d,74.72,73.57,77.28,72.67,0.0,0,AAVE
1688860800000,2023-07-09 23:59:59.999,AAVE,1d,73.56,71.8,74.5,71.38,0.0,0,AAVE
1688947200000,2023-07-10 23:59:59.999,AAVE,1d,71.8,69.27,71.91,68.69,0.0,0,AAVE
1689033600000,2023-07-11 23:59:59.999,AAVE,1d,69.27,73.3,74.43,68.86,0.0,0,AAVE
1689120000000,2023-07-12 23:59:59.999,AAVE,1d,73.3,75.61,77.35,73.14,0.0,0,AAVE
1689206400000,2023-07-13 23:59:59.999,AAVE,1d,75.61,79.16,79.36,74.51,0.0,0,AAVE
1689292800000,2023-07-14 23:59:59.999,AAVE,1d,79.16,81.08,88.13,77.74,0.0,0,AAVE
1689379200000,2023-07-15 23:59:59.999,AAVE,1d,81.09,78.97,82.77,77.8,0.0,0,AAVE
1689465600000,2023-07-16 23:59:59.999,AAVE,1d,78.97,76.82,79.7,76.14,0.0,0,AAVE
1689552000000,2023-07-17 23:59:59.999,AAVE,1d,75.15,75.094,75.375,74.981,99.63,80,AAVE
1689638400000,2023-07-18 23:59:59.999,AAVE,1d,75.125,72.046,75.655,70.772,4835.7,2693,AAVE
1689724800000,2023-07-19 23:59:59.999,AAVE,1d,72.043,71.651,73.581,71.136,7275.33,2655,AAVE
1689811200000,2023-07-20 23:59:59.999,AAVE,1d,71.671,72.425,75.235,71.261,15429.47,3089,AAVE
1689897600000,2023-07-21 23:59:59.999,AAVE,1d,72.49,74.342,75.536,71.745,11582.56,2883,AAVE
1689984000000,2023-07-22 23:59:59.999,AAVE,1d,74.344,71.71,74.991,70.933,9169.2,2873,AAVE
1690070400000,2023-07-23 23:59:59.999,AAVE,1d,71.682,72.232,73.32,71.252,7550.07,2839,AAVE
1690156800000,2023-07-24 23:59:59.999,AAVE,1d,72.208,70.24,72.671,67.937,11226.4,2975,AAVE
1690243200000,2023-07-25 23:59:59.999,AAVE,1d,70.271,70.099,71.633,69.716,10033.79,2911,AAVE
1690329600000,2023-07-26 23:59:59.999,AAVE,1d,70.071,72.005,73.125,69.131,13188.43,3037,AAVE
1690416000000,2023-07-27 23:59:59.999,AAVE,1d,72.036,72.467,75.123,71.532,16981.36,2920,AAVE
1690502400000,2023-07-28 23:59:59.999,AAVE,1d,72.461,72.783,73.829,72.253,10133.83,2791,AAVE
1690588800000,2023-07-29 23:59:59.999,AAVE,1d,72.782,74.288,74.977,72.074,9188.5,2838,AAVE
