t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1702857600000,2023-12-18 23:59:59.999,ACE,1d,15.646,13.939,15.661,12.3,113305.85,1402,ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702944000000,2023-12-19 23:59:59.999,ACE,1d,13.921,13.276,15.035,12.441,185902.04,15274,ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703030400000,2023-12-20 23:59:59.999,ACE,1d,13.309,13.405,13.751,12.067,226829.8,3923,ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703116800000,2023-12-21 23:59:59.999,ACE,1d,13.453,15.393,17.257,12.677,284345.87,6165,ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703203200000,2023-12-22 23:59:59.999,ACE,1d,15.402,13.284,16.286,12.434,108241.38,4213,ACE,17.257,12.067,14.662,,,,,,,,,,,,,,,,,,,,,,,,
1703289600000,2023-12-23 23:59:59.999,ACE,1d,13.248,13.335,14.034,12.608,142662.33,3202,ACE,17.257,12.067,14.662,,,,,,,,,,,,,,,,,,,,,,,,
1703376000000,2023-12-24 23:59:59.999,ACE,1d,13.358,12.685,13.543,12.161,119307.55,2759,ACE,17.257,12.067,14.662,,,,,,,,,,,,,,,,,,,,,,,,
1703462400000,2023-12-25 23:59:59.999,ACE,1d,12.667,13.733,14.246,12.531,110697.72,2862,ACE,17.257,12.161,14.709,,,,,,,,,,,,,,,,,,,,,,,,
1703548800000,2023-12-26 23:59:59.999,ACE,1d,13.729,11.722,14.267,10.273,177908.69,3701,ACE,16.286,10.273,13.2795,,,,,,,,,,,,,,,,,,,,,,,,
1703635200000,2023-12-27 23:59:59.999,ACE,1d,11.742,11.18,11.991,10.721,92371.16,2640,ACE,14.267,10.273,12.27,17.257,10.273,13.765,,,,,,,,,,,,,,,,,,,,,
1703721600000,2023-12-28 23:59:59.999,ACE,1d,11.156,10.749,11.401,10.337,129695.68,2965,ACE,14.267,10.273,12.27,17.257,10.273,13.765,,,,,,,,,,,,,,,,,,,,,
1703808000000,2023-12-29 23:59:59.999,ACE,1d,10.762,11.134,11.192,10.055,113365.12,2956,ACE,14.267,10.055,12.161,17.257,10.055,13.656,,,,,,,,,,,,,,,,,,,,,
1703894400000,2023-12-30 23:59:59.999,ACE,1d,11.132,10.323,11.261,10.268,82893.63,2397,ACE,14.267,10.055,12.161,17.257,10.055,13.656,,,,,,,,,,,,,,,,,,,,,
1703980800000,2023-12-31 23:59:59.999,ACE,1d,10.331,9.3366,10.709,8.6562,118279.67,2616,ACE,11.991,8.6562,10.323599999999999,16.286,8.6562,12.4711,,,,,,,,,,,,,,,,,,,,,
1704067200000,2024-01-01 23:59:59.999,ACE,1d,9.3255,9.5406,9.644,8.9694,156973.89,2438,ACE,11.401,8.6562,10.0286,14.267,8.6562,11.4616,,,,,,,,,,,,,,,,,,,,,
1704153600000,2024-01-02 23:59:59.999,ACE,1d,9.5332,9.7954,11.346,9.3127,346880.37,3855,ACE,11.346,8.6562,10.001100000000001,14.267,8.6562,11.4616,,,,,,,,,,,,,,,,,,,,,
1704240000000,2024-01-03 23:59:59.999,ACE,1d,9.7986,8.34,10.074,7.0,414111.27,3890,ACE,11.346,7.0,9.173,14.267,7.0,10.6335,,,,,,,,,,,,,,,,,,,,,
1704326400000,2024-01-04 23:59:59.999,ACE,1d,8.3484,8.6962,8.9887,7.9024,288414.24,2895,ACE,11.346,7.0,9.173,14.267,7.0,10.6335,,,,,,,,,,,,,,,,,,,,,
