t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1734652800000,2024-12-20 23:59:59.999,AIXBT,1d,0.2585,0.32062,0.36852,0.2585,0.0,0,AIXBT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734739200000,2024-12-21 23:59:59.999,AIXBT,1d,0.32105,0.30318,0.37997,0.29355,0.0,0,AIXBT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734825600000,2024-12-22 23:59:59.999,AIXBT,1d,0.30322,0.27335,0.31421,0.26532,0.0,0,AIXBT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734912000000,2024-12-23 23:59:59.999,AIXBT,1d,0.27338,0.33174,0.33775,0.26193,0.0,0,AIXBT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734998400000,2024-12-24 23:59:59.999,AIXBT,1d,0.33167,0.30687,0.34592,0.303,0.0,0,AIXBT,0.37997,0.2585,0.319235,,,,,,,,,,,,,,,,,,,,,,,,
1735084800000,2024-12-25 23:59:59.999,AIXBT,1d,0.30687,0.35577,0.36035,0.3,0.0,0,AIXBT,0.37997,0.26193,0.32094999999999996,,,,,,,,,,,,,,,,,,,,,,,,
1735171200000,2024-12-26 23:59:59.999,AIXBT,1d,0.35578,0.35477,0.3798,0.338,0.0,0,AIXBT,0.3798,0.26193,0.320865,,,,,,,,,,,,,,,,,,,,,,,,
1735257600000,2024-12-27 23:59:59.999,AIXBT,1d,0.35495,0.36155,0.3917,0.31188,0.0,0,AIXBT,0.3917,0.26193,0.32681499999999997,,,,,,,,,,,,,,,,,,,,,,,,
1735344000000,2024-12-28 23:59:59.999,AIXBT,1d,0.36154,0.41402,0.426,0.3454,0.0,0,AIXBT,0.426,0.3,0.363,,,,,,,,,,,,,,,,,,,,,,,,
1735430400000,2024-12-29 23:59:59.999,AIXBT,1d,0.41397,0.50165,0.52742,0.403,0.0,0,AIXBT,0.52742,0.3,0.41371,0.52742,0.2585,0.39296,,,,,,,,,,,,,,,,,,,,,
