t,timestamp,s,i,open,close,high,low,volume,n,asset
1704672000000,2024-01-08 23:59:59.999,AI,1d,1.39499,1.35999,1.51499,1.27,0.0,0,AI
1704758400000,2024-01-09 23:59:59.999,AI,1d,1.359,1.1578,1.438,1.08,0.0,0,AI
1704844800000,2024-01-10 23:59:59.999,AI,1d,1.15734,1.14409,1.2,0.90333,0.0,0,AI
1704931200000,2024-01-11 23:59:59.999,AI,1d,1.14437,1.11399,1.27373,1.0421,0.0,0,AI
1705017600000,2024-01-12 23:59:59.999,AI,1d,1.11383,1.02453,1.13934,0.95573,0.0,0,AI
1705104000000,2024-01-13 23:59:59.999,AI,1d,1.02444,1.0775,1.1216,0.97069,0.0,0,AI
1705190400000,2024-01-14 23:59:59.999,AI,1d,1.0775,1.21149,1.33333,1.07054,0.0,0,AI
1705276800000,2024-01-15 23:59:59.999,AI,1d,1.2116,1.40478,1.49962,1.1,0.0,0,AI
1705363200000,2024-01-16 23:59:59.999,AI,1d,1.40474,1.33768,1.49759,1.2757,0.0,0,AI
1705449600000,2024-01-17 23:59:59.999,AI,1d,1.33748,1.33307,1.41856,1.245,0.0,0,AI
1705536000000,2024-01-18 23:59:59.999,AI,1d,1.33304,1.1517,1.34143,1.11025,0.0,0,AI
1705622400000,2024-01-19 23:59:59.999,AI,1d,1.15216,1.07295,1.16434,0.99017,0.0,0,AI
1705708800000,2024-01-20 23:59:59.999,AI,1d,1.07304,1.09017,1.14227,1.05279,0.0,0,AI
1705795200000,2024-01-21 23:59:59.999,AI,1d,1.09018,1.16287,1.2266,1.07536,0.0,0,AI
1705881600000,2024-01-22 23:59:59.999,AI,1d,1.16239,1.0522,1.18993,1.04202,0.0,0,AI
1705968000000,2024-01-23 23:59:59.999,AI,1d,1.05253,1.01325,1.10339,0.9478,0.0,0,AI
1706054400000,2024-01-24 23:59:59.999,AI,1d,1.01336,1.09665,1.12521,1.0,0.0,0,AI
1706140800000,2024-01-25 23:59:59.999,AI,1d,1.09641,1.01317,1.10385,0.982,0.0,0,AI
1706227200000,2024-01-26 23:59:59.999,AI,1d,1.01302,1.12767,1.16,0.99179,0.0,0,AI
1706313600000,2024-01-27 23:59:59.999,AI,1d,1.12766,1.24282,1.32653,1.10406,0.0,0,AI
1706400000000,2024-01-28 23:59:59.999,AI,1d,1.24282,1.1713,1.27825,1.15083,0.0,0,AI
1706486400000,2024-01-29 23:59:59.999,AI,1d,1.17156,1.22678,1.2762,1.15564,0.0,0,AI
1706572800000,2024-01-30 23:59:59.999,AI,1d,1.2269,1.282,1.38,1.185,0.0,0,AI
1706659200000,2024-01-31 23:59:59.999,AI,1d,1.28223,1.19463,1.39888,1.18535,0.0,0,AI
1706745600000,2024-02-01 23:59:59.999,AI,1d,1.19459,1.14187,1.20462,1.11123,0.0,0,AI
1706832000000,2024-02-02 23:59:59.999,AI,1d,1.14191,1.17179,1.20302,1.133,0.0,0,AI
1706918400000,2024-02-03 23:59:59.999,AI,1d,1.17181,1.16725,1.21981,1.13828,0.0,0,AI
1707004800000,2024-02-04 23:59:59.999,AI,1d,1.16725,1.0961,1.176,1.06802,0.0,0,AI
1707091200000,2024-02-05 23:59:59.999,AI,1d,1.0961,1.08351,1.12452,1.05,0.0,0,AI
1707177600000,2024-02-06 23:59:59.999,AI,1d,1.08341,1.05113,1.09516,1.02063,0.0,0,AI
1707264000000,2024-02-07 23:59:59.999,AI,1d,1.05123,1.10347,1.12138,1.03686,0.0,0,AI
1707350400000,2024-02-08 23:59:59.999,AI,1d,1.10381,1.1066,1.17741,1.09944,0.0,0,AI
1707436800000,2024-02-09 23:59:59.999,AI,1d,1.10662,1.18521,1.20998,1.10662,0.0,0,AI
1707523200000,2024-02-10 23:59:59.999,AI,1d,1.18521,1.16181,1.22118,1.14628,0.0,0,AI
1707609600000,2024-02-11 23:59:59.999,AI,1d,1.16181,1.39148,1.44978,1.1584,0.0,0,AI
1707696000000,2024-02-12 23:59:59.999,AI,1d,1.39149,1.44718,1.54559,1.318,0.0,0,AI
1707782400000,2024-02-13 23:59:59.999,AI,1d,1.44732,1.65201,1.68371,1.39557,0.0,0,AI
1707868800000,2024-02-14 23:59:59.999,AI,1d,1.65212,1.6603,1.7975,1.592,0.0,0,AI
1707955200000,2024-02-15 23:59:59.999,AI,1d,1.66037,1.5956,1.69992,1.51169,0.0,0,AI
1708041600000,2024-02-16 23:59:59.999,AI,1d,1.59579,1.50357,1.72682,1.44444,0.0,0,AI
1708128000000,2024-02-17 23:59:59.999,AI,1d,1.50355,1.61148,1.63498,1.42556,0.0,0,AI
1708214400000,2024-02-18 23:59:59.999,AI,1d,1.61158,1.80849,1.93484,1.60818,0.0,0,AI
1708300800000,2024-02-19 23:59:59.999,AI,1d,1.7906,1.7382,1.7906,1.7038,1542649.0,1404,AI
1708387200000,2024-02-20 23:59:59.999,AI,1d,1.7388,1.7842,1.8484,1.5689,5358766.1,5425,AI
1708473600000,2024-02-21 23:59:59.999,AI,1d,1.7849,1.765,1.9197,1.5812,6539573.2,7094,AI
1708560000000,2024-02-22 23:59:59.999,AI,1d,1.7656,1.7571,1.894,1.6544,6119505.0,7047,AI
1708646400000,2024-02-23 23:59:59.999,AI,1d,1.7578,1.6097,1.8314,1.5839,4864017.6,5620,AI
1708732800000,2024-02-24 23:59:59.999,AI,1d,1.6105,1.6374,1.6711,1.5569,1520468.5,3353,AI
1708819200000,2024-02-25 23:59:59.999,AI,1d,1.6365,1.6646,1.7216,1.6177,1329424.4,3033,AI
1708905600000,2024-02-26 23:59:59.999,AI,1d,1.6649,1.6307,1.6839,1.5771,1642845.9,3680,AI
1708992000000,2024-02-27 23:59:59.999,AI,1d,1.6327,1.6605,1.7132,1.586,2101285.1,3837,AI
1709078400000,2024-02-28 23:59:59.999,AI,1d,1.6584,1.6935,1.8,1.405,6337003.9,8318,AI
1709164800000,2024-02-29 23:59:59.999,AI,1d,1.6917,1.5432,1.7486,1.5067,1659228.1,3201,AI
1709251200000,2024-03-01 23:59:59.999,AI,1d,1.5437,1.7878,1.8488,1.5437,4939317.8,5995,AI
1709337600000,2024-03-02 23:59:59.999,AI,1d,1.7901,1.804,1.8585,1.723,3562785.5,4171,AI
1709424000000,2024-03-03 23:59:59.999,AI,1d,1.8085,1.7325,1.9082,1.5956,3445682.1,3989,AI
1709510400000,2024-03-04 23:59:59.999,AI,1d,1.7324,1.651,1.7665,1.6051,12557020.7,5981,AI
1709596800000,2024-03-05 23:59:59.999,AI,1d,1.6531,1.5089,1.7104,1.282,3977059.7,5698,AI
1709683200000,2024-03-06 23:59:59.999,AI,1d,1.5046,1.8352,1.8987,1.4381,3604519.3,4291,AI
1709769600000,2024-03-07 23:59:59.999,AI,1d,1.8369,2.0163,2.2706,1.7865,3571320.0,7218,AI
1709856000000,2024-03-08 23:59:59.999,AI,1d,2.0152,2.0602,2.2266,1.8496,3101399.1,4697,AI
1709942400000,2024-03-09 23:59:59.999,AI,1d,2.0593,2.2694,2.3807,2.0177,2780056.0,4141,AI
1710028800000,2024-03-10 23:59:59.999,AI,1d,2.2551,2.0673,2.3001,2.0036,1852583.3,3436,AI
1710115200000,2024-03-11 23:59:59.999,AI,1d,2.0636,2.0214,2.1215,1.922,1126774.1,2883,AI
1710201600000,2024-03-12 23:59:59.999,AI,1d,2.0219,1.992,2.1466,1.851,1575780.5,3116,AI
1710288000000,2024-03-13 23:59:59.999,AI,1d,1.9906,1.9773,2.0524,1.9155,1156493.5,2776,AI
1710374400000,2024-03-14 23:59:59.999,AI,1d,1.9755,2.0226,2.0434,1.823,1859588.9,3763,AI
1710460800000,2024-03-15 23:59:59.999,AI,1d,2.0218,1.8525,2.0811,1.671,3858792.8,4366,AI
1710547200000,2024-03-16 23:59:59.999,AI,1d,1.8564,1.7304,1.9783,1.6878,3162787.5,3469,AI
1710633600000,2024-03-17 23:59:59.999,AI,1d,1.7389,1.971,2.0365,1.622,2675723.0,3347,AI
1710720000000,2024-03-18 23:59:59.999,AI,1d,1.9703,1.762,2.0787,1.7322,3578362.3,3439,AI
1710806400000,2024-03-19 23:59:59.999,AI,1d,1.7609,1.5579,1.7884,1.5127,4592548.3,3797,AI
1710892800000,2024-03-20 23:59:59.999,AI,1d,1.5546,1.7206,1.744,1.4831,4346456.0,3434,AI
1710979200000,2024-03-21 23:59:59.999,AI,1d,1.7191,1.7203,1.7516,1.6391,2093918.7,3273,AI
1711065600000,2024-03-22 23:59:59.999,AI,1d,1.7215,1.6465,1.746,1.5893,2319801.5,3206,AI
1711152000000,2024-03-23 23:59:59.999,AI,1d,1.6434,1.6582,1.7246,1.6162,2924822.6,2957,AI
1711238400000,2024-03-24 23:59:59.999,AI,1d,1.6571,1.7075,1.7271,1.6148,680382.2,2461,AI
1711324800000,2024-03-25 23:59:59.999,AI,1d,1.7101,1.7767,1.8257,1.6952,1187144.0,2868,AI
1711411200000,2024-03-26 23:59:59.999,AI,1d,1.7772,1.7678,1.8519,1.7139,1345973.2,2882,AI
1711497600000,2024-03-27 23:59:59.999,AI,1d,1.7669,1.8823,1.9476,1.7222,2687851.9,4489,AI
1711584000000,2024-03-28 23:59:59.999,AI,1d,1.8825,1.8649,1.897,1.7835,1213987.1,3108,AI
1711670400000,2024-03-29 23:59:59.999,AI,1d,1.8633,1.7874,1.8633,1.7488,642898.0,2523,AI
1711756800000,2024-03-30 23:59:59.999,AI,1d,1.7873,1.7154,1.8058,1.7016,652635.5,2325,AI
1711843200000,2024-03-31 23:59:59.999,AI,1d,1.7139,1.7405,1.7615,1.7058,370928.9,2190,AI
1711929600000,2024-04-01 23:59:59.999,AI,1d,1.7389,1.6599,1.7501,1.5924,1414860.6,2729,AI
1712016000000,2024-04-02 23:59:59.999,AI,1d,1.6606,1.565,1.6694,1.5149,965579.9,2518,AI
1712102400000,2024-04-03 23:59:59.999,AI,1d,1.5625,1.5356,1.6151,1.504,826531.0,2393,AI
1712188800000,2024-04-04 23:59:59.999,AI,1d,1.5353,1.5419,1.6029,1.4834,655237.9,2293,AI
1712275200000,2024-04-05 23:59:59.999,AI,1d,1.5402,1.4718,1.5515,1.4034,1560920.0,2539,AI
1712361600000,2024-04-06 23:59:59.999,AI,1d,1.4697,1.4899,1.5037,1.4609,1808566.7,2607,AI
1712448000000,2024-04-07 23:59:59.999,AI,1d,1.4887,1.5346,1.5768,1.4875,1941165.7,2658,AI
1712534400000,2024-04-08 23:59:59.999,AI,1d,1.535,1.591,1.6046,1.4965,2687907.7,4068,AI
1712620800000,2024-04-09 23:59:59.999,AI,1d,1.5906,1.4576,1.5971,1.4544,1622735.3,4239,AI
1712707200000,2024-04-10 23:59:59.999,AI,1d,1.4575,1.4558,1.4735,1.3772,2713604.1,4083,AI
1712793600000,2024-04-11 23:59:59.999,AI,1d,1.4568,1.4097,1.4673,1.3968,2256271.7,3242,AI
1712880000000,2024-04-12 23:59:59.999,AI,1d,1.4084,1.1077,1.4384,0.96689,3416317.5,4066,AI
1712966400000,2024-04-13 23:59:59.999,AI,1d,1.1064,0.86776,1.114,0.73888,7309840.5,5839,AI
1713052800000,2024-04-14 23:59:59.999,AI,1d,0.86722,0.98241,1.0092,0.81601,3238258.2,4252,AI
1713139200000,2024-04-15 23:59:59.999,AI,1d,0.9776,0.91254,1.0189,0.86848,2105106.0,4740,AI
1713225600000,2024-04-16 23:59:59.999,AI,1d,0.91194,0.9163,0.93297,0.86454,3597301.1,4472,AI
1713312000000,2024-04-17 23:59:59.999,AI,1d,0.91645,0.89847,0.93693,0.8541,2776538.4,4303,AI
1713398400000,2024-04-18 23:59:59.999,AI,1d,0.89849,0.9219,0.93573,0.87328,2035492.1,8475,AI
