t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,ALGO,1d,0.1198,0.1129,0.1225,0.1127,0.0,0,ALGO
1688688000000,2023-07-07 23:59:59.999,ALGO,1d,0.1129,0.1122,0.1145,0.111,0.0,0,ALGO
1688774400000,2023-07-08 23:59:59.999,ALGO,1d,0.1122,0.1115,0.1132,0.1092,0.0,0,ALGO
1688860800000,2023-07-09 23:59:59.999,ALGO,1d,0.1115,0.1103,0.1129,0.1099,0.0,0,ALGO
1688947200000,2023-07-10 23:59:59.999,ALGO,1d,0.1104,0.1098,0.1124,0.1066,0.0,0,ALGO
1689033600000,2023-07-11 23:59:59.999,ALGO,1d,0.1099,0.1086,0.1114,0.1054,0.0,0,ALGO
1689120000000,2023-07-12 23:59:59.999,ALGO,1d,0.1086,0.1058,0.111,0.1052,0.0,0,ALGO
1689206400000,2023-07-13 23:59:59.999,ALGO,1d,0.1058,0.1218,0.1222,0.1025,0.0,0,ALGO
1689292800000,2023-07-14 23:59:59.999,ALGO,1d,0.1219,0.1135,0.1236,0.1096,0.0,0,ALGO
1689379200000,2023-07-15 23:59:59.999,ALGO,1d,0.1134,0.1136,0.1156,0.1113,0.0,0,ALGO
1689465600000,2023-07-16 23:59:59.999,ALGO,1d,0.1136,0.1155,0.1215,0.1111,0.0,0,ALGO
1689552000000,2023-07-17 23:59:59.999,ALGO,1d,0.1156,0.1202,0.1262,0.1143,0.0,0,ALGO
1689638400000,2023-07-18 23:59:59.999,ALGO,1d,0.1203,0.1139,0.1206,0.1115,0.0,0,ALGO
1689724800000,2023-07-19 23:59:59.999,ALGO,1d,0.114,0.1138,0.1163,0.1116,0.0,0,ALGO
1689811200000,2023-07-20 23:59:59.999,ALGO,1d,0.1138,0.1152,0.1184,0.1125,0.0,0,ALGO
1689897600000,2023-07-21 23:59:59.999,ALGO,1d,0.1151,0.1154,0.1165,0.1132,0.0,0,ALGO
1689984000000,2023-07-22 23:59:59.999,ALGO,1d,0.1155,0.1146,0.117,0.1131,0.0,0,ALGO
1690070400000,2023-07-23 23:59:59.999,ALGO,1d,0.1145,0.1157,0.1174,0.1133,0.0,0,ALGO
1690156800000,2023-07-24 23:59:59.999,ALGO,1d,0.1157,0.1098,0.1162,0.1069,0.0,0,ALGO
1690243200000,2023-07-25 23:59:59.999,ALGO,1d,0.1098,0.1098,0.1103,0.1083,0.0,0,ALGO
1690329600000,2023-07-26 23:59:59.999,ALGO,1d,0.1098,0.1109,0.1125,0.1077,0.0,0,ALGO
1690416000000,2023-07-27 23:59:59.999,ALGO,1d,0.1108,0.11,0.1128,0.109,0.0,0,ALGO
1690502400000,2023-07-28 23:59:59.999,ALGO,1d,0.1099,0.1105,0.1114,0.1079,0.0,0,ALGO
1690588800000,2023-07-29 23:59:59.999,ALGO,1d,0.1105,0.1114,0.1118,0.1096,0.0,0,ALGO
1690675200000,2023-07-30 23:59:59.999,ALGO,1d,0.1114,0.1096,0.1125,0.1073,0.0,0,ALGO
1690761600000,2023-07-31 23:59:59.999,ALGO,1d,0.1095,0.1098,0.111,0.1079,0.0,0,ALGO
1690848000000,2023-08-01 23:59:59.999,ALGO,1d,0.1097,0.111,0.1112,0.1045,0.0,0,ALGO
1690934400000,2023-08-02 23:59:59.999,ALGO,1d,0.1109,0.1069,0.1112,0.1055,0.0,0,ALGO
1691020800000,2023-08-03 23:59:59.999,ALGO,1d,0.1068,0.1063,0.1082,0.1055,0.0,0,ALGO
1691107200000,2023-08-04 23:59:59.999,ALGO,1d,0.1063,0.106,0.1078,0.1043,0.0,0,ALGO
1691193600000,2023-08-05 23:59:59.999,ALGO,1d,0.106,0.1065,0.1069,0.1044,0.0,0,ALGO
1691280000000,2023-08-06 23:59:59.999,ALGO,1d,0.1065,0.1098,0.1105,0.1062,0.0,0,ALGO
1691366400000,2023-08-07 23:59:59.999,ALGO,1d,0.1097,0.1119,0.1121,0.1071,0.0,0,ALGO
1691452800000,2023-08-08 23:59:59.999,ALGO,1d,0.1119,0.113,0.119,0.1116,0.0,0,ALGO
1691539200000,2023-08-09 23:59:59.999,ALGO,1d,0.1131,0.113,0.1146,0.1113,0.0,0,ALGO
1691625600000,2023-08-10 23:59:59.999,ALGO,1d,0.1129,0.1126,0.1135,0.1111,0.0,0,ALGO
1691712000000,2023-08-11 23:59:59.999,ALGO,1d,0.1125,0.1123,0.1138,0.1112,0.0,0,ALGO
1691798400000,2023-08-12 23:59:59.999,ALGO,1d,0.1123,0.1158,0.116,0.1117,0.0,0,ALGO
1691884800000,2023-08-13 23:59:59.999,ALGO,1d,0.1158,0.1169,0.1178,0.1131,0.0,0,ALGO
1691971200000,2023-08-14 23:59:59.999,ALGO,1d,0.1168,0.1151,0.1188,0.1143,0.0,0,ALGO
1692057600000,2023-08-15 23:59:59.999,ALGO,1d,0.1151,0.1083,0.1152,0.1036,0.0,0,ALGO
1692144000000,2023-08-16 23:59:59.999,ALGO,1d,0.1082,0.1027,0.1085,0.0978,0.0,0,ALGO
1692230400000,2023-08-17 23:59:59.999,ALGO,1d,0.1026,0.093,0.1042,0.0816,0.0,0,ALGO
1692316800000,2023-08-18 23:59:59.999,ALGO,1d,0.093,0.0953,0.097,0.0922,0.0,0,ALGO
1692403200000,2023-08-19 23:59:59.999,ALGO,1d,0.0952,0.0966,0.0981,0.0946,0.0,0,ALGO
1692489600000,2023-08-20 23:59:59.999,ALGO,1d,0.0965,0.0971,0.0976,0.0959,0.0,0,ALGO
1692576000000,2023-08-21 23:59:59.999,ALGO,1d,0.0971,0.0963,0.0973,0.0928,0.0,0,ALGO
1692662400000,2023-08-22 23:59:59.999,ALGO,1d,0.0962,0.0971,0.0972,0.0921,0.0,0,ALGO
1692748800000,2023-08-23 23:59:59.999,ALGO,1d,0.0971,0.0985,0.0998,0.0959,0.0,0,ALGO
1692835200000,2023-08-24 23:59:59.999,ALGO,1d,0.0986,0.0974,0.0989,0.0951,0.0,0,ALGO
1692921600000,2023-08-25 23:59:59.999,ALGO,1d,0.0973,0.0969,0.0978,0.095,0.0,0,ALGO
1693008000000,2023-08-26 23:59:59.999,ALGO,1d,0.0968,0.0954,0.097,0.0951,0.0,0,ALGO
1693094400000,2023-08-27 23:59:59.999,ALGO,1d,0.0954,0.0951,0.096,0.0944,0.0,0,ALGO
1693180800000,2023-08-28 23:59:59.999,ALGO,1d,0.0952,0.0972,0.0978,0.0923,0.0,0,ALGO
1693267200000,2023-08-29 23:59:59.999,ALGO,1d,0.0972,0.1006,0.1019,0.0949,0.0,0,ALGO
1693353600000,2023-08-30 23:59:59.999,ALGO,1d,0.1005,0.0968,0.1008,0.0957,0.0,0,ALGO
1693440000000,2023-08-31 23:59:59.999,ALGO,1d,0.0967,0.093,0.0968,0.0906,0.0,0,ALGO
1693526400000,2023-09-01 23:59:59.999,ALGO,1d,0.093,0.0919,0.095,0.0902,0.0,0,ALGO
1693612800000,2023-09-02 23:59:59.999,ALGO,1d,0.0919,0.0943,0.0944,0.0915,0.0,0,ALGO
1693699200000,2023-09-03 23:59:59.999,ALGO,1d,0.0943,0.0945,0.095,0.0929,0.0,0,ALGO
1693785600000,2023-09-04 23:59:59.999,ALGO,1d,0.0945,0.0939,0.0963,0.0924,0.0,0,ALGO
1693872000000,2023-09-05 23:59:59.999,ALGO,1d,0.094,0.0941,0.0943,0.0929,0.0,0,ALGO
1693958400000,2023-09-06 23:59:59.999,ALGO,1d,0.094,0.0941,0.0948,0.0909,0.0,0,ALGO
1694044800000,2023-09-07 23:59:59.999,ALGO,1d,0.0941,0.0979,0.0981,0.0934,0.0,0,ALGO
1694131200000,2023-09-08 23:59:59.999,ALGO,1d,0.0978,0.0962,0.0985,0.0942,0.0,0,ALGO
1694217600000,2023-09-09 23:59:59.999,ALGO,1d,0.0962,0.094,0.0967,0.0939,0.0,0,ALGO
1694304000000,2023-09-10 23:59:59.999,ALGO,1d,0.0941,0.0919,0.0941,0.0885,0.0,0,ALGO
1694390400000,2023-09-11 23:59:59.999,ALGO,1d,0.0919,0.0885,0.0923,0.0872,0.0,0,ALGO
1694476800000,2023-09-12 23:59:59.999,ALGO,1d,0.0885,0.0895,0.0926,0.0883,0.0,0,ALGO
1694563200000,2023-09-13 23:59:59.999,ALGO,1d,0.0894,0.0908,0.0919,0.0889,0.0,0,ALGO
1694649600000,2023-09-14 23:59:59.999,ALGO,1d,0.0908,0.0934,0.0939,0.0904,0.0,0,ALGO
