t,timestamp,s,i,open,close,high,low,volume,n,asset
1706140800000,2024-01-25 23:59:59.999,ALT,1d,0.32125,0.32363,0.34886,0.302,10914990.0,2437,ALT
1706227200000,2024-01-26 23:59:59.999,ALT,1d,0.3231,0.3609,0.3755,0.30842,23806894.0,5469,ALT
1706313600000,2024-01-27 23:59:59.999,ALT,1d,0.3614,0.40681,0.44502,0.341,20202755.0,5471,ALT
1706400000000,2024-01-28 23:59:59.999,ALT,1d,0.40437,0.39529,0.45462,0.38811,17963703.0,5605,ALT
1706486400000,2024-01-29 23:59:59.999,ALT,1d,0.39583,0.44775,0.46357,0.39164,12806820.0,3992,ALT
1706572800000,2024-01-30 23:59:59.999,ALT,1d,0.44809,0.41682,0.45955,0.40684,18583257.0,5228,ALT
1706659200000,2024-01-31 23:59:59.999,ALT,1d,0.4213,0.35701,0.42864,0.35077,21129866.0,5622,ALT
1706745600000,2024-02-01 23:59:59.999,ALT,1d,0.35753,0.34499,0.35964,0.32716,16252095.0,4363,ALT
1706832000000,2024-02-02 23:59:59.999,ALT,1d,0.34499,0.34871,0.3755,0.33944,11903926.0,4130,ALT
1706918400000,2024-02-03 23:59:59.999,ALT,1d,0.35009,0.32535,0.35286,0.31925,7660892.0,3145,ALT
1707004800000,2024-02-04 23:59:59.999,ALT,1d,0.32472,0.30256,0.32711,0.29438,11837806.0,3760,ALT
1707091200000,2024-02-05 23:59:59.999,ALT,1d,0.30306,0.31413,0.33054,0.29179,15402950.0,3958,ALT
1707177600000,2024-02-06 23:59:59.999,ALT,1d,0.31429,0.30173,0.31455,0.29833,14897673.0,4189,ALT
1707264000000,2024-02-07 23:59:59.999,ALT,1d,0.30098,0.32411,0.3327,0.30098,10479226.0,4529,ALT
1707350400000,2024-02-08 23:59:59.999,ALT,1d,0.3246,0.33758,0.35726,0.31947,15689230.0,6320,ALT
1707436800000,2024-02-09 23:59:59.999,ALT,1d,0.339,0.35015,0.35886,0.3348,13948582.0,4796,ALT
1707523200000,2024-02-10 23:59:59.999,ALT,1d,0.35015,0.34634,0.37326,0.33765,10623167.0,4501,ALT
1707609600000,2024-02-11 23:59:59.999,ALT,1d,0.34596,0.34111,0.36581,0.3363,11599092.0,5024,ALT
1707696000000,2024-02-12 23:59:59.999,ALT,1d,0.34096,0.35049,0.36282,0.32344,17902556.0,6937,ALT
1707782400000,2024-02-13 23:59:59.999,ALT,1d,0.3509,0.34827,0.35851,0.33514,15577098.0,6173,ALT
1707868800000,2024-02-14 23:59:59.999,ALT,1d,0.34845,0.41098,0.41884,0.34129,14861159.0,9118,ALT
1707955200000,2024-02-15 23:59:59.999,ALT,1d,0.41128,0.38888,0.41703,0.37451,13370973.0,7016,ALT
1708041600000,2024-02-16 23:59:59.999,ALT,1d,0.38868,0.40382,0.4341,0.37332,21618081.0,9368,ALT
1708128000000,2024-02-17 23:59:59.999,ALT,1d,0.4045,0.42741,0.43153,0.3806,17430382.0,7448,ALT
