t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1758931200000,2025-09-27 23:59:59.999,APEX,1d,2.1379,1.9433,2.795,1.7,73912817.0,203463,APEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759017600000,2025-09-28 23:59:59.999,APEX,1d,1.9446,1.8158,2.0794,1.735,2909577.0,9196,APEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759104000000,2025-09-29 23:59:59.999,APEX,1d,2.1612,2.4191,2.57,2.0649,3598213.0,13641,APEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759190400000,2025-09-30 23:59:59.999,APEX,1d,1.7574,1.7896,1.8556,1.7,776691.0,3712,APEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759276800000,2025-10-01 23:59:59.999,APEX,1d,1.5339,1.5213,1.5993,1.4353,1509028.0,6254,APEX,2.795,1.4353,2.11515,,,,,,,,,,,,,,,,,,,,,,,,
1759363200000,2025-10-02 23:59:59.999,APEX,1d,1.7056,1.6424,1.7619,1.6263,1373785.0,7409,APEX,2.57,1.4353,2.00265,,,,,,,,,,,,,,,,,,,,,,,,
1759449600000,2025-10-03 23:59:59.999,APEX,1d,1.7816,1.7396,1.7834,1.7245,158154.0,905,APEX,2.57,1.4353,2.00265,,,,,,,,,,,,,,,,,,,,,,,,
1759536000000,2025-10-04 23:59:59.999,APEX,1d,2.049,2.1261,2.2285,2.0276,1383724.0,5755,APEX,2.2285,1.4353,1.8319,,,,,,,,,,,,,,,,,,,,,,,,
1759622400000,2025-10-05 23:59:59.999,APEX,1d,2.0004,1.9267,2.0011,1.8603,728310.0,2758,APEX,2.2285,1.4353,1.8319,,,,,,,,,,,,,,,,,,,,,,,,
1759708800000,2025-10-06 23:59:59.999,APEX,1d,1.9953,1.932,1.9953,1.9069,331600.0,1934,APEX,2.2285,1.6263,1.9274,2.795,1.4353,2.11515,,,,,,,,,,,,,,,,,,,,,
1759795200000,2025-10-07 23:59:59.999,APEX,1d,2.3241,2.2534,2.336,2.2453,413796.0,1747,APEX,2.336,1.7245,2.0302499999999997,2.57,1.4353,2.00265,,,,,,,,,,,,,,,,,,,,,
1759881600000,2025-10-08 23:59:59.999,APEX,1d,2.1749,2.1465,2.1825,2.1151,265360.0,1585,APEX,2.336,1.8603,2.09815,2.57,1.4353,2.00265,,,,,,,,,,,,,,,,,,,,,
