t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,APE,1d,1.9025,1.9923,2.0489,1.8963,9398658.3,10391,APE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,APE,1d,1.9936,1.9976,2.0381,1.9536,6980675.7,7533,APE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,APE,1d,1.9976,1.9296,2.0077,1.8436,12746854.7,11192,APE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,APE,1d,1.9307,1.9196,1.9322,1.8904,7778689.9,6937,APE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,APE,1d,1.9202,1.8801,1.9335,1.8551,3855070.0,4794,APE,2.0489,1.8436,1.94625,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,APE,1d,1.8796,2.0148,2.0298,1.8068,2839293.2,4816,APE,2.0381,1.8068,1.92245,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,APE,1d,2.0179,2.0428,2.3151,1.9785,3933172.8,5842,APE,2.3151,1.8068,2.06095,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,APE,1d,2.0403,2.0664,2.1158,2.0048,3831013.6,4902,APE,2.3151,1.8068,2.06095,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,APE,1d,2.0663,1.9802,2.0874,1.9551,3250981.6,4509,APE,2.3151,1.8068,2.06095,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,APE,1d,1.9789,1.9782,2.0352,1.9167,7041382.8,6761,APE,2.3151,1.8068,2.06095,2.3151,1.8068,2.06095,,,,,,,,,,,,,,,,,,,,,
