t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,ARB,1d,1.1315,1.1249,1.1495,1.11,281237.0,2624,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,ARB,1d,1.125,1.1242,1.1419,1.1205,356536.4,2592,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,ARB,1d,1.1243,1.1197,1.1432,1.0963,467808.3,2857,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,ARB,1d,1.1187,1.1261,1.1336,1.1106,280048.6,2565,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,ARB,1d,1.1265,1.1216,1.1386,1.1096,328690.2,2523,ARB,1.1495,1.0963,1.1229,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,ARB,1d,1.1206,1.224,1.2471,1.112,302579.8,2595,ARB,1.2471,1.0963,1.1717,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,ARB,1d,1.2242,1.2141,1.3303,1.1659,926968.0,2850,ARB,1.3303,1.0963,1.2133,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,ARB,1d,1.2142,1.2717,1.3343,1.205,445986.2,2798,ARB,1.3343,1.1096,1.22195,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,ARB,1d,1.2707,1.2717,1.3088,1.2345,373629.2,2723,ARB,1.3343,1.1096,1.22195,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,ARB,1d,1.2714,1.3042,1.3503,1.2518,614176.4,2789,ARB,1.3503,1.112,1.23115,1.3503,1.0963,1.2233,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,ARB,1d,1.3055,1.245,1.33,1.222,325401.1,2632,ARB,1.3503,1.1659,1.2581,1.3503,1.0963,1.2233,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,ARB,1d,1.2449,1.2658,1.2976,1.2291,329643.0,2617,ARB,1.3503,1.205,1.27765,1.3503,1.0963,1.2233,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,ARB,1d,1.2667,1.26,1.3114,1.2473,351936.4,2637,ARB,1.3503,1.222,1.2861500000000001,1.3503,1.1096,1.22995,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,ARB,1d,1.261,1.2332,1.298,1.2323,331297.9,2657,ARB,1.3503,1.222,1.2861500000000001,1.3503,1.1096,1.22995,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,ARB,1d,1.2329,1.2255,1.2516,1.214,192544.1,2601,ARB,1.33,1.214,1.272,1.3503,1.112,1.23115,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,ARB,1d,1.2251,1.2508,1.2687,1.2173,300316.3,2555,ARB,1.3114,1.214,1.2627,1.3503,1.1659,1.2581,,,,,,,,,,,,,,,,,,,,,
