t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,AR,1d,5.733,5.826,5.835,5.641,0.0,0,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,AR,1d,5.826,5.857,5.917,5.773,0.0,0,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,AR,1d,5.859,5.952,6.109,5.721,0.0,0,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,AR,1d,5.95,5.858,5.974,5.816,0.0,0,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,AR,1d,5.857,5.709,5.962,5.619,0.0,0,AR,6.109,5.619,5.864,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,AR,1d,5.708,6.1,6.199,5.65,0.0,0,AR,6.199,5.619,5.909,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,AR,1d,6.101,5.842,6.262,5.64,0.0,0,AR,6.262,5.619,5.9405,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,AR,1d,5.843,5.981,5.983,5.773,0.0,0,AR,6.262,5.619,5.9405,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,AR,1d,5.981,5.647,6.003,5.617,0.0,0,AR,6.262,5.617,5.9395,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,AR,1d,5.648,5.718,5.766,5.488,0.0,0,AR,6.262,5.488,5.875,6.262,5.488,5.875,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,AR,1d,5.719,5.681,5.773,5.533,0.0,0,AR,6.262,5.488,5.875,6.262,5.488,5.875,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,AR,1d,5.682,5.662,5.805,5.635,0.0,0,AR,6.003,5.488,5.7455,6.262,5.488,5.875,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,AR,1d,5.662,5.935,6.12,5.635,0.0,0,AR,6.12,5.488,5.804,6.262,5.488,5.875,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,AR,1d,5.934,5.883,6.111,5.849,0.0,0,AR,6.12,5.488,5.804,6.262,5.488,5.875,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,AR,1d,5.883,5.907,6.035,5.826,0.0,0,AR,6.12,5.533,5.8265,6.262,5.488,5.875,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,AR,1d,5.907,6.133,6.249,5.886,0.0,0,AR,6.249,5.635,5.942,6.262,5.488,5.875,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,AR,1d,6.133,5.662,6.162,5.615,0.0,0,AR,6.249,5.615,5.932,6.249,5.488,5.8685,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,AR,1d,5.662,5.6,5.687,5.552,0.0,0,AR,6.249,5.552,5.900499999999999,6.249,5.488,5.8685,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,AR,1d,5.599,5.634,5.725,5.475,0.0,0,AR,6.249,5.475,5.862,6.249,5.475,5.862,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,AR,1d,5.633,5.633,5.786,5.584,0.0,0,AR,6.249,5.475,5.862,6.249,5.475,5.862,6.262,5.475,5.868499999999999,,,,,,,,,,,,,,,,,,
