t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,ATOM,1d,9.1619,9.2036,9.2983,9.0868,32697.41,2662,ATOM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,ATOM,1d,9.2012,9.4246,9.6027,9.1785,37835.68,2569,ATOM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,ATOM,1d,9.4212,9.2387,9.4254,9.1795,43057.03,2747,ATOM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,ATOM,1d,9.2384,9.191,9.3591,9.1442,31355.84,2563,ATOM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,ATOM,1d,9.1924,9.0681,9.2849,8.9649,33945.18,2470,ATOM,9.6027,8.9649,9.2838,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,ATOM,1d,9.061,9.8887,9.9059,8.9383,38294.07,2597,ATOM,9.9059,8.9383,9.4221,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,ATOM,1d,9.9006,9.784,10.298,9.4303,49390.32,2745,ATOM,10.298,8.9383,9.61815,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,ATOM,1d,9.781,9.7091,9.9839,9.6319,28148.34,2603,ATOM,10.298,8.9383,9.61815,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,ATOM,1d,9.7043,9.3933,9.7235,9.3363,29150.11,2555,ATOM,10.298,8.9383,9.61815,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,ATOM,1d,9.3597,9.4246,9.6014,9.1591,37809.32,2602,ATOM,10.298,8.9383,9.61815,10.298,8.9383,9.61815,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,ATOM,1d,9.4265,9.2816,9.5145,9.0987,40877.58,2648,ATOM,10.298,9.0987,9.69835,10.298,8.9383,9.61815,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,ATOM,1d,9.2824,9.1762,9.4138,9.1267,61243.63,2758,ATOM,9.9839,9.0987,9.5413,10.298,8.9383,9.61815,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,ATOM,1d,9.1771,9.3617,9.5891,9.1426,58154.4,2815,ATOM,9.7235,9.0987,9.4111,10.298,8.9383,9.61815,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,ATOM,1d,9.368,9.4223,9.5328,9.2869,45786.22,2718,ATOM,9.6014,9.0987,9.35005,10.298,8.9383,9.61815,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,ATOM,1d,9.417,9.2556,9.5656,9.19,36198.63,2595,ATOM,9.5891,9.0987,9.3439,10.298,8.9383,9.61815,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,ATOM,1d,9.2593,9.271,9.3575,9.2228,34092.87,2678,ATOM,9.5891,9.1267,9.3579,10.298,9.0987,9.69835,,,,,,,,,,,,,,,,,,,,,
