t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,AVAX,1d,12.733,13.627,13.868,12.716,26758.84,2796,AVAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,AVAX,1d,13.63,13.589,14.2,13.56,28848.11,2686,AVAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,AVAX,1d,13.586,13.38,13.825,13.177,34935.51,2694,AVAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,AVAX,1d,13.376,13.259,13.682,13.148,22083.08,2654,AVAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,AVAX,1d,13.253,13.014,13.341,12.869,23054.38,2505,AVAX,14.2,12.716,13.457999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,AVAX,1d,13.014,14.117,14.159,12.88,18475.42,2597,AVAX,14.2,12.869,13.5345,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,AVAX,1d,14.119,14.642,15.969,14.061,39687.95,2806,AVAX,15.969,12.869,14.419,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,AVAX,1d,14.639,14.85,15.349,14.416,27231.01,2596,AVAX,15.969,12.869,14.419,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,AVAX,1d,14.84,14.285,14.933,14.167,16969.43,2511,AVAX,15.969,12.869,14.419,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,AVAX,1d,14.279,14.391,14.616,13.866,24683.23,2578,AVAX,15.969,12.88,14.4245,15.969,12.716,14.3425,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,AVAX,1d,14.403,13.805,14.579,13.613,18706.76,2557,AVAX,15.969,13.613,14.791,15.969,12.869,14.419,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,AVAX,1d,13.798,13.987,14.265,13.754,20271.9,2467,AVAX,15.349,13.613,14.481,15.969,12.869,14.419,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,AVAX,1d,13.988,13.858,14.416,13.682,26116.74,2659,AVAX,14.933,13.613,14.273,15.969,12.869,14.419,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,AVAX,1d,13.863,13.971,14.064,13.718,25429.91,2628,AVAX,14.616,13.613,14.1145,15.969,12.869,14.419,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,AVAX,1d,13.978,13.518,14.043,13.319,22333.73,2636,AVAX,14.579,13.319,13.949000000000002,15.969,12.88,14.4245,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,AVAX,1d,13.513,13.53,13.738,13.379,24960.83,2633,AVAX,14.416,13.319,13.8675,15.969,13.319,14.644,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,AVAX,1d,13.54,13.097,13.594,12.751,26844.97,2629,AVAX,14.416,12.751,13.5835,15.349,12.751,14.05,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,AVAX,1d,13.102,13.33,13.439,13.032,23706.97,2566,AVAX,14.064,12.751,13.407499999999999,14.933,12.751,13.841999999999999,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,AVAX,1d,13.342,13.259,13.451,13.094,32549.13,2695,AVAX,14.043,12.751,13.396999999999998,14.616,12.751,13.683499999999999,,,,,,,,,,,,,,,,,,,,,
