t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1705708800000,2024-01-20 23:59:59.999,AXS,1d,7.579,7.792,7.932,7.511,0.0,0,AXS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705795200000,2024-01-21 23:59:59.999,AXS,1d,7.792,7.792,8.008,7.698,0.0,0,AXS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705881600000,2024-01-22 23:59:59.999,AXS,1d,7.791,7.263,7.917,7.196,0.0,0,AXS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705968000000,2024-01-23 23:59:59.999,AXS,1d,7.263,7.06,7.421,6.702,0.0,0,AXS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706054400000,2024-01-24 23:59:59.999,AXS,1d,7.06,7.193,7.337,7.006,0.0,0,AXS,8.008,6.702,7.3549999999999995,,,,,,,,,,,,,,,,,,,,,,,,
1706140800000,2024-01-25 23:59:59.999,AXS,1d,7.194,7.105,7.198,6.934,0.0,0,AXS,8.008,6.702,7.3549999999999995,,,,,,,,,,,,,,,,,,,,,,,,
1706227200000,2024-01-26 23:59:59.999,AXS,1d,7.105,7.327,7.4,7.025,0.0,0,AXS,7.917,6.702,7.3095,,,,,,,,,,,,,,,,,,,,,,,,
1706313600000,2024-01-27 23:59:59.999,AXS,1d,7.327,7.36,7.433,7.184,0.0,0,AXS,7.433,6.702,7.0675,,,,,,,,,,,,,,,,,,,,,,,,
1706400000000,2024-01-28 23:59:59.999,AXS,1d,7.359,7.284,7.5,7.182,0.0,0,AXS,7.5,6.934,7.2170000000000005,,,,,,,,,,,,,,,,,,,,,,,,
1706486400000,2024-01-29 23:59:59.999,AXS,1d,7.285,7.489,7.499,7.153,0.0,0,AXS,7.5,6.934,7.2170000000000005,8.008,6.702,7.3549999999999995,,,,,,,,,,,,,,,,,,,,,
