t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1743811200000,2025-04-05 23:59:59.999,BABY,1d,0.0728,0.06362,0.0728,0.05602,0.0,0,BABY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743897600000,2025-04-06 23:59:59.999,BABY,1d,0.0637,0.06347,0.06742,0.06,0.0,0,BABY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743984000000,2025-04-07 23:59:59.999,BABY,1d,0.06349,0.0735,0.078,0.06166,0.0,0,BABY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744070400000,2025-04-08 23:59:59.999,BABY,1d,0.07343,0.07287,0.078,0.07076,0.0,0,BABY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744156800000,2025-04-09 23:59:59.999,BABY,1d,0.07287,0.07675,0.103,0.06393,0.0,0,BABY,0.103,0.05602,0.07951,,,,,,,,,,,,,,,,,,,,,,,,
1744243200000,2025-04-10 23:59:59.999,BABY,1d,0.07671,0.08349,0.10801,0.06604,0.0,0,BABY,0.10801,0.06,0.084005,,,,,,,,,,,,,,,,,,,,,,,,
1744329600000,2025-04-11 23:59:59.999,BABY,1d,0.08349,0.11183,0.12444,0.07508,0.0,0,BABY,0.12444,0.06166,0.09305,,,,,,,,,,,,,,,,,,,,,,,,
1744416000000,2025-04-12 23:59:59.999,BABY,1d,0.11496,0.13992,0.16578,0.11326,118044546.0,21162,BABY,0.16578,0.06393,0.11485500000000001,,,,,,,,,,,,,,,,,,,,,,,,
1744502400000,2025-04-13 23:59:59.999,BABY,1d,0.14007,0.12274,0.14876,0.12121,60200949.0,14518,BABY,0.16578,0.06393,0.11485500000000001,,,,,,,,,,,,,,,,,,,,,,,,
1744588800000,2025-04-14 23:59:59.999,BABY,1d,0.12276,0.10254,0.13402,0.10029,33241097.0,9356,BABY,0.16578,0.06604,0.11591000000000001,0.16578,0.05602,0.1109,,,,,,,,,,,,,,,,,,,,,
