t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1699488000000,2023-11-09 23:59:59.999,BADGER,1d,4.594,5.1667,5.4415,3.7144,205132.9,684,BADGER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699574400000,2023-11-10 23:59:59.999,BADGER,1d,5.1637,4.4799,5.6723,4.068,125895.7,1752,BADGER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699660800000,2023-11-11 23:59:59.999,BADGER,1d,4.4907,4.2768,4.6401,3.9036,102884.8,1858,BADGER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699747200000,2023-11-12 23:59:59.999,BADGER,1d,4.2697,4.1257,4.5003,3.9377,93900.9,1875,BADGER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699833600000,2023-11-13 23:59:59.999,BADGER,1d,4.1334,3.7754,4.2431,3.643,74165.9,1893,BADGER,5.6723,3.643,4.65765,,,,,,,,,,,,,,,,,,,,,,,,
1699920000000,2023-11-14 23:59:59.999,BADGER,1d,3.7734,3.6209,3.8304,3.4887,74137.8,2043,BADGER,5.6723,3.4887,4.5805,,,,,,,,,,,,,,,,,,,,,,,,
1700006400000,2023-11-15 23:59:59.999,BADGER,1d,3.6234,3.8411,3.8442,3.6208,71619.8,2224,BADGER,4.6401,3.4887,4.0644,,,,,,,,,,,,,,,,,,,,,,,,
1700092800000,2023-11-16 23:59:59.999,BADGER,1d,3.8485,3.8389,4.2956,3.7363,224889.3,2658,BADGER,4.5003,3.4887,3.9945000000000004,,,,,,,,,,,,,,,,,,,,,,,,
1700179200000,2023-11-17 23:59:59.999,BADGER,1d,3.8426,3.6531,4.0204,3.5144,162117.1,2210,BADGER,4.2956,3.4887,3.89215,,,,,,,,,,,,,,,,,,,,,,,,
1700265600000,2023-11-18 23:59:59.999,BADGER,1d,3.6477,3.469,3.6817,3.3101,105197.2,1999,BADGER,4.2956,3.3101,3.8028500000000003,5.6723,3.3101,4.4912,,,,,,,,,,,,,,,,,,,,,
1700352000000,2023-11-19 23:59:59.999,BADGER,1d,3.4697,3.6223,3.651,3.3627,71935.7,2021,BADGER,4.2956,3.3101,3.8028500000000003,5.6723,3.3101,4.4912,,,,,,,,,,,,,,,,,,,,,
1700438400000,2023-11-20 23:59:59.999,BADGER,1d,3.6237,3.6755,3.7886,3.527,125356.0,2209,BADGER,4.2956,3.3101,3.8028500000000003,4.6401,3.3101,3.9751000000000003,,,,,,,,,,,,,,,,,,,,,
1700524800000,2023-11-21 23:59:59.999,BADGER,1d,3.669,3.2378,3.944,3.2246,437701.4,2721,BADGER,4.0204,3.2246,3.6225000000000005,4.5003,3.2246,3.86245,,,,,,,,,,,,,,,,,,,,,
1700611200000,2023-11-22 23:59:59.999,BADGER,1d,3.235,3.5495,3.5737,3.2274,76261.9,1949,BADGER,3.944,3.2246,3.5843,4.2956,3.2246,3.7601000000000004,,,,,,,,,,,,,,,,,,,,,
1700697600000,2023-11-23 23:59:59.999,BADGER,1d,3.5498,3.7596,3.7873,3.5161,93853.2,1982,BADGER,3.944,3.2246,3.5843,4.2956,3.2246,3.7601000000000004,,,,,,,,,,,,,,,,,,,,,
1700784000000,2023-11-24 23:59:59.999,BADGER,1d,3.7607,3.6152,3.8624,3.579,67367.0,2044,BADGER,3.944,3.2246,3.5843,4.2956,3.2246,3.7601000000000004,,,,,,,,,,,,,,,,,,,,,
1700870400000,2023-11-25 23:59:59.999,BADGER,1d,3.6193,3.7277,3.7321,3.5924,55675.7,2084,BADGER,3.944,3.2246,3.5843,4.2956,3.2246,3.7601000000000004,,,,,,,,,,,,,,,,,,,,,
1700956800000,2023-11-26 23:59:59.999,BADGER,1d,3.728,3.6013,3.9302,3.5272,146667.0,2195,BADGER,3.9302,3.2274,3.5788,4.0204,3.2246,3.6225000000000005,,,,,,,,,,,,,,,,,,,,,
1701043200000,2023-11-27 23:59:59.999,BADGER,1d,3.6042,3.4726,3.6309,3.3825,67934.1,2003,BADGER,3.9302,3.3825,3.6563499999999998,3.944,3.2246,3.5843,,,,,,,,,,,,,,,,,,,,,
1701129600000,2023-11-28 23:59:59.999,BADGER,1d,3.4748,3.5643,3.6,3.3762,23729.0,1980,BADGER,3.9302,3.3762,3.6532,3.944,3.2246,3.5843,5.6723,3.2246,4.44845,,,,,,,,,,,,,,,,,,
1701216000000,2023-11-29 23:59:59.999,BADGER,1d,3.5658,3.6345,3.8604,3.5377,87236.7,2063,BADGER,3.9302,3.3762,3.6532,3.944,3.2246,3.5843,5.6723,3.2246,4.44845,,,,,,,,,,,,,,,,,,
1701302400000,2023-11-30 23:59:59.999,BADGER,1d,3.6324,3.5651,3.6465,3.5053,22681.2,1926,BADGER,3.9302,3.3762,3.6532,3.944,3.2246,3.5843,4.6401,3.2246,3.9323500000000005,,,,,,,,,,,,,,,,,,
1701388800000,2023-12-01 23:59:59.999,BADGER,1d,3.565,3.7245,3.7576,3.5501,27380.5,1983,BADGER,3.8604,3.3762,3.6182999999999996,3.9302,3.2274,3.5788,4.5003,3.2246,3.86245,,,,,,,,,,,,,,,,,,
1701475200000,2023-12-02 23:59:59.999,BADGER,1d,3.7239,4.2115,4.3408,3.714,202378.4,2330,BADGER,4.3408,3.3762,3.8585,4.3408,3.3762,3.8585,4.3408,3.2246,3.7827,,,,,,,,,,,,,,,,,,
1701561600000,2023-12-03 23:59:59.999,BADGER,1d,4.2124,4.1709,4.3818,3.9781,152124.1,2131,BADGER,4.3818,3.5053,3.94355,4.3818,3.3762,3.879,4.3818,3.2246,3.8032000000000004,,,,,,,,,,,,,,,,,,
1701648000000,2023-12-04 23:59:59.999,BADGER,1d,4.1621,4.8575,5.1736,4.1165,362824.1,2958,BADGER,5.1736,3.5053,4.33945,5.1736,3.3762,4.274900000000001,5.1736,3.2246,4.1991000000000005,,,,,,,,,,,,,,,,,,
1701734400000,2023-12-05 23:59:59.999,BADGER,1d,4.852,5.3882,5.6949,4.3813,301869.2,2653,BADGER,5.6949,3.5501,4.6225,5.6949,3.3762,4.53555,5.6949,3.2246,4.45975,,,,,,,,,,,,,,,,,,
1701820800000,2023-12-06 23:59:59.999,BADGER,1d,5.3965,4.6249,5.7032,4.5431,259074.1,2572,BADGER,5.7032,3.714,4.7086,5.7032,3.3762,4.5397,5.7032,3.2246,4.4639,,,,,,,,,,,,,,,,,,
1701907200000,2023-12-07 23:59:59.999,BADGER,1d,4.6538,4.5228,4.7365,4.3597,227987.3,2230,BADGER,5.7032,3.9781,4.84065,5.7032,3.3762,4.5397,5.7032,3.2246,4.4639,,,,,,,,,,,,,,,,,,
1701993600000,2023-12-08 23:59:59.999,BADGER,1d,4.5231,4.6008,4.6191,4.3905,108260.8,2107,BADGER,5.7032,4.1165,4.9098500000000005,5.7032,3.5053,4.60425,5.7032,3.2246,4.4639,5.7032,3.2246,4.4639,,,,,,,,,,,,,,,
1702080000000,2023-12-09 23:59:59.999,BADGER,1d,4.5975,4.2994,4.6699,4.2523,278752.2,2267,BADGER,5.7032,4.2523,4.97775,5.7032,3.5053,4.60425,5.7032,3.2246,4.4639,5.7032,3.2246,4.4639,,,,,,,,,,,,,,,
