t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,BCH,1d,278.18,271.61,282.79,261.49,2716.404,2736,BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,BCH,1d,271.41,265.55,277.97,262.66,2474.081,2832,BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,BCH,1d,265.42,274.42,286.72,259.75,4402.339,3030,BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,BCH,1d,274.58,273.66,277.53,270.03,2034.518,2694,BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,BCH,1d,273.68,282.19,293.44,272.45,3042.697,2476,BCH,293.44,259.75,276.595,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,BCH,1d,282.24,273.7,291.86,268.39,1589.669,2605,BCH,293.44,259.75,276.595,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,BCH,1d,273.54,263.98,277.79,255.45,2532.088,2845,BCH,293.44,255.45,274.445,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,BCH,1d,263.84,253.1,263.84,246.32,1418.693,2699,BCH,293.44,246.32,269.88,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,BCH,1d,252.95,249.57,260.83,248.51,1089.884,2545,BCH,293.44,246.32,269.88,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,BCH,1d,249.57,241.92,254.18,235.77,1974.146,2665,BCH,291.86,235.77,263.815,293.44,235.77,264.605,,,,,,,,,,,,,,,,,,,,,
