t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1738800000000,2025-02-06 23:59:59.999,BERA,1d,8.8217,8.5593,14.256,6.6364,46917160.9,280115,BERA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738886400000,2025-02-07 23:59:59.999,BERA,1d,8.5551,7.6879,8.9826,7.1978,19417570.4,170840,BERA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738972800000,2025-02-08 23:59:59.999,BERA,1d,7.6897,6.0422,7.7739,5.7417,16958824.2,130275,BERA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739059200000,2025-02-09 23:59:59.999,BERA,1d,6.0398,5.175,6.5,4.897,12592210.4,92335,BERA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739145600000,2025-02-10 23:59:59.999,BERA,1d,5.1755,5.2768,5.6857,4.735,16805253.2,98604,BERA,14.256,4.735,9.4955,,,,,,,,,,,,,,,,,,,,,,,,
1739232000000,2025-02-11 23:59:59.999,BERA,1d,5.2667,5.8012,6.3248,5.2349,11442900.1,66110,BERA,8.9826,4.735,6.8588000000000005,,,,,,,,,,,,,,,,,,,,,,,,
1739318400000,2025-02-12 23:59:59.999,BERA,1d,5.8006,5.8711,6.1031,5.3873,8891266.0,55167,BERA,7.7739,4.735,6.25445,,,,,,,,,,,,,,,,,,,,,,,,
1739404800000,2025-02-13 23:59:59.999,BERA,1d,5.8791,5.5967,6.3004,5.5338,5348811.2,36744,BERA,6.5,4.735,5.6175,,,,,,,,,,,,,,,,,,,,,,,,
1739491200000,2025-02-14 23:59:59.999,BERA,1d,5.5977,5.9015,6.0,5.4149,3881185.3,30731,BERA,6.3248,4.735,5.5299,,,,,,,,,,,,,,,,,,,,,,,,
1739577600000,2025-02-15 23:59:59.999,BERA,1d,5.8988,5.6469,6.1747,5.61,2467331.0,18384,BERA,6.3248,5.2349,5.77985,14.256,4.735,9.4955,,,,,,,,,,,,,,,,,,,,,
1739664000000,2025-02-16 23:59:59.999,BERA,1d,5.647,5.605,5.7618,5.4815,1943113.3,15389,BERA,6.3004,5.3873,5.84385,8.9826,4.735,6.8588000000000005,,,,,,,,,,,,,,,,,,,,,
1739750400000,2025-02-17 23:59:59.999,BERA,1d,5.6085,6.1311,6.732,5.5561,5098412.0,26335,BERA,6.732,5.4149,6.07345,7.7739,4.735,6.25445,,,,,,,,,,,,,,,,,,,,,
1739836800000,2025-02-18 23:59:59.999,BERA,1d,6.1296,6.2254,6.2729,5.659,3423197.3,24071,BERA,6.732,5.4149,6.07345,6.732,4.735,5.7335,,,,,,,,,,,,,,,,,,,,,
1739923200000,2025-02-19 23:59:59.999,BERA,1d,6.2255,6.6051,6.873,6.1938,5138564.2,40978,BERA,6.873,5.4815,6.17725,6.873,4.735,5.804,,,,,,,,,,,,,,,,,,,,,
1740009600000,2025-02-20 23:59:59.999,BERA,1d,6.6051,8.7799,9.1412,6.4728,13068799.2,83258,BERA,9.1412,5.4815,7.311349999999999,9.1412,5.2349,7.18805,,,,,,,,,,,,,,,,,,,,,
1740096000000,2025-02-21 23:59:59.999,BERA,1d,8.7798,7.4835,8.84,7.4536,9386838.6,83369,BERA,9.1412,5.5561,7.348649999999999,9.1412,5.3873,7.26425,,,,,,,,,,,,,,,,,,,,,
1740182400000,2025-02-22 23:59:59.999,BERA,1d,7.484,7.4809,7.7638,7.0004,4487230.9,46902,BERA,9.1412,5.659,7.4001,9.1412,5.4149,7.27805,,,,,,,,,,,,,,,,,,,,,
1740268800000,2025-02-23 23:59:59.999,BERA,1d,7.4786,6.8903,7.6694,6.6781,3045104.3,29673,BERA,9.1412,6.1938,7.6675,9.1412,5.4149,7.27805,,,,,,,,,,,,,,,,,,,,,
1740355200000,2025-02-24 23:59:59.999,BERA,1d,6.8933,6.7825,7.236,6.5134,4913599.2,40797,BERA,9.1412,6.4728,7.807,9.1412,5.4815,7.311349999999999,,,,,,,,,,,,,,,,,,,,,
1740441600000,2025-02-25 23:59:59.999,BERA,1d,6.7841,6.7722,7.0362,6.0164,4097353.3,29250,BERA,8.84,6.0164,7.4282,9.1412,5.4815,7.311349999999999,14.256,4.735,9.4955,,,,,,,,,,,,,,,,,,
1740528000000,2025-02-26 23:59:59.999,BERA,1d,6.7807,7.3931,7.9967,6.6658,5101954.9,50349,BERA,7.9967,6.0164,7.00655,9.1412,5.5561,7.348649999999999,9.1412,4.735,6.9381,,,,,,,,,,,,,,,,,,
1740614400000,2025-02-27 23:59:59.999,BERA,1d,7.3968,8.1005,8.2853,7.2,3318401.7,38848,BERA,8.2853,6.0164,7.15085,9.1412,5.659,7.4001,9.1412,4.735,6.9381,,,,,,,,,,,,,,,,,,
1740700800000,2025-02-28 23:59:59.999,BERA,1d,8.0952,8.6613,8.778,7.2077,6913533.2,48911,BERA,8.778,6.0164,7.3972,9.1412,6.0164,7.578799999999999,9.1412,4.735,6.9381,,,,,,,,,,,,,,,,,,
1740787200000,2025-03-01 23:59:59.999,BERA,1d,8.6677,8.2618,8.91,8.0947,3179768.5,28752,BERA,8.91,6.0164,7.4632000000000005,9.1412,6.0164,7.578799999999999,9.1412,4.735,6.9381,,,,,,,,,,,,,,,,,,
1740873600000,2025-03-02 23:59:59.999,BERA,1d,8.2618,8.5332,9.1647,8.0607,4141312.8,36889,BERA,9.1647,6.6658,7.91525,9.1647,6.0164,7.59055,9.1647,5.2349,7.1998,,,,,,,,,,,,,,,,,,
1740960000000,2025-03-03 23:59:59.999,BERA,1d,8.5319,6.8099,8.599,6.7968,2492792.1,20512,BERA,9.1647,6.7968,7.9807500000000005,9.1647,6.0164,7.59055,9.1647,5.3873,7.276,,,,,,,,,,,,,,,,,,
1741046400000,2025-03-04 23:59:59.999,BERA,1d,6.8064,6.6099,6.8845,6.011,3807659.1,25590,BERA,9.1647,6.011,7.5878499999999995,9.1647,6.011,7.5878499999999995,9.1647,5.4149,7.2898,,,,,,,,,,,,,,,,,,
1741132800000,2025-03-05 23:59:59.999,BERA,1d,6.6078,6.923,7.1793,6.4332,2678260.8,22629,BERA,9.1647,6.011,7.5878499999999995,9.1647,6.011,7.5878499999999995,9.1647,5.4149,7.2898,,,,,,,,,,,,,,,,,,
1741219200000,2025-03-06 23:59:59.999,BERA,1d,6.923,6.7613,7.1728,6.6665,2557600.7,23214,BERA,9.1647,6.011,7.5878499999999995,9.1647,6.011,7.5878499999999995,9.1647,5.4815,7.3231,,,,,,,,,,,,,,,,,,
1741305600000,2025-03-07 23:59:59.999,BERA,1d,6.7607,6.6096,6.883,6.4995,1928883.2,16917,BERA,8.599,6.011,7.305,9.1647,6.011,7.5878499999999995,9.1647,5.4815,7.3231,14.256,4.735,9.4955,,,,,,,,,,,,,,,
1741392000000,2025-03-08 23:59:59.999,BERA,1d,6.6168,6.7541,6.8964,6.4832,988431.0,10429,BERA,7.1793,6.011,6.59515,9.1647,6.011,7.5878499999999995,9.1647,5.5561,7.3604,9.1647,4.735,6.94985,,,,,,,,,,,,,,,
1741478400000,2025-03-09 23:59:59.999,BERA,1d,6.7553,5.7697,6.795,5.754,2225785.5,15092,BERA,7.1793,5.754,6.46665,9.1647,5.754,7.45935,9.1647,5.659,7.411849999999999,9.1647,4.735,6.94985,,,,,,,,,,,,,,,
1741564800000,2025-03-10 23:59:59.999,BERA,1d,5.7697,5.5768,6.1931,5.4384,2976919.8,23390,BERA,7.1728,5.4384,6.3056,9.1647,5.4384,7.30155,9.1647,5.4384,7.30155,9.1647,4.735,6.94985,,,,,,,,,,,,,,,
1741651200000,2025-03-11 23:59:59.999,BERA,1d,5.5731,5.8676,6.068,5.2543,1806808.0,16432,BERA,6.8964,5.2543,6.07535,9.1647,5.2543,7.2095,9.1647,5.2543,7.2095,9.1647,4.735,6.94985,,,,,,,,,,,,,,,
1741737600000,2025-03-12 23:59:59.999,BERA,1d,5.8681,6.2438,6.2942,5.716,1784576.5,12757,BERA,6.8964,5.2543,6.07535,8.599,5.2543,6.92665,9.1647,5.2543,7.2095,9.1647,5.2349,7.1998,,,,,,,,,,,,,,,
1741824000000,2025-03-13 23:59:59.999,BERA,1d,6.2506,5.9012,6.2999,5.7671,1964139.8,16757,BERA,6.795,5.2543,6.024649999999999,7.1793,5.2543,6.216799999999999,9.1647,5.2543,7.2095,9.1647,5.2543,7.2095,,,,,,,,,,,,,,,
