t,timestamp,s,i,open,close,high,low,volume,n,asset
1696982400000,2023-10-11 23:59:59.999,BIGTIME,1d,0.11725,0.12365,0.13501,0.10236,302779.0,251,BIGTIME
1697068800000,2023-10-12 23:59:59.999,BIGTIME,1d,0.13328,0.26253,0.34466,0.12732,2337413.0,1953,BIGTIME
1697155200000,2023-10-13 23:59:59.999,BIGTIME,1d,0.26227,0.21172,0.27286,0.18284,5925228.0,2756,BIGTIME
1697241600000,2023-10-14 23:59:59.999,BIGTIME,1d,0.21213,0.23085,0.25621,0.20202,1932241.0,2096,BIGTIME
1697328000000,2023-10-15 23:59:59.999,BIGTIME,1d,0.23157,0.23694,0.27055,0.22325,1253324.0,1977,BIGTIME
1697414400000,2023-10-16 23:59:59.999,BIGTIME,1d,0.23782,0.23253,0.26467,0.22126,1280544.0,2155,BIGTIME
1697500800000,2023-10-17 23:59:59.999,BIGTIME,1d,0.23254,0.18696,0.23398,0.17962,1094060.0,2131,BIGTIME
1697587200000,2023-10-18 23:59:59.999,BIGTIME,1d,0.18696,0.1594,0.18696,0.14126,1984387.0,2129,BIGTIME
1697673600000,2023-10-19 23:59:59.999,BIGTIME,1d,0.15941,0.14903,0.1635,0.13742,2092162.0,2123,BIGTIME
1697760000000,2023-10-20 23:59:59.999,BIGTIME,1d,0.14753,0.15,0.15822,0.13298,3115855.0,2580,BIGTIME
1697846400000,2023-10-21 23:59:59.999,BIGTIME,1d,0.15001,0.15031,0.1575,0.14401,5996034.0,2591,BIGTIME
1697932800000,2023-10-22 23:59:59.999,BIGTIME,1d,0.15061,0.16425,0.17574,0.14878,9804201.0,3120,BIGTIME
1698019200000,2023-10-23 23:59:59.999,BIGTIME,1d,0.16416,0.15212,0.16533,0.14419,13448189.0,2634,BIGTIME
1698105600000,2023-10-24 23:59:59.999,BIGTIME,1d,0.15208,0.13929,0.15687,0.13233,20984867.0,3555,BIGTIME
