t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1735862400000,2025-01-03 23:59:59.999,BIO,1d,0.83043,0.81732,0.86961,0.7691,8749694.0,14082,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735948800000,2025-01-04 23:59:59.999,BIO,1d,0.81818,0.696,0.86847,0.662,13374668.0,13108,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736035200000,2025-01-05 23:59:59.999,BIO,1d,0.69904,0.73975,0.76207,0.66423,13808302.0,10494,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736121600000,2025-01-06 23:59:59.999,BIO,1d,0.74017,0.71846,0.79053,0.69967,17383923.0,13991,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736208000000,2025-01-07 23:59:59.999,BIO,1d,0.71945,0.62688,0.72807,0.616,5818575.0,6247,BIO,0.86961,0.616,0.7428049999999999,,,,,,,,,,,,,,,,,,,,,,,,
1736294400000,2025-01-08 23:59:59.999,BIO,1d,0.62798,0.57616,0.63562,0.53832,4776030.0,3641,BIO,0.86847,0.53832,0.703395,,,,,,,,,,,,,,,,,,,,,,,,
1736380800000,2025-01-09 23:59:59.999,BIO,1d,0.5757,0.52028,0.58151,0.50893,3891044.0,3185,BIO,0.79053,0.50893,0.6497299999999999,,,,,,,,,,,,,,,,,,,,,,,,
1736467200000,2025-01-10 23:59:59.999,BIO,1d,0.52513,0.46267,0.54433,0.4469,4056398.0,3940,BIO,0.79053,0.4469,0.618715,,,,,,,,,,,,,,,,,,,,,,,,
1736553600000,2025-01-11 23:59:59.999,BIO,1d,0.46287,0.46466,0.48339,0.4467,4000036.0,3656,BIO,0.72807,0.4467,0.587385,,,,,,,,,,,,,,,,,,,,,,,,
1736640000000,2025-01-12 23:59:59.999,BIO,1d,0.46465,0.41162,0.47195,0.4074,3196427.0,3596,BIO,0.63562,0.4074,0.5215099999999999,0.86961,0.4074,0.638505,,,,,,,,,,,,,,,,,,,,,
1736726400000,2025-01-13 23:59:59.999,BIO,1d,0.41172,0.39068,0.42768,0.3591,4842132.0,3576,BIO,0.58151,0.3591,0.470305,0.86847,0.3591,0.613785,,,,,,,,,,,,,,,,,,,,,
1736812800000,2025-01-14 23:59:59.999,BIO,1d,0.38873,0.41314,0.42508,0.38408,4815982.0,3781,BIO,0.54433,0.3591,0.451715,0.79053,0.3591,0.574815,,,,,,,,,,,,,,,,,,,,,
1736899200000,2025-01-15 23:59:59.999,BIO,1d,0.41288,0.43579,0.44278,0.38071,4226297.0,3647,BIO,0.48339,0.3591,0.421245,0.79053,0.3591,0.574815,,,,,,,,,,,,,,,,,,,,,
1736985600000,2025-01-16 23:59:59.999,BIO,1d,0.43536,0.39868,0.43573,0.3927,3064667.0,2942,BIO,0.47195,0.3591,0.415525,0.72807,0.3591,0.543585,,,,,,,,,,,,,,,,,,,,,
1737072000000,2025-01-17 23:59:59.999,BIO,1d,0.39909,0.38683,0.41321,0.37159,2987819.0,2896,BIO,0.44278,0.3591,0.40093999999999996,0.63562,0.3591,0.49735999999999997,,,,,,,,,,,,,,,,,,,,,
1737158400000,2025-01-18 23:59:59.999,BIO,1d,0.3861,0.31558,0.39757,0.30766,4493137.0,3353,BIO,0.44278,0.30766,0.37522,0.58151,0.30766,0.444585,,,,,,,,,,,,,,,,,,,,,
1737244800000,2025-01-19 23:59:59.999,BIO,1d,0.31592,0.26298,0.3335,0.25929,9072888.0,5222,BIO,0.44278,0.25929,0.351035,0.54433,0.25929,0.40181,,,,,,,,,,,,,,,,,,,,,
1737331200000,2025-01-20 23:59:59.999,BIO,1d,0.26248,0.25179,0.27305,0.23488,10808469.0,4760,BIO,0.43573,0.23488,0.335305,0.48339,0.23488,0.359135,,,,,,,,,,,,,,,,,,,,,
1737417600000,2025-01-21 23:59:59.999,BIO,1d,0.25183,0.25225,0.26437,0.2297,5103865.0,2906,BIO,0.41321,0.2297,0.321455,0.47195,0.2297,0.350825,,,,,,,,,,,,,,,,,,,,,
1737504000000,2025-01-22 23:59:59.999,BIO,1d,0.25174,0.25382,0.28364,0.24465,4559746.0,3383,BIO,0.39757,0.2297,0.313635,0.44278,0.2297,0.33624,0.86961,0.2297,0.549655,,,,,,,,,,,,,,,,,,
