t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1719360000000,2024-06-26 23:59:59.999,BLAST,1d,0.0207,0.025809,0.028214,0.018472,414813803.0,15566,BLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719446400000,2024-06-27 23:59:59.999,BLAST,1d,0.025809,0.024669,0.028351,0.022729,457357836.0,18434,BLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719532800000,2024-06-28 23:59:59.999,BLAST,1d,0.024605,0.021417,0.024889,0.020818,176761434.0,6648,BLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719619200000,2024-06-29 23:59:59.999,BLAST,1d,0.021399,0.021134,0.021895,0.020117,91921697.0,6231,BLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719705600000,2024-06-30 23:59:59.999,BLAST,1d,0.021111,0.022347,0.022704,0.020891,96173441.0,6075,BLAST,0.028351,0.018472,0.023411500000000002,,,,,,,,,,,,,,,,,,,,,,,,
1719792000000,2024-07-01 23:59:59.999,BLAST,1d,0.022307,0.021399,0.022461,0.021,97531132.0,4452,BLAST,0.028351,0.020117,0.024234,,,,,,,,,,,,,,,,,,,,,,,,
1719878400000,2024-07-02 23:59:59.999,BLAST,1d,0.021451,0.019938,0.021667,0.018265,90180795.0,4529,BLAST,0.024889,0.018265,0.021577,,,,,,,,,,,,,,,,,,,,,,,,
1719964800000,2024-07-03 23:59:59.999,BLAST,1d,0.019887,0.01761,0.019966,0.016513,87940421.0,4367,BLAST,0.022704,0.016513,0.0196085,,,,,,,,,,,,,,,,,,,,,,,,
1720051200000,2024-07-04 23:59:59.999,BLAST,1d,0.017609,0.015261,0.018385,0.015069,59511078.0,5217,BLAST,0.022704,0.015069,0.0188865,,,,,,,,,,,,,,,,,,,,,,,,
1720137600000,2024-07-05 23:59:59.999,BLAST,1d,0.015277,0.01495,0.015364,0.012796,117651707.0,6053,BLAST,0.022461,0.012796,0.0176285,0.028351,0.012796,0.0205735,,,,,,,,,,,,,,,,,,,,,
1720224000000,2024-07-06 23:59:59.999,BLAST,1d,0.014939,0.016011,0.01624,0.01491,49096621.0,3353,BLAST,0.021667,0.012796,0.0172315,0.028351,0.012796,0.0205735,,,,,,,,,,,,,,,,,,,,,
1720310400000,2024-07-07 23:59:59.999,BLAST,1d,0.016047,0.014277,0.016232,0.01413,36505125.0,3565,BLAST,0.019966,0.012796,0.016381,0.024889,0.012796,0.0188425,,,,,,,,,,,,,,,,,,,,,
1720396800000,2024-07-08 23:59:59.999,BLAST,1d,0.014267,0.014723,0.015135,0.013422,61586339.0,3847,BLAST,0.018385,0.012796,0.0155905,0.022704,0.012796,0.01775,,,,,,,,,,,,,,,,,,,,,
1720483200000,2024-07-09 23:59:59.999,BLAST,1d,0.014719,0.015278,0.015726,0.01459,91298514.0,3971,BLAST,0.01624,0.012796,0.014518,0.022704,0.012796,0.01775,,,,,,,,,,,,,,,,,,,,,
1720569600000,2024-07-10 23:59:59.999,BLAST,1d,0.015313,0.016162,0.016178,0.014932,83130046.0,3179,BLAST,0.01624,0.013422,0.014831,0.022461,0.012796,0.0176285,,,,,,,,,,,,,,,,,,,,,
1720656000000,2024-07-11 23:59:59.999,BLAST,1d,0.016171,0.016203,0.017959,0.016,72909424.0,3370,BLAST,0.017959,0.013422,0.0156905,0.021667,0.012796,0.0172315,,,,,,,,,,,,,,,,,,,,,
1720742400000,2024-07-12 23:59:59.999,BLAST,1d,0.016193,0.016184,0.016492,0.015258,61787794.0,3028,BLAST,0.017959,0.013422,0.0156905,0.019966,0.012796,0.016381,,,,,,,,,,,,,,,,,,,,,
1720828800000,2024-07-13 23:59:59.999,BLAST,1d,0.016175,0.016737,0.017026,0.016104,20402566.0,2492,BLAST,0.017959,0.01459,0.0162745,0.018385,0.012796,0.0155905,,,,,,,,,,,,,,,,,,,,,
1720915200000,2024-07-14 23:59:59.999,BLAST,1d,0.016676,0.016799,0.016953,0.016256,30346318.0,2465,BLAST,0.017959,0.014932,0.016445500000000002,0.017959,0.012796,0.015377499999999999,,,,,,,,,,,,,,,,,,,,,
1721001600000,2024-07-15 23:59:59.999,BLAST,1d,0.016822,0.017788,0.01788,0.016653,54710897.0,3561,BLAST,0.017959,0.015258,0.016608499999999998,0.017959,0.013422,0.0156905,0.028351,0.012796,0.0205735,,,,,,,,,,,,,,,,,,
1721088000000,2024-07-16 23:59:59.999,BLAST,1d,0.017761,0.017057,0.017983,0.016333,34213751.0,2664,BLAST,0.017983,0.015258,0.0166205,0.017983,0.013422,0.0157025,0.028351,0.012796,0.0205735,,,,,,,,,,,,,,,,,,
1721174400000,2024-07-17 23:59:59.999,BLAST,1d,0.017074,0.01666,0.017533,0.016526,19824744.0,2245,BLAST,0.017983,0.016104,0.0170435,0.017983,0.013422,0.0157025,0.024889,0.012796,0.0188425,,,,,,,,,,,,,,,,,,
1721260800000,2024-07-18 23:59:59.999,BLAST,1d,0.016649,0.017176,0.0179,0.01648,15549045.0,2272,BLAST,0.017983,0.016256,0.0171195,0.017983,0.01459,0.0162865,0.022704,0.012796,0.01775,,,,,,,,,,,,,,,,,,
1721347200000,2024-07-19 23:59:59.999,BLAST,1d,0.01716,0.017456,0.017625,0.016558,21276145.0,2444,BLAST,0.017983,0.016333,0.017158,0.017983,0.014932,0.0164575,0.022704,0.012796,0.01775,,,,,,,,,,,,,,,,,,
