t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,BLUR,1d,0.3226,0.3248,0.329,0.3168,0.0,0,BLUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,BLUR,1d,0.3249,0.3234,0.328,0.3184,0.0,0,BLUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,BLUR,1d,0.3234,0.3222,0.3286,0.309,0.0,0,BLUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,BLUR,1d,0.3223,0.3232,0.3262,0.3161,0.0,0,BLUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,BLUR,1d,0.3232,0.3212,0.3289,0.3149,0.0,0,BLUR,0.329,0.309,0.319,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,BLUR,1d,0.3213,0.3451,0.3464,0.317,0.0,0,BLUR,0.3464,0.309,0.3277,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,BLUR,1d,0.3451,0.3452,0.3974,0.32,0.0,0,BLUR,0.3974,0.309,0.35319999999999996,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,BLUR,1d,0.3452,0.3494,0.3591,0.3412,0.0,0,BLUR,0.3974,0.3149,0.35614999999999997,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,BLUR,1d,0.3493,0.3311,0.3501,0.3275,0.0,0,BLUR,0.3974,0.3149,0.35614999999999997,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,BLUR,1d,0.3312,0.3345,0.3427,0.3215,0.0,0,BLUR,0.3974,0.317,0.35719999999999996,0.3974,0.309,0.35319999999999996,,,,,,,,,,,,,,,,,,,,,
