t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,BLZ,1d,0.05686,0.05718,0.05783,0.0558,0.0,0,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,BLZ,1d,0.05718,0.05558,0.05779,0.0554,0.0,0,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,BLZ,1d,0.05558,0.05653,0.05798,0.05365,0.0,0,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,BLZ,1d,0.05652,0.05635,0.05691,0.05537,0.0,0,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,BLZ,1d,0.05635,0.05564,0.05725,0.05487,0.0,0,BLZ,0.05798,0.05365,0.055815000000000003,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,BLZ,1d,0.05564,0.06074,0.06134,0.05418,0.0,0,BLZ,0.06134,0.05365,0.057495000000000004,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,BLZ,1d,0.06076,0.05916,0.06229,0.0561,0.0,0,BLZ,0.06229,0.05365,0.05797,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,BLZ,1d,0.05916,0.05872,0.06009,0.05824,0.0,0,BLZ,0.06229,0.05418,0.058234999999999995,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,BLZ,1d,0.05872,0.05755,0.06413,0.05701,0.0,0,BLZ,0.06413,0.05418,0.059155,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,BLZ,1d,0.05755,0.06129,0.06222,0.05735,0.0,0,BLZ,0.06413,0.05418,0.059155,0.06413,0.05365,0.058890000000000005,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,BLZ,1d,0.06129,0.06094,0.06249,0.05872,0.0,0,BLZ,0.06413,0.0561,0.060115,0.06413,0.05365,0.058890000000000005,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,BLZ,1d,0.06091,0.05954,0.06255,0.05927,0.0,0,BLZ,0.06413,0.05701,0.06057,0.06413,0.05365,0.058890000000000005,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,BLZ,1d,0.05954,0.05892,0.06034,0.05739,0.0,0,BLZ,0.06413,0.05701,0.06057,0.06413,0.05418,0.059155,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,BLZ,1d,0.05893,0.05848,0.05973,0.0582,0.0,0,BLZ,0.06255,0.05735,0.059949999999999996,0.06413,0.05418,0.059155,,,,,,,,,,,,,,,,,,,,,
