t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,BNB,1d,238.63,231.99,244.32,231.0,1475.731,2650,BNB
1688688000000,2023-07-07 23:59:59.999,BNB,1d,231.91,235.42,236.07,231.03,1166.211,2648,BNB
1688774400000,2023-07-08 23:59:59.999,BNB,1d,235.42,236.17,237.37,234.05,1058.189,2571,BNB
1688860800000,2023-07-09 23:59:59.999,BNB,1d,236.22,233.9,236.99,232.88,1011.912,2595,BNB
1688947200000,2023-07-10 23:59:59.999,BNB,1d,233.98,246.01,246.29,231.21,1414.831,2571,BNB
1689033600000,2023-07-11 23:59:59.999,BNB,1d,246.14,248.44,249.48,244.43,1603.08,2596,BNB
1689120000000,2023-07-12 23:59:59.999,BNB,1d,248.43,243.58,250.19,242.16,1427.283,2498,BNB
1689206400000,2023-07-13 23:59:59.999,BNB,1d,243.71,255.98,258.0,242.47,3785.85,2637,BNB
1689292800000,2023-07-14 23:59:59.999,BNB,1d,255.96,247.9,261.86,242.95,7659.75,2705,BNB
1689379200000,2023-07-15 23:59:59.999,BNB,1d,247.93,250.69,252.03,246.7,1145.389,2524,BNB
1689465600000,2023-07-16 23:59:59.999,BNB,1d,250.76,241.95,251.75,241.47,1424.655,2554,BNB
1689552000000,2023-07-17 23:59:59.999,BNB,1d,241.89,244.12,244.8,238.7,3037.126,2639,BNB
1689638400000,2023-07-18 23:59:59.999,BNB,1d,244.01,240.44,246.48,237.48,2162.08,2567,BNB
1689724800000,2023-07-19 23:59:59.999,BNB,1d,240.49,240.99,244.31,239.89,1374.403,2626,BNB
1689811200000,2023-07-20 23:59:59.999,BNB,1d,241.02,242.98,245.23,240.63,1260.476,2573,BNB
1689897600000,2023-07-21 23:59:59.999,BNB,1d,242.92,243.84,245.42,242.39,1584.077,2584,BNB
1689984000000,2023-07-22 23:59:59.999,BNB,1d,243.89,241.24,245.07,240.26,880.604,2558,BNB
1690070400000,2023-07-23 23:59:59.999,BNB,1d,241.26,242.54,244.04,240.7,923.811,2545,BNB
1690156800000,2023-07-24 23:59:59.999,BNB,1d,242.55,239.04,243.27,235.24,1743.426,2583,BNB
1690243200000,2023-07-25 23:59:59.999,BNB,1d,239.02,237.8,239.97,236.64,1097.477,2547,BNB
1690329600000,2023-07-26 23:59:59.999,BNB,1d,237.89,238.97,240.51,236.63,1168.903,2610,BNB
1690416000000,2023-07-27 23:59:59.999,BNB,1d,239.01,240.8,244.78,238.48,1620.75,2594,BNB
1690502400000,2023-07-28 23:59:59.999,BNB,1d,240.82,241.91,242.97,239.83,1141.385,2522,BNB
1690588800000,2023-07-29 23:59:59.999,BNB,1d,241.92,242.63,243.04,241.25,922.954,2523,BNB
1690675200000,2023-07-30 23:59:59.999,BNB,1d,242.45,242.55,244.01,240.43,1132.898,2561,BNB
1690761600000,2023-07-31 23:59:59.999,BNB,1d,242.64,240.84,244.67,240.66,1381.943,2486,BNB
1690848000000,2023-08-01 23:59:59.999,BNB,1d,240.87,247.86,247.87,237.33,1709.318,2622,BNB
1690934400000,2023-08-02 23:59:59.999,BNB,1d,247.72,240.55,248.75,236.16,2194.591,2662,BNB
1691020800000,2023-08-03 23:59:59.999,BNB,1d,240.56,240.97,241.83,238.3,10612.466,3054,BNB
1691107200000,2023-08-04 23:59:59.999,BNB,1d,241.0,241.74,243.46,240.55,2433.024,2579,BNB
1691193600000,2023-08-05 23:59:59.999,BNB,1d,241.63,243.33,243.35,240.03,945.971,2510,BNB
1691280000000,2023-08-06 23:59:59.999,BNB,1d,243.43,243.2,245.52,242.8,1013.003,2575,BNB
1691366400000,2023-08-07 23:59:59.999,BNB,1d,243.44,241.95,245.03,239.61,1067.616,2619,BNB
1691452800000,2023-08-08 23:59:59.999,BNB,1d,241.83,245.31,248.15,241.4,911.186,2531,BNB
1691539200000,2023-08-09 23:59:59.999,BNB,1d,245.23,243.92,245.56,242.76,1269.055,2552,BNB
1691625600000,2023-08-10 23:59:59.999,BNB,1d,243.57,241.34,243.95,240.31,1042.006,2543,BNB
1691712000000,2023-08-11 23:59:59.999,BNB,1d,241.31,239.73,241.99,237.99,950.835,2559,BNB
1691798400000,2023-08-12 23:59:59.999,BNB,1d,239.83,240.19,241.05,239.29,1006.134,2543,BNB
1691884800000,2023-08-13 23:59:59.999,BNB,1d,240.18,239.99,241.72,239.6,897.624,2486,BNB
1691971200000,2023-08-14 23:59:59.999,BNB,1d,239.77,240.36,241.28,239.55,909.472,2495,BNB
1692057600000,2023-08-15 23:59:59.999,BNB,1d,240.31,236.76,240.65,232.7,1640.304,2657,BNB
1692144000000,2023-08-16 23:59:59.999,BNB,1d,236.75,231.93,237.22,230.36,1413.446,2560,BNB
1692230400000,2023-08-17 23:59:59.999,BNB,1d,231.93,218.1,232.3,206.02,3875.345,2788,BNB
1692316800000,2023-08-18 23:59:59.999,BNB,1d,217.56,215.99,220.02,213.41,2340.857,2615,BNB
1692403200000,2023-08-19 23:59:59.999,BNB,1d,215.91,216.75,219.08,213.52,1433.474,2503,BNB
1692489600000,2023-08-20 23:59:59.999,BNB,1d,216.67,216.36,217.82,215.24,1069.781,2443,BNB
1692576000000,2023-08-21 23:59:59.999,BNB,1d,216.4,210.19,216.63,205.65,2080.524,2412,BNB
1692662400000,2023-08-22 23:59:59.999,BNB,1d,210.41,210.67,212.96,203.03,2102.466,2341,BNB
1692748800000,2023-08-23 23:59:59.999,BNB,1d,210.82,216.54,218.57,210.68,2180.893,2379,BNB
1692835200000,2023-08-24 23:59:59.999,BNB,1d,216.56,219.12,220.63,215.4,1982.461,2437,BNB
1692921600000,2023-08-25 23:59:59.999,BNB,1d,219.26,218.39,219.51,213.85,1586.261,2428,BNB
1693008000000,2023-08-26 23:59:59.999,BNB,1d,218.57,216.37,219.22,216.01,698.329,2282,BNB
1693094400000,2023-08-27 23:59:59.999,BNB,1d,216.34,218.39,219.75,215.83,380.293,2067,BNB
1693180800000,2023-08-28 23:59:59.999,BNB,1d,218.32,218.68,219.17,215.36,608.836,2076,BNB
1693267200000,2023-08-29 23:59:59.999,BNB,1d,218.98,226.93,235.91,216.93,1069.65,1972,BNB
1693353600000,2023-08-30 23:59:59.999,BNB,1d,227.08,223.71,227.13,221.83,616.698,1681,BNB
1693440000000,2023-08-31 23:59:59.999,BNB,1d,223.73,216.61,225.56,215.08,1495.207,2022,BNB
1693526400000,2023-09-01 23:59:59.999,BNB,1d,216.48,213.6,218.24,211.41,889.078,2038,BNB
1693612800000,2023-09-02 23:59:59.999,BNB,1d,213.56,214.28,215.8,212.97,762.783,1984,BNB
1693699200000,2023-09-03 23:59:59.999,BNB,1d,214.23,214.27,215.09,213.08,531.739,2045,BNB
1693785600000,2023-09-04 23:59:59.999,BNB,1d,214.27,215.21,216.5,213.03,776.513,2069,BNB
1693872000000,2023-09-05 23:59:59.999,BNB,1d,215.13,214.5,215.9,213.56,466.397,2042,BNB
1693958400000,2023-09-06 23:59:59.999,BNB,1d,214.43,215.14,218.76,211.81,1323.378,2064,BNB
1694044800000,2023-09-07 23:59:59.999,BNB,1d,215.1,217.12,217.79,213.34,3056.13,2083,BNB
1694131200000,2023-09-08 23:59:59.999,BNB,1d,216.98,214.57,218.75,213.33,1070.179,2101,BNB
1694217600000,2023-09-09 23:59:59.999,BNB,1d,214.56,214.07,215.35,214.01,230.401,2064,BNB
1694304000000,2023-09-10 23:59:59.999,BNB,1d,214.0,212.19,214.14,210.95,836.435,2038,BNB
1694390400000,2023-09-11 23:59:59.999,BNB,1d,212.14,206.02,212.59,203.77,3488.327,2108,BNB
1694476800000,2023-09-12 23:59:59.999,BNB,1d,206.05,210.48,214.13,204.96,1453.617,2085,BNB
1694563200000,2023-09-13 23:59:59.999,BNB,1d,210.72,212.57,213.15,209.25,1267.704,2105,BNB
1694649600000,2023-09-14 23:59:59.999,BNB,1d,212.44,211.99,214.96,211.01,588.394,2159,BNB
1694736000000,2023-09-15 23:59:59.999,BNB,1d,212.05,213.99,214.81,210.84,872.149,2057,BNB
1694822400000,2023-09-16 23:59:59.999,BNB,1d,213.99,214.7,215.67,213.22,317.249,2059,BNB
1694908800000,2023-09-17 23:59:59.999,BNB,1d,214.75,216.26,216.88,213.34,883.203,2097,BNB
1694995200000,2023-09-18 23:59:59.999,BNB,1d,216.25,215.92,221.36,214.9,2489.656,2078,BNB
1695081600000,2023-09-19 23:59:59.999,BNB,1d,215.8,217.08,219.66,215.36,859.771,2124,BNB
1695168000000,2023-09-20 23:59:59.999,BNB,1d,217.03,214.33,217.72,213.41,797.438,2031,BNB
1695254400000,2023-09-21 23:59:59.999,BNB,1d,214.32,210.8,215.18,209.43,2610.554,2092,BNB
1695340800000,2023-09-22 23:59:59.999,BNB,1d,210.81,211.02,212.07,209.72,311.085,2058,BNB
1695427200000,2023-09-23 23:59:59.999,BNB,1d,211.16,210.37,211.62,209.87,239.095,2105,BNB
1695513600000,2023-09-24 23:59:59.999,BNB,1d,210.43,208.17,211.22,206.67,225.372,2079,BNB
1695600000000,2023-09-25 23:59:59.999,BNB,1d,208.04,210.0,210.58,206.54,667.025,2101,BNB
1695686400000,2023-09-26 23:59:59.999,BNB,1d,210.01,212.59,213.69,209.7,1089.934,2060,BNB
1695772800000,2023-09-27 23:59:59.999,BNB,1d,212.54,212.08,216.05,210.77,735.92,2025,BNB
1695859200000,2023-09-28 23:59:59.999,BNB,1d,212.12,214.92,216.91,211.52,413.418,2080,BNB
1695945600000,2023-09-29 23:59:59.999,BNB,1d,214.97,215.13,217.46,214.32,1386.358,2059,BNB
1696032000000,2023-09-30 23:59:59.999,BNB,1d,215.09,214.56,216.39,214.05,828.381,2097,BNB
1696118400000,2023-10-01 23:59:59.999,BNB,1d,214.66,218.07,219.36,213.18,324.558,2083,BNB
1696204800000,2023-10-02 23:59:59.999,BNB,1d,218.27,214.49,221.5,213.26,660.965,1951,BNB
1696291200000,2023-10-03 23:59:59.999,BNB,1d,214.6,213.38,215.81,212.59,591.562,2119,BNB
1696377600000,2023-10-04 23:59:59.999,BNB,1d,213.41,213.32,213.73,210.69,645.47,2049,BNB
1696464000000,2023-10-05 23:59:59.999,BNB,1d,213.3,210.65,213.77,210.16,543.434,2136,BNB
1696550400000,2023-10-06 23:59:59.999,BNB,1d,210.7,213.37,214.29,210.27,560.929,2102,BNB
1696636800000,2023-10-07 23:59:59.999,BNB,1d,213.39,212.19,213.81,211.51,309.178,2107,BNB
1696723200000,2023-10-08 23:59:59.999,BNB,1d,212.2,211.4,212.73,208.84,851.307,2126,BNB
1696809600000,2023-10-09 23:59:59.999,BNB,1d,211.42,205.77,212.24,202.94,313.582,2135,BNB
1696896000000,2023-10-10 23:59:59.999,BNB,1d,205.58,208.53,210.6,205.58,405.925,2046,BNB
1696982400000,2023-10-11 23:59:59.999,BNB,1d,208.71,206.51,208.75,204.48,582.052,2003,BNB
1697068800000,2023-10-12 23:59:59.999,BNB,1d,206.5,205.26,206.67,202.9,556.168,1988,BNB
1697155200000,2023-10-13 23:59:59.999,BNB,1d,205.22,206.02,208.2,204.35,1149.846,2113,BNB
1697241600000,2023-10-14 23:59:59.999,BNB,1d,205.98,206.55,207.06,205.7,1779.263,2072,BNB
1697328000000,2023-10-15 23:59:59.999,BNB,1d,206.57,209.81,210.17,206.31,1041.683,2068,BNB
1697414400000,2023-10-16 23:59:59.999,BNB,1d,209.7,214.7,219.0,209.62,828.604,2040,BNB
1697500800000,2023-10-17 23:59:59.999,BNB,1d,214.74,211.44,215.02,209.27,296.499,2065,BNB
1697587200000,2023-10-18 23:59:59.999,BNB,1d,211.49,210.28,213.59,209.91,503.48,2028,BNB
1697673600000,2023-10-19 23:59:59.999,BNB,1d,210.16,211.27,211.37,208.15,514.432,2002,BNB
1697760000000,2023-10-20 23:59:59.999,BNB,1d,211.24,212.04,216.36,210.54,423.04,2069,BNB
1697846400000,2023-10-21 23:59:59.999,BNB,1d,212.09,214.31,215.77,211.48,1667.252,2074,BNB
1697932800000,2023-10-22 23:59:59.999,BNB,1d,214.23,217.8,218.34,213.62,1624.087,2088,BNB
1698019200000,2023-10-23 23:59:59.999,BNB,1d,217.86,228.8,229.05,216.96,5516.808,1876,BNB
1698105600000,2023-10-24 23:59:59.999,BNB,1d,228.83,225.32,237.33,222.23,3718.527,2045,BNB
1698192000000,2023-10-25 23:59:59.999,BNB,1d,225.31,222.26,229.15,221.98,2908.717,2023,BNB
1698278400000,2023-10-26 23:59:59.999,BNB,1d,222.25,223.29,228.26,219.3,2519.312,1996,BNB
1698364800000,2023-10-27 23:59:59.999,BNB,1d,223.26,224.32,230.74,220.08,3065.54,2077,BNB
1698451200000,2023-10-28 23:59:59.999,BNB,1d,224.16,225.78,228.49,224.13,688.317,2020,BNB
1698537600000,2023-10-29 23:59:59.999,BNB,1d,225.75,227.15,228.22,223.79,781.625,2078,BNB
1698624000000,2023-10-30 23:59:59.999,BNB,1d,227.2,228.12,229.29,224.67,631.947,2010,BNB
1698710400000,2023-10-31 23:59:59.999,BNB,1d,228.05,226.39,229.42,223.93,1826.576,2000,BNB
1698796800000,2023-11-01 23:59:59.999,BNB,1d,226.28,228.27,229.42,222.72,2282.47,2027,BNB
1698883200000,2023-11-02 23:59:59.999,BNB,1d,228.11,231.93,233.36,227.77,4068.315,1968,BNB
1698969600000,2023-11-03 23:59:59.999,BNB,1d,231.99,230.42,232.48,226.01,1323.492,2037,BNB
1699056000000,2023-11-04 23:59:59.999,BNB,1d,230.33,237.28,238.68,229.46,1246.604,2031,BNB
1699142400000,2023-11-05 23:59:59.999,BNB,1d,237.31,244.11,245.66,236.31,1651.336,2080,BNB
1699228800000,2023-11-06 23:59:59.999,BNB,1d,244.02,255.0,255.87,241.7,9218.255,2052,BNB
1699315200000,2023-11-07 23:59:59.999,BNB,1d,255.3,246.42,255.67,242.45,4208.51,1891,BNB
1699401600000,2023-11-08 23:59:59.999,BNB,1d,246.28,246.74,248.25,244.37,2800.479,2009,BNB
1699488000000,2023-11-09 23:59:59.999,BNB,1d,246.71,251.62,256.14,240.18,11730.482,1964,BNB
1699574400000,2023-11-10 23:59:59.999,BNB,1d,251.84,251.08,258.07,248.38,4129.614,1985,BNB
1699660800000,2023-11-11 23:59:59.999,BNB,1d,251.16,251.65,255.16,246.18,1611.597,1997,BNB
1699747200000,2023-11-12 23:59:59.999,BNB,1d,251.67,247.68,251.98,245.32,2121.973,1994,BNB
1699833600000,2023-11-13 23:59:59.999,BNB,1d,247.65,241.19,250.23,240.49,3928.909,2017,BNB
1699920000000,2023-11-14 23:59:59.999,BNB,1d,241.18,242.22,248.93,235.18,5445.893,1976,BNB
1700006400000,2023-11-15 23:59:59.999,BNB,1d,242.29,254.12,254.61,242.18,5187.016,2156,BNB
1700092800000,2023-11-16 23:59:59.999,BNB,1d,254.28,242.69,256.1,240.26,10160.602,2000,BNB
1700179200000,2023-11-17 23:59:59.999,BNB,1d,242.73,244.88,245.87,238.48,8344.746,2034,BNB
1700265600000,2023-11-18 23:59:59.999,BNB,1d,244.58,244.75,245.13,238.58,2142.288,2033,BNB
1700352000000,2023-11-19 23:59:59.999,BNB,1d,244.75,246.62,247.1,241.97,3757.154,2040,BNB
1700438400000,2023-11-20 23:59:59.999,BNB,1d,246.74,253.35,268.61,239.4,24905.262,2789,BNB
1700524800000,2023-11-21 23:59:59.999,BNB,1d,253.21,225.93,272.38,224.15,64527.742,3800,BNB
1700611200000,2023-11-22 23:59:59.999,BNB,1d,225.63,236.14,238.37,225.13,18569.663,2150,BNB
1700697600000,2023-11-23 23:59:59.999,BNB,1d,236.26,233.8,239.19,230.62,4468.112,2079,BNB
1700784000000,2023-11-24 23:59:59.999,BNB,1d,233.83,232.9,236.66,231.81,2466.869,2032,BNB
1700870400000,2023-11-25 23:59:59.999,BNB,1d,232.91,234.48,235.83,232.33,2195.728,2110,BNB
1700956800000,2023-11-26 23:59:59.999,BNB,1d,234.46,231.8,234.47,228.3,4080.841,2218,BNB
1701043200000,2023-11-27 23:59:59.999,BNB,1d,231.93,227.43,233.01,222.86,3903.921,2062,BNB
1701129600000,2023-11-28 23:59:59.999,BNB,1d,227.38,229.72,231.83,224.43,1432.289,2056,BNB
1701216000000,2023-11-29 23:59:59.999,BNB,1d,229.75,227.33,231.26,226.19,3686.837,2143,BNB
1701302400000,2023-11-30 23:59:59.999,BNB,1d,227.3,227.52,229.19,226.02,1542.113,2112,BNB
1701388800000,2023-12-01 23:59:59.999,BNB,1d,227.48,228.47,229.84,226.98,1264.027,2153,BNB
1701475200000,2023-12-02 23:59:59.999,BNB,1d,228.45,229.01,230.0,226.32,4375.324,2288,BNB
1701561600000,2023-12-03 23:59:59.999,BNB,1d,229.09,228.32,231.74,226.14,7679.137,2439,BNB
1701648000000,2023-12-04 23:59:59.999,BNB,1d,228.21,233.31,237.46,226.63,30291.263,2904,BNB
1701734400000,2023-12-05 23:59:59.999,BNB,1d,233.42,230.94,234.79,227.53,14325.128,2304,BNB
1701820800000,2023-12-06 23:59:59.999,BNB,1d,230.97,229.36,234.75,228.14,25637.091,2606,BNB
1701907200000,2023-12-07 23:59:59.999,BNB,1d,229.43,232.91,234.69,228.34,22859.711,2535,BNB
1701993600000,2023-12-08 23:59:59.999,BNB,1d,232.8,239.19,240.13,232.28,25493.899,2561,BNB
1702080000000,2023-12-09 23:59:59.999,BNB,1d,239.17,237.74,245.42,236.5,29125.064,2742,BNB
1702166400000,2023-12-10 23:59:59.999,BNB,1d,237.97,239.86,241.41,236.9,2925.53,2122,BNB
1702252800000,2023-12-11 23:59:59.999,BNB,1d,239.89,246.52,247.77,228.55,65572.507,3612,BNB
1702339200000,2023-12-12 23:59:59.999,BNB,1d,246.49,253.41,256.73,245.66,20109.716,2933,BNB
1702425600000,2023-12-13 23:59:59.999,BNB,1d,253.63,251.71,255.69,244.03,17728.468,3289,BNB
