t,timestamp,s,i,open,close,high,low,volume,n,asset
1691625600000,2023-08-10 23:59:59.999,BNT,1d,0.572,0.6186,0.6386,0.5439,0.0,0,BNT
1691712000000,2023-08-11 23:59:59.999,BNT,1d,0.6184,0.5502,0.6346,0.472,0.0,0,BNT
1691798400000,2023-08-12 23:59:59.999,BNT,1d,0.5501,0.5225,0.557,0.5152,0.0,0,BNT
1691884800000,2023-08-13 23:59:59.999,BNT,1d,0.5225,0.4889,0.5349,0.4844,0.0,0,BNT
1691971200000,2023-08-14 23:59:59.999,BNT,1d,0.4889,0.4851,0.5068,0.4686,0.0,0,BNT
1692057600000,2023-08-15 23:59:59.999,BNT,1d,0.485,0.4345,0.4871,0.4104,0.0,0,BNT
1692144000000,2023-08-16 23:59:59.999,BNT,1d,0.4342,0.4533,0.4708,0.4229,0.0,0,BNT
1692230400000,2023-08-17 23:59:59.999,BNT,1d,0.4534,0.3992,0.4634,0.3451,0.0,0,BNT
1692316800000,2023-08-18 23:59:59.999,BNT,1d,0.3995,0.4136,0.4205,0.3937,0.0,0,BNT
1692403200000,2023-08-19 23:59:59.999,BNT,1d,0.4134,0.4068,0.4239,0.405,0.0,0,BNT
1692489600000,2023-08-20 23:59:59.999,BNT,1d,0.4067,0.4056,0.414,0.4026,0.0,0,BNT
1692576000000,2023-08-21 23:59:59.999,BNT,1d,0.4053,0.4179,0.4237,0.396,0.0,0,BNT
1692662400000,2023-08-22 23:59:59.999,BNT,1d,0.4179,0.4313,0.4863,0.4003,0.0,0,BNT
1692748800000,2023-08-23 23:59:59.999,BNT,1d,0.4312,0.4367,0.4415,0.4196,0.0,0,BNT
1692835200000,2023-08-24 23:59:59.999,BNT,1d,0.4367,0.4162,0.4393,0.41,0.0,0,BNT
1692921600000,2023-08-25 23:59:59.999,BNT,1d,0.4161,0.4085,0.4164,0.403,0.0,0,BNT
1693008000000,2023-08-26 23:59:59.999,BNT,1d,0.4085,0.4064,0.4148,0.4047,0.0,0,BNT
1693094400000,2023-08-27 23:59:59.999,BNT,1d,0.4064,0.4069,0.413,0.4015,0.0,0,BNT
1693180800000,2023-08-28 23:59:59.999,BNT,1d,0.4068,0.4094,0.4225,0.4011,0.0,0,BNT
1693267200000,2023-08-29 23:59:59.999,BNT,1d,0.4093,0.4372,0.446,0.409,0.0,0,BNT
1693353600000,2023-08-30 23:59:59.999,BNT,1d,0.4371,0.4283,0.4378,0.4226,0.0,0,BNT
1693440000000,2023-08-31 23:59:59.999,BNT,1d,0.4283,0.4172,0.4326,0.4085,0.0,0,BNT
1693526400000,2023-09-01 23:59:59.999,BNT,1d,0.4171,0.4129,0.4247,0.406,0.0,0,BNT
1693612800000,2023-09-02 23:59:59.999,BNT,1d,0.413,0.4164,0.421,0.4091,0.0,0,BNT
1693699200000,2023-09-03 23:59:59.999,BNT,1d,0.4164,0.428,0.4675,0.4159,0.0,0,BNT
1693785600000,2023-09-04 23:59:59.999,BNT,1d,0.428,0.423,0.4389,0.413,0.0,0,BNT
1693872000000,2023-09-05 23:59:59.999,BNT,1d,0.4227,0.4255,0.4307,0.4172,0.0,0,BNT
1693958400000,2023-09-06 23:59:59.999,BNT,1d,0.4255,0.4397,0.4477,0.4225,0.0,0,BNT
1694044800000,2023-09-07 23:59:59.999,BNT,1d,0.4396,0.4379,0.4406,0.4209,0.0,0,BNT
1694131200000,2023-09-08 23:59:59.999,BNT,1d,0.4377,0.4316,0.4409,0.4201,0.0,0,BNT
1694217600000,2023-09-09 23:59:59.999,BNT,1d,0.4317,0.4243,0.4358,0.4167,0.0,0,BNT
1694304000000,2023-09-10 23:59:59.999,BNT,1d,0.4243,0.4042,0.4252,0.3936,0.0,0,BNT
1694390400000,2023-09-11 23:59:59.999,BNT,1d,0.404,0.3889,0.4063,0.3777,0.0,0,BNT
1694476800000,2023-09-12 23:59:59.999,BNT,1d,0.3889,0.3878,0.4011,0.3849,0.0,0,BNT
1694563200000,2023-09-13 23:59:59.999,BNT,1d,0.3879,0.3892,0.4039,0.3839,0.0,0,BNT
1694649600000,2023-09-14 23:59:59.999,BNT,1d,0.3892,0.3935,0.3991,0.3869,0.0,0,BNT
1694736000000,2023-09-15 23:59:59.999,BNT,1d,0.3934,0.4443,0.4527,0.3904,0.0,0,BNT
1694822400000,2023-09-16 23:59:59.999,BNT,1d,0.444,0.4307,0.4635,0.4147,0.0,0,BNT
1694908800000,2023-09-17 23:59:59.999,BNT,1d,0.4307,0.4039,0.4312,0.4007,0.0,0,BNT
1694995200000,2023-09-18 23:59:59.999,BNT,1d,0.4039,0.4033,0.4233,0.4003,0.0,0,BNT
1695081600000,2023-09-19 23:59:59.999,BNT,1d,0.4032,0.4145,0.4185,0.4023,0.0,0,BNT
1695168000000,2023-09-20 23:59:59.999,BNT,1d,0.4144,0.4134,0.4184,0.4033,0.0,0,BNT
1695254400000,2023-09-21 23:59:59.999,BNT,1d,0.4135,0.3981,0.4171,0.3962,0.0,0,BNT
1695340800000,2023-09-22 23:59:59.999,BNT,1d,0.398,0.4048,0.4073,0.3935,0.0,0,BNT
1695427200000,2023-09-23 23:59:59.999,BNT,1d,0.4049,0.4033,0.408,0.3962,0.0,0,BNT
1695513600000,2023-09-24 23:59:59.999,BNT,1d,0.4032,0.391,0.4033,0.3881,0.0,0,BNT
1695600000000,2023-09-25 23:59:59.999,BNT,1d,0.3909,0.3985,0.4044,0.3874,0.0,0,BNT
1695686400000,2023-09-26 23:59:59.999,BNT,1d,0.3986,0.3969,0.4029,0.3909,0.0,0,BNT
1695772800000,2023-09-27 23:59:59.999,BNT,1d,0.3969,0.3949,0.403,0.3908,0.0,0,BNT
1695859200000,2023-09-28 23:59:59.999,BNT,1d,0.3948,0.405,0.4071,0.3942,0.0,0,BNT
1695945600000,2023-09-29 23:59:59.999,BNT,1d,0.405,0.4086,0.416,0.3971,0.0,0,BNT
1696032000000,2023-09-30 23:59:59.999,BNT,1d,0.4086,0.4148,0.4166,0.4052,0.0,0,BNT
1696118400000,2023-10-01 23:59:59.999,BNT,1d,0.4148,0.423,0.4278,0.409,0.0,0,BNT
1696204800000,2023-10-02 23:59:59.999,BNT,1d,0.4232,0.3996,0.4243,0.3934,0.0,0,BNT
1696291200000,2023-10-03 23:59:59.999,BNT,1d,0.3996,0.3962,0.405,0.3936,0.0,0,BNT
1696377600000,2023-10-04 23:59:59.999,BNT,1d,0.3962,0.3948,0.3984,0.382,0.0,0,BNT
1696464000000,2023-10-05 23:59:59.999,BNT,1d,0.3947,0.39,0.3973,0.3885,0.0,0,BNT
1696550400000,2023-10-06 23:59:59.999,BNT,1d,0.3901,0.3964,0.4005,0.3873,0.0,0,BNT
1696636800000,2023-10-07 23:59:59.999,BNT,1d,0.3966,0.394,0.4006,0.3913,0.0,0,BNT
1696723200000,2023-10-08 23:59:59.999,BNT,1d,0.53869,0.59106,0.59831,0.53412,140266.0,574,BNT
1696809600000,2023-10-09 23:59:59.999,BNT,1d,0.58758,0.5313,0.6441,0.49633,543235.0,1707,BNT
1696896000000,2023-10-10 23:59:59.999,BNT,1d,0.53055,0.50001,0.5396,0.4914,205640.0,1849,BNT
1696982400000,2023-10-11 23:59:59.999,BNT,1d,0.49994,0.54053,0.58261,0.49064,380043.0,1981,BNT
1697068800000,2023-10-12 23:59:59.999,BNT,1d,0.53769,0.50717,0.55236,0.50135,334250.0,1842,BNT
1697155200000,2023-10-13 23:59:59.999,BNT,1d,0.50627,0.50526,0.51865,0.48115,344783.0,1966,BNT
1697241600000,2023-10-14 23:59:59.999,BNT,1d,0.50601,0.49687,0.51703,0.4938,439031.0,2047,BNT
1697328000000,2023-10-15 23:59:59.999,BNT,1d,0.4967,0.55551,0.58225,0.4967,330261.0,1933,BNT
1697414400000,2023-10-16 23:59:59.999,BNT,1d,0.5556,0.57103,0.58821,0.54438,274014.0,1919,BNT
1697500800000,2023-10-17 23:59:59.999,BNT,1d,0.57105,0.56785,0.62271,0.56163,198623.0,1973,BNT
1697587200000,2023-10-18 23:59:59.999,BNT,1d,0.5679,0.56094,0.65625,0.54865,364783.0,2019,BNT
1697673600000,2023-10-19 23:59:59.999,BNT,1d,0.56167,0.5861,0.60206,0.53476,420739.0,2018,BNT
1697760000000,2023-10-20 23:59:59.999,BNT,1d,0.58593,0.55429,0.62123,0.54238,212084.0,1930,BNT
1697846400000,2023-10-21 23:59:59.999,BNT,1d,0.55456,0.54606,0.55892,0.54367,159344.0,1906,BNT
1697932800000,2023-10-22 23:59:59.999,BNT,1d,0.54595,0.55805,0.56468,0.54374,780592.0,2246,BNT
1698019200000,2023-10-23 23:59:59.999,BNT,1d,0.55813,0.57792,0.5855,0.5455,875683.0,1847,BNT
1698105600000,2023-10-24 23:59:59.999,BNT,1d,0.57889,0.56749,0.64148,0.54333,834387.0,2100,BNT
1698192000000,2023-10-25 23:59:59.999,BNT,1d,0.56718,0.55184,0.58242,0.53623,668193.0,1959,BNT
1698278400000,2023-10-26 23:59:59.999,BNT,1d,0.55191,0.53331,0.55921,0.51779,874886.0,2109,BNT
1698364800000,2023-10-27 23:59:59.999,BNT,1d,0.53313,0.52803,0.54504,0.52129,1038219.0,2277,BNT
1698451200000,2023-10-28 23:59:59.999,BNT,1d,0.52829,0.53949,0.54602,0.52759,408157.0,2056,BNT
1698537600000,2023-10-29 23:59:59.999,BNT,1d,0.53917,0.56417,0.57397,0.52994,360117.0,1941,BNT
1698624000000,2023-10-30 23:59:59.999,BNT,1d,0.56438,0.54388,0.57277,0.53628,581532.0,2040,BNT
1698710400000,2023-10-31 23:59:59.999,BNT,1d,0.54384,0.53393,0.55382,0.51751,731467.0,2074,BNT
1698796800000,2023-11-01 23:59:59.999,BNT,1d,0.53371,0.54158,0.54881,0.51557,839166.0,2075,BNT
1698883200000,2023-11-02 23:59:59.999,BNT,1d,0.54138,0.52333,0.55196,0.51668,814345.0,2075,BNT
1698969600000,2023-11-03 23:59:59.999,BNT,1d,0.52348,0.54293,0.54488,0.5095,814444.0,2104,BNT
1699056000000,2023-11-04 23:59:59.999,BNT,1d,0.54337,0.54015,0.54697,0.53079,541389.0,2080,BNT
1699142400000,2023-11-05 23:59:59.999,BNT,1d,0.54015,0.55297,0.5559,0.53472,538258.0,1976,BNT
1699228800000,2023-11-06 23:59:59.999,BNT,1d,0.55323,0.57035,0.57936,0.54769,1334711.0,2005,BNT
1699315200000,2023-11-07 23:59:59.999,BNT,1d,0.57121,0.58067,0.59799,0.55832,330662.0,1825,BNT
1699401600000,2023-11-08 23:59:59.999,BNT,1d,0.58052,0.71089,0.72687,0.57666,684927.0,1898,BNT
1699488000000,2023-11-09 23:59:59.999,BNT,1d,0.71172,0.82662,0.84849,0.68279,984777.0,2019,BNT
1699574400000,2023-11-10 23:59:59.999,BNT,1d,0.82599,0.96186,0.96467,0.77753,410243.0,1941,BNT
1699660800000,2023-11-11 23:59:59.999,BNT,1d,0.96165,1.1537,1.176,0.88776,207439.0,1831,BNT
1699747200000,2023-11-12 23:59:59.999,BNT,1d,1.1487,1.4706,1.4859,1.0562,375911.0,2010,BNT
1699833600000,2023-11-13 23:59:59.999,BNT,1d,1.4689,0.86227,1.9451,0.82508,247726.0,1712,BNT
1699920000000,2023-11-14 23:59:59.999,BNT,1d,0.85005,0.79437,0.87412,0.75681,357065.0,1876,BNT
1700006400000,2023-11-15 23:59:59.999,BNT,1d,0.79714,0.82153,0.84064,0.79593,75570.0,1807,BNT
1700092800000,2023-11-16 23:59:59.999,BNT,1d,0.82267,0.78118,0.83537,0.76945,212962.0,1717,BNT
1700179200000,2023-11-17 23:59:59.999,BNT,1d,0.77921,0.76827,0.81847,0.73117,225984.0,1860,BNT
1700265600000,2023-11-18 23:59:59.999,BNT,1d,0.7679,0.77352,0.78169,0.72384,237422.0,1894,BNT
1700352000000,2023-11-19 23:59:59.999,BNT,1d,0.7717,0.77698,0.7878,0.75625,181765.0,1875,BNT
1700438400000,2023-11-20 23:59:59.999,BNT,1d,0.77686,0.74923,0.78048,0.74039,271064.0,1927,BNT
1700524800000,2023-11-21 23:59:59.999,BNT,1d,0.74938,0.70106,0.75994,0.69458,1768888.0,2383,BNT
1700611200000,2023-11-22 23:59:59.999,BNT,1d,0.70109,0.74716,0.75843,0.70109,140714.0,1798,BNT
1700697600000,2023-11-23 23:59:59.999,BNT,1d,0.74693,0.76142,0.76929,0.74176,197530.0,1843,BNT
1700784000000,2023-11-24 23:59:59.999,BNT,1d,0.7614,0.76293,0.76985,0.75332,154917.0,1890,BNT
1700870400000,2023-11-25 23:59:59.999,BNT,1d,0.76294,0.7608,0.77523,0.74867,169499.0,2000,BNT
1700956800000,2023-11-26 23:59:59.999,BNT,1d,0.75935,0.7499,0.789,0.73441,417017.0,2047,BNT
1701043200000,2023-11-27 23:59:59.999,BNT,1d,0.75079,0.73072,0.7565,0.7157,208468.0,1823,BNT
1701129600000,2023-11-28 23:59:59.999,BNT,1d,0.72977,0.74512,0.75416,0.71686,169986.0,1896,BNT
1701216000000,2023-11-29 23:59:59.999,BNT,1d,0.74668,0.7318,0.75304,0.72957,202173.0,1900,BNT
1701302400000,2023-11-30 23:59:59.999,BNT,1d,0.73151,0.7574,0.76551,0.7305,213379.0,1950,BNT
1701388800000,2023-12-01 23:59:59.999,BNT,1d,0.75762,0.76403,0.76775,0.75215,139235.0,1984,BNT
1701475200000,2023-12-02 23:59:59.999,BNT,1d,0.76423,0.79266,0.79728,0.76266,457537.0,2058,BNT
1701561600000,2023-12-03 23:59:59.999,BNT,1d,0.79182,0.7803,0.8191,0.77169,525046.0,1997,BNT
1701648000000,2023-12-04 23:59:59.999,BNT,1d,0.781,0.78612,0.79579,0.75365,1141007.0,2134,BNT
1701734400000,2023-12-05 23:59:59.999,BNT,1d,0.78595,0.79313,0.80413,0.76933,606396.0,1907,BNT
1701820800000,2023-12-06 23:59:59.999,BNT,1d,0.79347,0.76591,0.80323,0.75701,1018993.0,2050,BNT
1701907200000,2023-12-07 23:59:59.999,BNT,1d,0.76568,0.78675,0.79404,0.75766,1315894.0,2137,BNT
1701993600000,2023-12-08 23:59:59.999,BNT,1d,0.7868,0.80981,0.81207,0.78016,305080.0,1954,BNT
1702080000000,2023-12-09 23:59:59.999,BNT,1d,0.81112,0.81207,0.84379,0.79404,1337750.0,2167,BNT
1702166400000,2023-12-10 23:59:59.999,BNT,1d,0.81317,0.80756,0.81973,0.77622,299861.0,1931,BNT
