t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1697760000000,2023-10-20 23:59:59.999,BSV,1d,52.577,54.958,57.207,51.537,4535.38,1463,BSV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697846400000,2023-10-21 23:59:59.999,BSV,1d,55.161,55.768,58.733,52.702,6833.99,1808,BSV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697932800000,2023-10-22 23:59:59.999,BSV,1d,55.732,50.716,56.453,48.111,27252.8,2501,BSV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698019200000,2023-10-23 23:59:59.999,BSV,1d,50.845,55.131,55.131,49.073,26250.8,2130,BSV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698105600000,2023-10-24 23:59:59.999,BSV,1d,54.866,51.536,55.537,49.835,36593.74,2690,BSV,58.733,48.111,53.422,,,,,,,,,,,,,,,,,,,,,,,,
1698192000000,2023-10-25 23:59:59.999,BSV,1d,51.556,50.295,52.35,48.698,64118.88,3436,BSV,58.733,48.111,53.422,,,,,,,,,,,,,,,,,,,,,,,,
1698278400000,2023-10-26 23:59:59.999,BSV,1d,50.346,47.708,51.329,45.934,71959.27,3430,BSV,56.453,45.934,51.1935,,,,,,,,,,,,,,,,,,,,,,,,
1698364800000,2023-10-27 23:59:59.999,BSV,1d,47.677,45.706,47.677,44.353,72180.11,3095,BSV,55.537,44.353,49.945,,,,,,,,,,,,,,,,,,,,,,,,
1698451200000,2023-10-28 23:59:59.999,BSV,1d,45.729,49.067,50.34,45.729,17652.08,2014,BSV,55.537,44.353,49.945,,,,,,,,,,,,,,,,,,,,,,,,
1698537600000,2023-10-29 23:59:59.999,BSV,1d,49.065,50.962,51.548,48.795,18202.0,2117,BSV,52.35,44.353,48.3515,58.733,44.353,51.543,,,,,,,,,,,,,,,,,,,,,
1698624000000,2023-10-30 23:59:59.999,BSV,1d,51.027,50.18,51.154,48.818,16689.53,2010,BSV,51.548,44.353,47.950500000000005,58.733,44.353,51.543,,,,,,,,,,,,,,,,,,,,,
1698710400000,2023-10-31 23:59:59.999,BSV,1d,50.361,49.364,50.729,46.991,19355.44,2044,BSV,51.548,44.353,47.950500000000005,56.453,44.353,50.403000000000006,,,,,,,,,,,,,,,,,,,,,
1698796800000,2023-11-01 23:59:59.999,BSV,1d,49.33,49.609,49.781,46.911,23311.73,2062,BSV,51.548,45.729,48.6385,55.537,44.353,49.945,,,,,,,,,,,,,,,,,,,,,
1698883200000,2023-11-02 23:59:59.999,BSV,1d,49.589,49.072,50.885,48.078,25128.92,2104,BSV,51.548,46.911,49.2295,55.537,44.353,49.945,,,,,,,,,,,,,,,,,,,,,
1698969600000,2023-11-03 23:59:59.999,BSV,1d,49.105,49.002,49.192,47.259,17685.07,2134,BSV,51.154,46.911,49.0325,52.35,44.353,48.3515,,,,,,,,,,,,,,,,,,,,,
1699056000000,2023-11-04 23:59:59.999,BSV,1d,49.015,49.247,49.511,48.235,20467.75,2163,BSV,50.885,46.911,48.897999999999996,51.548,44.353,47.950500000000005,,,,,,,,,,,,,,,,,,,,,
1699142400000,2023-11-05 23:59:59.999,BSV,1d,49.274,49.812,51.856,48.765,14631.64,2069,BSV,51.856,46.911,49.3835,51.856,44.353,48.1045,,,,,,,,,,,,,,,,,,,,,
1699228800000,2023-11-06 23:59:59.999,BSV,1d,49.748,49.563,50.078,48.293,50069.09,2045,BSV,51.856,47.259,49.557500000000005,51.856,45.729,48.792500000000004,,,,,,,,,,,,,,,,,,,,,
1699315200000,2023-11-07 23:59:59.999,BSV,1d,49.614,49.174,50.407,47.849,41114.47,1962,BSV,51.856,47.259,49.557500000000005,51.856,46.911,49.3835,,,,,,,,,,,,,,,,,,,,,
1699401600000,2023-11-08 23:59:59.999,BSV,1d,49.237,49.434,49.704,48.435,3285.45,1919,BSV,51.856,47.849,49.8525,51.856,46.911,49.3835,58.733,44.353,51.543,,,,,,,,,,,,,,,,,,
1699488000000,2023-11-09 23:59:59.999,BSV,1d,49.406,49.627,55.501,41.116,14928.23,1855,BSV,55.501,41.116,48.308499999999995,55.501,41.116,48.308499999999995,58.733,41.116,49.924499999999995,,,,,,,,,,,,,,,,,,
1699574400000,2023-11-10 23:59:59.999,BSV,1d,49.503,51.015,51.665,48.524,3388.0,1852,BSV,55.501,41.116,48.308499999999995,55.501,41.116,48.308499999999995,56.453,41.116,48.7845,,,,,,,,,,,,,,,,,,
1699660800000,2023-11-11 23:59:59.999,BSV,1d,51.074,49.71,51.166,48.532,1007.64,1950,BSV,55.501,41.116,48.308499999999995,55.501,41.116,48.308499999999995,55.537,41.116,48.326499999999996,,,,,,,,,,,,,,,,,,
1699747200000,2023-11-12 23:59:59.999,BSV,1d,49.823,49.749,50.081,47.904,3079.15,1971,BSV,55.501,41.116,48.308499999999995,55.501,41.116,48.308499999999995,55.537,41.116,48.326499999999996,,,,,,,,,,,,,,,,,,
