t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,BTC,1d,30322.0,30286.0,30376.0,30037.0,7.49229,2545,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,BTC,1d,30280.0,30159.0,30429.0,30054.0,9.20342,2628,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,BTC,1d,30162.0,30392.0,31036.0,29949.0,13.7312,2514,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,BTC,1d,30408.0,30608.0,30815.0,30304.0,10.45127,2694,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,BTC,1d,30614.0,30366.0,30996.0,30227.0,17.17888,2408,BTC,31036.0,29949.0,30492.5,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,BTC,1d,30378.0,31443.0,31790.0,30249.0,14.86202,2566,BTC,31790.0,29949.0,30869.5,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,BTC,1d,31462.0,30289.0,31739.0,29938.0,25.68899,2723,BTC,31790.0,29938.0,30864.0,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,BTC,1d,30287.0,30273.0,30466.0,30225.0,13.43623,2503,BTC,31790.0,29938.0,30864.0,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,BTC,1d,30273.0,30228.0,30430.0,30082.0,33.0111,2643,BTC,31790.0,29938.0,30864.0,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,BTC,1d,30222.0,30123.0,30322.0,29643.0,37.0633,2614,BTC,31790.0,29643.0,30716.5,31790.0,29643.0,30716.5,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,BTC,1d,30141.0,29857.0,30233.0,29576.0,14.24462,2510,BTC,31739.0,29576.0,30657.5,31790.0,29576.0,30683.0,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,BTC,1d,29853.0,29916.0,30178.0,29759.0,21.3286,2582,BTC,30466.0,29576.0,30021.0,31790.0,29576.0,30683.0,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,BTC,1d,29916.0,29798.0,30407.0,29569.0,22.20138,2575,BTC,30430.0,29569.0,29999.5,31790.0,29569.0,30679.5,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,BTC,1d,29800.0,29900.0,30049.0,29719.0,12.4146,2565,BTC,30407.0,29569.0,29988.0,31790.0,29569.0,30679.5,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,BTC,1d,29893.0,29794.0,29979.0,29612.0,8.04807,2591,BTC,30407.0,29569.0,29988.0,31790.0,29569.0,30679.5,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,BTC,1d,29791.0,30070.0,30352.0,29733.0,21.22341,2622,BTC,30407.0,29569.0,29988.0,31739.0,29569.0,30654.0,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,BTC,1d,30080.0,29171.0,30097.0,28861.0,28.48558,2674,BTC,30407.0,28861.0,29634.0,30466.0,28861.0,29663.5,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,BTC,1d,29158.0,29215.0,29357.0,29041.0,12.52122,2610,BTC,30352.0,28861.0,29606.5,30430.0,28861.0,29645.5,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,BTC,1d,29218.0,29338.0,29664.0,29107.0,11.24487,2626,BTC,30352.0,28861.0,29606.5,30407.0,28861.0,29634.0,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,BTC,1d,29333.0,29212.0,29562.0,29080.0,18.81417,2564,BTC,30352.0,28861.0,29606.5,30407.0,28861.0,29634.0,31790.0,28861.0,30325.5,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,BTC,1d,29215.0,29300.0,29530.0,29116.0,9.63224,2639,BTC,30097.0,28861.0,29479.0,30407.0,28861.0,29634.0,31790.0,28861.0,30325.5,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,BTC,1d,29306.0,29349.0,29397.0,29248.0,6.90918,2557,BTC,29664.0,29041.0,29352.5,30407.0,28861.0,29634.0,31790.0,28861.0,30325.5,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,BTC,1d,29347.0,29278.0,29445.0,29024.0,10.26044,2572,BTC,29664.0,29024.0,29344.0,30352.0,28861.0,29606.5,31790.0,28861.0,30325.5,,,,,,,,,,,,,,,,,,
1690761600000,2023-07-31 23:59:59.999,BTC,1d,29270.0,29229.0,29527.0,29117.0,11.78145,2549,BTC,29562.0,29024.0,29293.0,30352.0,28861.0,29606.5,31790.0,28861.0,30325.5,,,,,,,,,,,,,,,,,,
1690848000000,2023-08-01 23:59:59.999,BTC,1d,29216.0,29712.0,29716.0,28595.0,27.36779,2692,BTC,29716.0,28595.0,29155.5,30352.0,28595.0,29473.5,31790.0,28595.0,30192.5,,,,,,,,,,,,,,,,,,
1690934400000,2023-08-02 23:59:59.999,BTC,1d,29750.0,29163.0,30022.0,28941.0,35.16121,2646,BTC,30022.0,28595.0,29308.5,30097.0,28595.0,29346.0,31739.0,28595.0,30167.0,,,,,,,,,,,,,,,,,,
