t,timestamp,s,i,open,close,high,low,volume,n,asset
1696809600000,2023-10-09 23:59:59.999,CANTO,1d,0.22087,0.22058,0.22276,0.19821,171725.0,121,CANTO
1696896000000,2023-10-10 23:59:59.999,CANTO,1d,0.22017,0.19966,0.22241,0.19117,415231.0,218,CANTO
1696982400000,2023-10-11 23:59:59.999,CANTO,1d,0.19984,0.20112,0.2082,0.18955,60688.0,141,CANTO
1697068800000,2023-10-12 23:59:59.999,CANTO,1d,0.20087,0.22233,0.22233,0.20084,190050.0,151,CANTO
1697155200000,2023-10-13 23:59:59.999,CANTO,1d,0.22495,0.23722,0.25057,0.22436,332898.0,159,CANTO
1697241600000,2023-10-14 23:59:59.999,CANTO,1d,0.23745,0.23838,0.2396,0.23359,69866.0,142,CANTO
1697328000000,2023-10-15 23:59:59.999,CANTO,1d,0.2387,0.24055,0.24277,0.23813,45419.0,147,CANTO
1697414400000,2023-10-16 23:59:59.999,CANTO,1d,0.24071,0.23821,0.25866,0.22882,76185.0,115,CANTO
1697500800000,2023-10-17 23:59:59.999,CANTO,1d,0.23831,0.22105,0.23831,0.22,309942.0,151,CANTO
1697587200000,2023-10-18 23:59:59.999,CANTO,1d,0.22077,0.21045,0.22077,0.203,346017.0,152,CANTO
1697673600000,2023-10-19 23:59:59.999,CANTO,1d,0.21023,0.22231,0.22296,0.20475,300873.0,137,CANTO
1697760000000,2023-10-20 23:59:59.999,CANTO,1d,0.22217,0.23149,0.23167,0.22001,116386.0,138,CANTO
1697846400000,2023-10-21 23:59:59.999,CANTO,1d,0.23133,0.26161,0.26417,0.23058,192377.0,155,CANTO
1697932800000,2023-10-22 23:59:59.999,CANTO,1d,0.26024,0.2812,0.2827,0.2591,82068.0,130,CANTO
1698019200000,2023-10-23 23:59:59.999,CANTO,1d,0.28116,0.27442,0.2965,0.26461,159353.0,175,CANTO
1698105600000,2023-10-24 23:59:59.999,CANTO,1d,0.27416,0.29557,0.30269,0.27416,149063.0,180,CANTO
1698192000000,2023-10-25 23:59:59.999,CANTO,1d,0.29533,0.28478,0.31095,0.28384,183363.0,257,CANTO
1698278400000,2023-10-26 23:59:59.999,CANTO,1d,0.28503,0.26926,0.28681,0.26751,33562.0,117,CANTO
1698364800000,2023-10-27 23:59:59.999,CANTO,1d,0.2693,0.26406,0.2693,0.25649,22140.0,103,CANTO
1698451200000,2023-10-28 23:59:59.999,CANTO,1d,0.26369,0.3018,0.3018,0.26365,339772.0,184,CANTO
1698537600000,2023-10-29 23:59:59.999,CANTO,1d,0.30534,0.31383,0.31608,0.30498,120136.0,123,CANTO
1698624000000,2023-10-30 23:59:59.999,CANTO,1d,0.31271,0.29791,0.3163,0.28925,42128.0,129,CANTO
1698710400000,2023-10-31 23:59:59.999,CANTO,1d,0.29761,0.28676,0.29821,0.27773,45816.0,131,CANTO
1698796800000,2023-11-01 23:59:59.999,CANTO,1d,0.28667,0.30034,0.30278,0.27259,10503.0,100,CANTO
1698883200000,2023-11-02 23:59:59.999,CANTO,1d,0.29571,0.27089,0.29677,0.26475,13463.0,132,CANTO
1698969600000,2023-11-03 23:59:59.999,CANTO,1d,0.27142,0.2526,0.27142,0.24452,30688.0,124,CANTO
1699056000000,2023-11-04 23:59:59.999,CANTO,1d,0.25241,0.28145,0.28151,0.25163,42801.0,131,CANTO
1699142400000,2023-11-05 23:59:59.999,CANTO,1d,0.28017,0.29476,0.3,0.28017,45108.0,123,CANTO
1699228800000,2023-11-06 23:59:59.999,CANTO,1d,0.29532,0.29631,0.31077,0.29483,61823.0,136,CANTO
1699315200000,2023-11-07 23:59:59.999,CANTO,1d,0.29593,0.28487,0.29593,0.26865,27225.0,142,CANTO
1699401600000,2023-11-08 23:59:59.999,CANTO,1d,0.28517,0.27988,0.28517,0.27271,39366.0,122,CANTO
