t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1783728000000,2026-07-11 23:59:59.999,CASHCAT,1d,0.18137,0.19828,0.264,0.1775,121422955.0,122317,CASHCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783814400000,2026-07-12 23:59:59.999,CASHCAT,1d,0.19829,0.22194,0.2236,0.18805,21423381.0,23113,CASHCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783900800000,2026-07-13 23:59:59.999,CASHCAT,1d,0.15039,0.15363,0.1688,0.15,13809692.0,14184,CASHCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783987200000,2026-07-14 23:59:59.999,CASHCAT,1d,0.15048,0.1728,0.17887,0.14932,25087323.0,19146,CASHCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784073600000,2026-07-15 23:59:59.999,CASHCAT,1d,0.16549,0.14739,0.16759,0.13727,27366629.0,16700,CASHCAT,0.264,0.13727,0.200635,,,,,,,,,,,,,,,,,,,,,,,,
1784160000000,2026-07-16 23:59:59.999,CASHCAT,1d,0.10311,0.095002,0.1127,0.089,59753955.0,29671,CASHCAT,0.2236,0.089,0.1563,,,,,,,,,,,,,,,,,,,,,,,,
1784246400000,2026-07-17 23:59:59.999,CASHCAT,1d,0.061165,0.054546,0.065388,0.045333,284616983.0,70372,CASHCAT,0.17887,0.045333,0.11210149999999999,,,,,,,,,,,,,,,,,,,,,,,,
1784332800000,2026-07-18 23:59:59.999,CASHCAT,1d,0.0668,0.052178,0.068861,0.047753,129053371.0,39793,CASHCAT,0.17887,0.045333,0.11210149999999999,,,,,,,,,,,,,,,,,,,,,,,,
1784419200000,2026-07-19 23:59:59.999,CASHCAT,1d,0.062688,0.057253,0.064677,0.050722,68883114.0,21693,CASHCAT,0.16759,0.045333,0.10646149999999999,,,,,,,,,,,,,,,,,,,,,,,,
1784505600000,2026-07-20 23:59:59.999,CASHCAT,1d,0.080264,0.069363,0.084926,0.065,52879479.0,24921,CASHCAT,0.1127,0.045333,0.07901649999999999,0.264,0.045333,0.1546665,,,,,,,,,,,,,,,,,,,,,
1784592000000,2026-07-21 23:59:59.999,CASHCAT,1d,0.075363,0.07898,0.0859,0.07504,29777353.0,16571,CASHCAT,0.0859,0.045333,0.0656165,0.2236,0.045333,0.1344665,,,,,,,,,,,,,,,,,,,,,
1784678400000,2026-07-22 23:59:59.999,CASHCAT,1d,0.068868,0.062831,0.070945,0.061,25252908.0,13188,CASHCAT,0.0859,0.047753,0.0668265,0.17887,0.045333,0.11210149999999999,,,,,,,,,,,,,,,,,,,,,
1784764800000,2026-07-23 23:59:59.999,CASHCAT,1d,0.05345,0.050998,0.05468,0.045634,45922823.0,17846,CASHCAT,0.0859,0.045634,0.065767,0.17887,0.045333,0.11210149999999999,,,,,,,,,,,,,,,,,,,,,
