t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1726790400000,2024-09-20 23:59:59.999,CATI,1d,0.9406,0.911,1.124,0.8107,0.0,0,CATI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726876800000,2024-09-21 23:59:59.999,CATI,1d,0.9109,0.9042,0.9946,0.8383,0.0,0,CATI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726963200000,2024-09-22 23:59:59.999,CATI,1d,0.9043,0.7632,0.9064,0.7255,0.0,0,CATI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727049600000,2024-09-23 23:59:59.999,CATI,1d,0.7631,0.8146,0.8433,0.7272,0.0,0,CATI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727136000000,2024-09-24 23:59:59.999,CATI,1d,0.8145,0.783,0.8199,0.7564,0.0,0,CATI,1.124,0.7255,0.9247500000000001,,,,,,,,,,,,,,,,,,,,,,,,
1727222400000,2024-09-25 23:59:59.999,CATI,1d,0.77644,0.74193,0.80278,0.73694,658344.0,1521,CATI,0.9946,0.7255,0.86005,,,,,,,,,,,,,,,,,,,,,,,,
1727308800000,2024-09-26 23:59:59.999,CATI,1d,0.74284,0.67549,0.75422,0.65789,1090926.0,1971,CATI,0.9064,0.65789,0.782145,,,,,,,,,,,,,,,,,,,,,,,,
1727395200000,2024-09-27 23:59:59.999,CATI,1d,0.67693,0.71105,0.72032,0.67356,931407.0,2018,CATI,0.8433,0.65789,0.750595,,,,,,,,,,,,,,,,,,,,,,,,
1727481600000,2024-09-28 23:59:59.999,CATI,1d,0.71073,0.64729,0.73681,0.62967,1756157.0,2578,CATI,0.8199,0.62967,0.724785,,,,,,,,,,,,,,,,,,,,,,,,
1727568000000,2024-09-29 23:59:59.999,CATI,1d,0.64567,0.62452,0.65432,0.61232,1325614.0,2217,CATI,0.80278,0.61232,0.70755,1.124,0.61232,0.86816,,,,,,,,,,,,,,,,,,,,,
1727654400000,2024-09-30 23:59:59.999,CATI,1d,0.62603,0.55174,0.64761,0.54545,1192168.0,2135,CATI,0.75422,0.54545,0.6498349999999999,0.9946,0.54545,0.770025,,,,,,,,,,,,,,,,,,,,,
1727740800000,2024-10-01 23:59:59.999,CATI,1d,0.55276,0.45665,0.56402,0.44987,1472595.0,2485,CATI,0.73681,0.44987,0.59334,0.9064,0.44987,0.6781349999999999,,,,,,,,,,,,,,,,,,,,,
1727827200000,2024-10-02 23:59:59.999,CATI,1d,0.4553,0.45211,0.47533,0.43506,1267103.0,2113,CATI,0.73681,0.43506,0.585935,0.8433,0.43506,0.6391800000000001,,,,,,,,,,,,,,,,,,,,,
1727913600000,2024-10-03 23:59:59.999,CATI,1d,0.45273,0.47582,0.49073,0.44548,2043117.0,1943,CATI,0.65432,0.43506,0.54469,0.8199,0.43506,0.62748,,,,,,,,,,,,,,,,,,,,,
1728000000000,2024-10-04 23:59:59.999,CATI,1d,0.47643,0.49579,0.50403,0.4592,1104964.0,2075,CATI,0.64761,0.43506,0.541335,0.80278,0.43506,0.61892,,,,,,,,,,,,,,,,,,,,,
1728086400000,2024-10-05 23:59:59.999,CATI,1d,0.49579,0.52407,0.58274,0.49579,1592103.0,2419,CATI,0.58274,0.43506,0.5089,0.75422,0.43506,0.5946400000000001,,,,,,,,,,,,,,,,,,,,,
1728172800000,2024-10-06 23:59:59.999,CATI,1d,0.523,0.51392,0.52641,0.49765,907154.0,2223,CATI,0.58274,0.43506,0.5089,0.73681,0.43506,0.585935,,,,,,,,,,,,,,,,,,,,,
1728259200000,2024-10-07 23:59:59.999,CATI,1d,0.51384,0.48335,0.5421,0.48335,966090.0,2024,CATI,0.58274,0.44548,0.5141100000000001,0.73681,0.43506,0.585935,,,,,,,,,,,,,,,,,,,,,
1728345600000,2024-10-08 23:59:59.999,CATI,1d,0.48409,0.45701,0.49239,0.44549,680425.0,1934,CATI,0.58274,0.44549,0.514115,0.65432,0.43506,0.54469,,,,,,,,,,,,,,,,,,,,,
1728432000000,2024-10-09 23:59:59.999,CATI,1d,0.45716,0.42898,0.48505,0.42739,1755766.0,2178,CATI,0.58274,0.42739,0.505065,0.64761,0.42739,0.5375,1.124,0.42739,0.775695,,,,,,,,,,,,,,,,,,
1728518400000,2024-10-10 23:59:59.999,CATI,1d,0.42912,0.4034,0.43755,0.39252,657754.0,1962,CATI,0.5421,0.39252,0.46731,0.58274,0.39252,0.48763,0.9946,0.39252,0.69356,,,,,,,,,,,,,,,,,,
1728604800000,2024-10-11 23:59:59.999,CATI,1d,0.40358,0.42764,0.43994,0.40264,312856.0,1933,CATI,0.5421,0.39252,0.46731,0.58274,0.39252,0.48763,0.9064,0.39252,0.6494599999999999,,,,,,,,,,,,,,,,,,
1728691200000,2024-10-12 23:59:59.999,CATI,1d,0.427,0.45238,0.47093,0.4152,834836.0,2046,CATI,0.49239,0.39252,0.442455,0.58274,0.39252,0.48763,0.8433,0.39252,0.61791,,,,,,,,,,,,,,,,,,
1728777600000,2024-10-13 23:59:59.999,CATI,1d,0.45241,0.4634,0.47308,0.43487,1080025.0,1981,CATI,0.48505,0.39252,0.438785,0.58274,0.39252,0.48763,0.8199,0.39252,0.6062099999999999,,,,,,,,,,,,,,,,,,
1728864000000,2024-10-14 23:59:59.999,CATI,1d,0.46337,0.48341,0.48754,0.4536,646083.0,1970,CATI,0.48754,0.39252,0.44003,0.58274,0.39252,0.48763,0.80278,0.39252,0.59765,,,,,,,,,,,,,,,,,,
1728950400000,2024-10-15 23:59:59.999,CATI,1d,0.48342,0.43632,0.48667,0.42181,1337242.0,2238,CATI,0.48754,0.40264,0.44509,0.5421,0.39252,0.46731,0.75422,0.39252,0.5733699999999999,,,,,,,,,,,,,,,,,,
1729036800000,2024-10-16 23:59:59.999,CATI,1d,0.43558,0.41522,0.43702,0.40762,819485.0,2005,CATI,0.48754,0.40762,0.44758,0.5421,0.39252,0.46731,0.73681,0.39252,0.564665,,,,,,,,,,,,,,,,,,
1729123200000,2024-10-17 23:59:59.999,CATI,1d,0.41589,0.41119,0.42465,0.39644,430340.0,1986,CATI,0.48754,0.39644,0.44199,0.49239,0.39252,0.442455,0.73681,0.39252,0.564665,,,,,,,,,,,,,,,,,,
1729209600000,2024-10-18 23:59:59.999,CATI,1d,0.41051,0.43908,0.43976,0.40894,624870.0,1952,CATI,0.48754,0.39644,0.44199,0.48754,0.39252,0.44003,0.65432,0.39252,0.52342,,,,,,,,,,,,,,,,,,
1729296000000,2024-10-19 23:59:59.999,CATI,1d,0.43877,0.43791,0.44862,0.42321,1520775.0,2105,CATI,0.48667,0.39644,0.44155500000000003,0.48754,0.39252,0.44003,0.64761,0.39252,0.520065,1.124,0.39252,0.75826,,,,,,,,,,,,,,,
1729382400000,2024-10-20 23:59:59.999,CATI,1d,0.43857,0.45146,0.45937,0.42443,403283.0,2029,CATI,0.45937,0.39644,0.427905,0.48754,0.39644,0.44199,0.58274,0.39252,0.48763,0.9946,0.39252,0.69356,,,,,,,,,,,,,,,
1729468800000,2024-10-21 23:59:59.999,CATI,1d,0.45169,0.43002,0.45656,0.42466,455402.0,2042,CATI,0.45937,0.39644,0.427905,0.48754,0.39644,0.44199,0.58274,0.39252,0.48763,0.9064,0.39252,0.6494599999999999,,,,,,,,,,,,,,,
