t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1761868800000,2025-10-31 23:59:59.999,CC,1d,0.14992,0.14127,0.167,0.10545,101553954.0,39271,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761955200000,2025-11-01 23:59:59.999,CC,1d,0.141,0.13901,0.15249,0.13599,2318145.0,972,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762041600000,2025-11-02 23:59:59.999,CC,1d,0.15943,0.15619,0.16079,0.15313,577902.0,845,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762128000000,2025-11-03 23:59:59.999,CC,1d,0.17067,0.16239,0.17067,0.16159,713799.0,693,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762214400000,2025-11-04 23:59:59.999,CC,1d,0.14776,0.14607,0.1526,0.14607,762144.0,828,CC,0.17067,0.10545,0.13806,,,,,,,,,,,,,,,,,,,,,,,,
1762300800000,2025-11-05 23:59:59.999,CC,1d,0.16565,0.15093,0.1676,0.14119,1371395.0,946,CC,0.17067,0.13599,0.15333,,,,,,,,,,,,,,,,,,,,,,,,
1762387200000,2025-11-06 23:59:59.999,CC,1d,0.15645,0.14801,0.1671,0.14066,3256781.0,2946,CC,0.17067,0.14066,0.155665,,,,,,,,,,,,,,,,,,,,,,,,
1762473600000,2025-11-07 23:59:59.999,CC,1d,0.16648,0.16769,0.17068,0.16353,336879.0,624,CC,0.17068,0.14066,0.15567,,,,,,,,,,,,,,,,,,,,,,,,
1762560000000,2025-11-08 23:59:59.999,CC,1d,0.1622,0.16143,0.16458,0.1529,624762.0,1342,CC,0.17068,0.14066,0.15567,,,,,,,,,,,,,,,,,,,,,,,,
1762646400000,2025-11-09 23:59:59.999,CC,1d,0.1509,0.15222,0.16594,0.146,1160192.0,778,CC,0.17068,0.14066,0.15567,0.17068,0.10545,0.138065,,,,,,,,,,,,,,,,,,,,,
1762732800000,2025-11-10 23:59:59.999,CC,1d,0.16303,0.16103,0.16814,0.15795,1532307.0,837,CC,0.17068,0.14066,0.15567,0.17068,0.13599,0.153335,,,,,,,,,,,,,,,,,,,,,
1762819200000,2025-11-11 23:59:59.999,CC,1d,0.11806,0.11269,0.12003,0.11131,5782941.0,2233,CC,0.17068,0.11131,0.140995,0.17068,0.11131,0.140995,,,,,,,,,,,,,,,,,,,,,
1762905600000,2025-11-12 23:59:59.999,CC,1d,0.11737,0.1261,0.12919,0.11506,2401698.0,1522,CC,0.16814,0.11131,0.13972500000000002,0.17068,0.11131,0.140995,,,,,,,,,,,,,,,,,,,,,
1762992000000,2025-11-13 23:59:59.999,CC,1d,0.13283,0.13349,0.13563,0.13073,2037297.0,772,CC,0.16814,0.11131,0.13972500000000002,0.17068,0.11131,0.140995,,,,,,,,,,,,,,,,,,,,,
1763078400000,2025-11-14 23:59:59.999,CC,1d,0.10986,0.1101,0.11145,0.10917,551858.0,290,CC,0.16814,0.10917,0.138655,0.17068,0.10917,0.139925,,,,,,,,,,,,,,,,,,,,,
1763164800000,2025-11-15 23:59:59.999,CC,1d,0.1184,0.11575,0.1188,0.11547,648946.0,806,CC,0.13563,0.10917,0.12240000000000001,0.17068,0.10917,0.139925,,,,,,,,,,,,,,,,,,,,,
1763251200000,2025-11-16 23:59:59.999,CC,1d,0.11354,0.11214,0.11354,0.11033,1155348.0,539,CC,0.13563,0.10917,0.12240000000000001,0.17068,0.10917,0.139925,,,,,,,,,,,,,,,,,,,,,
