t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,CELO,1d,0.521,0.495,0.539,0.489,0.0,0,CELO
1688688000000,2023-07-07 23:59:59.999,CELO,1d,0.495,0.507,0.525,0.486,0.0,0,CELO
1688774400000,2023-07-08 23:59:59.999,CELO,1d,0.506,0.495,0.508,0.483,0.0,0,CELO
1688860800000,2023-07-09 23:59:59.999,CELO,1d,0.496,0.498,0.516,0.489,0.0,0,CELO
1688947200000,2023-07-10 23:59:59.999,CELO,1d,0.497,0.497,0.507,0.477,0.0,0,CELO
1689033600000,2023-07-11 23:59:59.999,CELO,1d,0.497,0.492,0.501,0.478,0.0,0,CELO
1689120000000,2023-07-12 23:59:59.999,CELO,1d,0.491,0.489,0.503,0.481,0.0,0,CELO
1689206400000,2023-07-13 23:59:59.999,CELO,1d,0.489,0.52,0.524,0.469,0.0,0,CELO
1689292800000,2023-07-14 23:59:59.999,CELO,1d,0.521,0.507,0.533,0.491,0.0,0,CELO
1689379200000,2023-07-15 23:59:59.999,CELO,1d,0.507,0.504,0.518,0.497,0.0,0,CELO
1689465600000,2023-07-16 23:59:59.999,CELO,1d,0.504,0.513,0.548,0.492,0.0,0,CELO
1689552000000,2023-07-17 23:59:59.999,CELO,1d,0.512,0.587,0.606,0.502,0.0,0,CELO
1689638400000,2023-07-18 23:59:59.999,CELO,1d,0.587,0.52,0.615,0.511,0.0,0,CELO
1689724800000,2023-07-19 23:59:59.999,CELO,1d,0.52,0.499,0.526,0.493,0.0,0,CELO
1689811200000,2023-07-20 23:59:59.999,CELO,1d,0.499,0.506,0.527,0.495,0.0,0,CELO
1689897600000,2023-07-21 23:59:59.999,CELO,1d,0.506,0.497,0.508,0.494,0.0,0,CELO
1689984000000,2023-07-22 23:59:59.999,CELO,1d,0.497,0.489,0.505,0.483,0.0,0,CELO
1690070400000,2023-07-23 23:59:59.999,CELO,1d,0.489,0.499,0.503,0.486,0.0,0,CELO
1690156800000,2023-07-24 23:59:59.999,CELO,1d,0.499,0.473,0.5,0.444,0.0,0,CELO
1690243200000,2023-07-25 23:59:59.999,CELO,1d,0.473,0.472,0.48,0.469,0.0,0,CELO
1690329600000,2023-07-26 23:59:59.999,CELO,1d,0.473,0.488,0.493,0.463,0.0,0,CELO
1690416000000,2023-07-27 23:59:59.999,CELO,1d,0.488,0.486,0.492,0.479,0.0,0,CELO
1690502400000,2023-07-28 23:59:59.999,CELO,1d,0.486,0.491,0.492,0.477,0.0,0,CELO
1690588800000,2023-07-29 23:59:59.999,CELO,1d,0.49,0.503,0.509,0.488,0.0,0,CELO
1690675200000,2023-07-30 23:59:59.999,CELO,1d,0.503,0.494,0.507,0.479,0.0,0,CELO
1690761600000,2023-07-31 23:59:59.999,CELO,1d,0.495,0.52,0.535,0.49,0.0,0,CELO
1690848000000,2023-08-01 23:59:59.999,CELO,1d,0.52,0.5,0.521,0.482,0.0,0,CELO
1690934400000,2023-08-02 23:59:59.999,CELO,1d,0.5,0.488,0.528,0.482,0.0,0,CELO
