t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,CFX,1d,0.19232,0.18282,0.19832,0.1827,20590193.0,7889,CFX
1688688000000,2023-07-07 23:59:59.999,CFX,1d,0.1828,0.18726,0.18819,0.17992,26425850.0,9009,CFX
1688774400000,2023-07-08 23:59:59.999,CFX,1d,0.18745,0.19024,0.19234,0.18334,96176530.0,9900,CFX
1688860800000,2023-07-09 23:59:59.999,CFX,1d,0.19025,0.18442,0.19117,0.18353,84859532.0,15856,CFX
1688947200000,2023-07-10 23:59:59.999,CFX,1d,0.1845,0.17993,0.18544,0.17264,151845971.0,14987,CFX
1689033600000,2023-07-11 23:59:59.999,CFX,1d,0.17995,0.18089,0.18408,0.17755,124838868.0,8485,CFX
1689120000000,2023-07-12 23:59:59.999,CFX,1d,0.18084,0.2014,0.208,0.18021,96051264.0,8981,CFX
1689206400000,2023-07-13 23:59:59.999,CFX,1d,0.20122,0.20331,0.206,0.19389,33478246.0,4980,CFX
1689292800000,2023-07-14 23:59:59.999,CFX,1d,0.2041,0.19421,0.21993,0.18626,52255928.0,6996,CFX
1689379200000,2023-07-15 23:59:59.999,CFX,1d,0.19449,0.19096,0.19642,0.1884,26011124.0,4119,CFX
1689465600000,2023-07-16 23:59:59.999,CFX,1d,0.19104,0.18854,0.19488,0.18674,24716191.0,4242,CFX
1689552000000,2023-07-17 23:59:59.999,CFX,1d,0.18849,0.18873,0.19132,0.18228,44854272.0,7769,CFX
1689638400000,2023-07-18 23:59:59.999,CFX,1d,0.18872,0.18339,0.19095,0.17768,45760113.0,11031,CFX
1689724800000,2023-07-19 23:59:59.999,CFX,1d,0.18338,0.18367,0.18731,0.18216,50072505.0,10426,CFX
1689811200000,2023-07-20 23:59:59.999,CFX,1d,0.18361,0.1842,0.19481,0.18024,46025122.0,10563,CFX
1689897600000,2023-07-21 23:59:59.999,CFX,1d,0.18452,0.1835,0.18604,0.18184,34878832.0,9060,CFX
1689984000000,2023-07-22 23:59:59.999,CFX,1d,0.18352,0.18348,0.18675,0.18109,20861297.0,8526,CFX
1690070400000,2023-07-23 23:59:59.999,CFX,1d,0.18341,0.18538,0.18872,0.18189,21637847.0,8716,CFX
1690156800000,2023-07-24 23:59:59.999,CFX,1d,0.18539,0.17342,0.18971,0.17168,54320239.0,9253,CFX
1690243200000,2023-07-25 23:59:59.999,CFX,1d,0.17359,0.17181,0.17497,0.16914,37305538.0,6749,CFX
1690329600000,2023-07-26 23:59:59.999,CFX,1d,0.17196,0.17359,0.17736,0.16804,55526557.0,9065,CFX
1690416000000,2023-07-27 23:59:59.999,CFX,1d,0.17373,0.17212,0.1755,0.17004,32921367.0,5821,CFX
1690502400000,2023-07-28 23:59:59.999,CFX,1d,0.17225,0.17458,0.17519,0.17059,23028846.0,6197,CFX
1690588800000,2023-07-29 23:59:59.999,CFX,1d,0.17462,0.18096,0.18253,0.17442,20200589.0,5714,CFX
1690675200000,2023-07-30 23:59:59.999,CFX,1d,0.18101,0.18024,0.18425,0.17387,38049502.0,5454,CFX
