t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1732492800000,2024-11-25 23:59:59.999,CHILLGUY,1d,0.44223,0.375,0.49589,0.31721,20927838.0,18286,CHILLGUY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732579200000,2024-11-26 23:59:59.999,CHILLGUY,1d,0.37069,0.52843,0.593,0.367,34291897.0,25605,CHILLGUY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732665600000,2024-11-27 23:59:59.999,CHILLGUY,1d,0.52755,0.56581,0.68171,0.48777,21109822.0,17797,CHILLGUY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732752000000,2024-11-28 23:59:59.999,CHILLGUY,1d,0.56562,0.48276,0.57565,0.47105,16917238.0,14685,CHILLGUY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732838400000,2024-11-29 23:59:59.999,CHILLGUY,1d,0.48409,0.45708,0.5235,0.4359,15186198.0,13446,CHILLGUY,0.68171,0.31721,0.49946,,,,,,,,,,,,,,,,,,,,,,,,
1732924800000,2024-11-30 23:59:59.999,CHILLGUY,1d,0.45703,0.4424,0.51752,0.4424,21213078.0,13819,CHILLGUY,0.68171,0.367,0.524355,,,,,,,,,,,,,,,,,,,,,,,,
1733011200000,2024-12-01 23:59:59.999,CHILLGUY,1d,0.4424,0.44877,0.48743,0.41663,24067006.0,15147,CHILLGUY,0.68171,0.41663,0.54917,,,,,,,,,,,,,,,,,,,,,,,,
1733097600000,2024-12-02 23:59:59.999,CHILLGUY,1d,0.44877,0.42193,0.46,0.36,50376128.0,25757,CHILLGUY,0.57565,0.36,0.467825,,,,,,,,,,,,,,,,,,,,,,,,
1733184000000,2024-12-03 23:59:59.999,CHILLGUY,1d,0.42193,0.48604,0.53191,0.41512,41472507.0,20303,CHILLGUY,0.53191,0.36,0.445955,,,,,,,,,,,,,,,,,,,,,,,,
1733270400000,2024-12-04 23:59:59.999,CHILLGUY,1d,0.48614,0.47318,0.56943,0.4494,26927210.0,14978,CHILLGUY,0.56943,0.36,0.464715,0.68171,0.31721,0.49946,,,,,,,,,,,,,,,,,,,,,
1733356800000,2024-12-05 23:59:59.999,CHILLGUY,1d,0.47318,0.44903,0.49254,0.41427,23415989.0,14300,CHILLGUY,0.56943,0.36,0.464715,0.68171,0.36,0.5208550000000001,,,,,,,,,,,,,,,,,,,,,
1733443200000,2024-12-06 23:59:59.999,CHILLGUY,1d,0.44919,0.41676,0.47107,0.40714,16589254.0,11458,CHILLGUY,0.56943,0.36,0.464715,0.68171,0.36,0.5208550000000001,,,,,,,,,,,,,,,,,,,,,
