t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1776816000000,2026-04-22 23:59:59.999,CHIP,1d,0.056858,0.062769,0.064207,0.055983,30382198.0,3902,CHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776902400000,2026-04-23 23:59:59.999,CHIP,1d,0.11199,0.10282,0.14112,0.099444,364910891.0,54352,CHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776988800000,2026-04-24 23:59:59.999,CHIP,1d,0.10375,0.095209,0.10587,0.094678,55554223.0,12912,CHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777075200000,2026-04-25 23:59:59.999,CHIP,1d,0.084835,0.07695,0.086424,0.0761,101850393.0,14151,CHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777161600000,2026-04-26 23:59:59.999,CHIP,1d,0.073026,0.06678,0.073254,0.06622,38777572.0,7678,CHIP,0.14112,0.055983,0.0985515,,,,,,,,,,,,,,,,,,,,,,,,
1777248000000,2026-04-27 23:59:59.999,CHIP,1d,0.072982,0.08363,0.084762,0.072,115570014.0,20130,CHIP,0.14112,0.06622,0.10367,,,,,,,,,,,,,,,,,,,,,,,,
1777334400000,2026-04-28 23:59:59.999,CHIP,1d,0.074547,0.073901,0.079106,0.07373,48102051.0,7535,CHIP,0.10587,0.06622,0.08604500000000001,,,,,,,,,,,,,,,,,,,,,,,,
1777420800000,2026-04-29 23:59:59.999,CHIP,1d,0.068637,0.068511,0.069,0.066629,23831824.0,3321,CHIP,0.086424,0.06622,0.076322,,,,,,,,,,,,,,,,,,,,,,,,
1777507200000,2026-04-30 23:59:59.999,CHIP,1d,0.063573,0.065736,0.067962,0.063416,25330328.0,4604,CHIP,0.084762,0.063416,0.074089,,,,,,,,,,,,,,,,,,,,,,,,
1777593600000,2026-05-01 23:59:59.999,CHIP,1d,0.063614,0.064051,0.064662,0.062432,15002553.0,2648,CHIP,0.084762,0.062432,0.073597,0.14112,0.055983,0.0985515,,,,,,,,,,,,,,,,,,,,,
1777680000000,2026-05-02 23:59:59.999,CHIP,1d,0.064427,0.066667,0.06757,0.063923,12937436.0,3451,CHIP,0.079106,0.062432,0.070769,0.14112,0.062432,0.101776,,,,,,,,,,,,,,,,,,,,,
1777766400000,2026-05-03 23:59:59.999,CHIP,1d,0.061266,0.060008,0.061707,0.059239,18847141.0,2983,CHIP,0.069,0.059239,0.0641195,0.10587,0.059239,0.0825545,,,,,,,,,,,,,,,,,,,,,
1777852800000,2026-05-04 23:59:59.999,CHIP,1d,0.059379,0.060229,0.060706,0.058194,8990454.0,1761,CHIP,0.067962,0.058194,0.063078,0.086424,0.058194,0.072309,,,,,,,,,,,,,,,,,,,,,
1777939200000,2026-05-05 23:59:59.999,CHIP,1d,0.059943,0.059751,0.060836,0.05917,4667620.0,1277,CHIP,0.06757,0.058194,0.06288200000000001,0.084762,0.058194,0.071478,,,,,,,,,,,,,,,,,,,,,
1778025600000,2026-05-06 23:59:59.999,CHIP,1d,0.056693,0.055628,0.056693,0.055354,5944880.0,1253,CHIP,0.06757,0.055354,0.061462,0.084762,0.055354,0.07005800000000001,,,,,,,,,,,,,,,,,,,,,
1778112000000,2026-05-07 23:59:59.999,CHIP,1d,0.054859,0.051761,0.05526,0.051718,15259433.0,1575,CHIP,0.061707,0.051718,0.0567125,0.079106,0.051718,0.065412,,,,,,,,,,,,,,,,,,,,,
1778198400000,2026-05-08 23:59:59.999,CHIP,1d,0.0565,0.058676,0.060838,0.055907,15127757.0,2620,CHIP,0.060838,0.051718,0.056278,0.069,0.051718,0.060359,,,,,,,,,,,,,,,,,,,,,
