t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,COMP,1d,55.61,53.88,57.41,52.66,0.0,0,COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,COMP,1d,53.88,60.42,63.24,51.75,0.0,0,COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,COMP,1d,60.42,59.35,62.75,56.82,0.0,0,COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,COMP,1d,59.35,66.32,67.89,58.52,0.0,0,COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,COMP,1d,66.33,70.83,74.77,64.29,0.0,0,COMP,74.77,51.75,63.26,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,COMP,1d,70.83,69.47,73.0,67.57,0.0,0,COMP,74.77,51.75,63.26,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,COMP,1d,69.46,66.56,72.41,65.91,0.0,0,COMP,74.77,56.82,65.795,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,COMP,1d,66.55,75.9,77.84,65.11,0.0,0,COMP,77.84,58.52,68.18,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,COMP,1d,75.89,77.41,83.08,74.07,0.0,0,COMP,83.08,64.29,73.685,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,COMP,1d,76.306,76.021,76.881,75.773,80.66,76,COMP,83.08,65.11,74.095,83.08,51.75,67.41499999999999,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,COMP,1d,75.923,71.125,76.605,68.895,8238.53,2853,COMP,83.08,65.11,74.095,83.08,51.75,67.41499999999999,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,COMP,1d,71.127,69.179,73.616,68.836,15140.83,3182,COMP,83.08,65.11,74.095,83.08,56.82,69.95,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,COMP,1d,69.221,73.37,74.647,68.727,16526.66,3240,COMP,83.08,68.727,75.90350000000001,83.08,58.52,70.8,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,COMP,1d,73.322,70.982,76.726,70.812,10303.32,2847,COMP,76.881,68.727,72.804,83.08,64.29,73.685,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,COMP,1d,70.984,70.388,71.874,69.176,5510.04,2632,COMP,76.726,68.727,72.7265,83.08,65.11,74.095,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,COMP,1d,70.444,70.151,72.861,69.647,8979.54,2786,COMP,76.726,68.727,72.7265,83.08,65.11,74.095,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,COMP,1d,69.968,63.326,69.968,62.527,20862.36,3360,COMP,76.726,62.527,69.6265,83.08,62.527,72.8035,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,COMP,1d,63.373,62.197,63.781,58.46,20271.68,3241,COMP,76.726,58.46,67.593,83.08,58.46,70.77,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,COMP,1d,62.248,70.734,72.886,62.181,24638.87,3543,COMP,72.886,58.46,65.673,76.881,58.46,67.6705,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,COMP,1d,70.741,70.212,73.749,69.596,24109.48,3081,COMP,73.749,58.46,66.1045,76.726,58.46,67.593,83.08,51.75,67.41499999999999,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,COMP,1d,70.047,72.379,72.379,69.295,19487.48,3009,COMP,73.749,58.46,66.1045,76.726,58.46,67.593,83.08,51.75,67.41499999999999,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,COMP,1d,72.274,72.201,74.757,71.521,11377.42,2996,COMP,74.757,58.46,66.6085,76.726,58.46,67.593,83.08,56.82,69.95,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,COMP,1d,72.201,70.844,73.991,70.655,15598.54,2927,COMP,74.757,62.181,68.469,76.726,58.46,67.593,83.08,58.46,70.77,,,,,,,,,,,,,,,,,,
1690761600000,2023-07-31 23:59:59.999,COMP,1d,70.802,66.248,78.975,65.426,26819.31,3350,COMP,78.975,65.426,72.2005,78.975,58.46,68.7175,83.08,58.46,70.77,,,,,,,,,,,,,,,,,,
1690848000000,2023-08-01 23:59:59.999,COMP,1d,66.27,65.226,66.27,60.679,25432.17,3281,COMP,78.975,60.679,69.827,78.975,58.46,68.7175,83.08,58.46,70.77,,,,,,,,,,,,,,,,,,
1690934400000,2023-08-02 23:59:59.999,COMP,1d,65.45,61.419,66.456,61.318,26439.69,3177,COMP,78.975,60.679,69.827,78.975,58.46,68.7175,83.08,58.46,70.77,,,,,,,,,,,,,,,,,,
1691020800000,2023-08-03 23:59:59.999,COMP,1d,61.439,59.899,61.955,58.684,40718.59,3563,COMP,78.975,58.684,68.8295,78.975,58.46,68.7175,83.08,58.46,70.77,,,,,,,,,,,,,,,,,,
1691107200000,2023-08-04 23:59:59.999,COMP,1d,59.746,57.967,61.006,56.233,22121.89,3132,COMP,78.975,56.233,67.604,78.975,56.233,67.604,83.08,56.233,69.6565,,,,,,,,,,,,,,,,,,
1691193600000,2023-08-05 23:59:59.999,COMP,1d,57.933,57.536,58.568,54.476,22704.5,3132,COMP,66.456,54.476,60.466,78.975,54.476,66.7255,78.975,54.476,66.7255,,,,,,,,,,,,,,,,,,
1691280000000,2023-08-06 23:59:59.999,COMP,1d,57.509,56.727,59.633,56.529,18947.43,3035,COMP,66.456,54.476,60.466,78.975,54.476,66.7255,78.975,54.476,66.7255,83.08,51.75,67.41499999999999,,,,,,,,,,,,,,,
1691366400000,2023-08-07 23:59:59.999,COMP,1d,56.759,54.323,58.339,53.118,35678.24,3553,COMP,61.955,53.118,57.536500000000004,78.975,53.118,66.0465,78.975,53.118,66.0465,83.08,51.75,67.41499999999999,,,,,,,,,,,,,,,
1691452800000,2023-08-08 23:59:59.999,COMP,1d,54.24,55.986,56.336,53.528,36935.96,3571,COMP,61.006,53.118,57.062,78.975,53.118,66.0465,78.975,53.118,66.0465,83.08,53.118,68.099,,,,,,,,,,,,,,,
1691539200000,2023-08-09 23:59:59.999,COMP,1d,55.993,55.79,56.767,54.862,26423.49,3191,COMP,59.633,53.118,56.3755,78.975,53.118,66.0465,78.975,53.118,66.0465,83.08,53.118,68.099,,,,,,,,,,,,,,,
1691625600000,2023-08-10 23:59:59.999,COMP,1d,55.831,55.357,57.18,54.899,21721.56,3098,COMP,59.633,53.118,56.3755,66.456,53.118,59.787000000000006,78.975,53.118,66.0465,83.08,53.118,68.099,,,,,,,,,,,,,,,
1691712000000,2023-08-11 23:59:59.999,COMP,1d,55.381,55.507,56.039,54.888,14368.79,2896,COMP,58.339,53.118,55.7285,66.456,53.118,59.787000000000006,78.975,53.118,66.0465,83.08,53.118,68.099,,,,,,,,,,,,,,,
1691798400000,2023-08-12 23:59:59.999,COMP,1d,55.535,55.348,56.911,54.986,9418.86,2735,COMP,57.18,53.528,55.354,61.955,53.118,57.536500000000004,78.975,53.118,66.0465,83.08,53.118,68.099,,,,,,,,,,,,,,,
1691884800000,2023-08-13 23:59:59.999,COMP,1d,55.374,54.31,55.595,53.726,14699.17,2861,COMP,57.18,53.726,55.453,61.006,53.118,57.062,78.975,53.118,66.0465,83.08,53.118,68.099,,,,,,,,,,,,,,,
1691971200000,2023-08-14 23:59:59.999,COMP,1d,54.243,55.836,56.657,53.999,23580.53,3089,COMP,57.18,53.726,55.453,59.633,53.118,56.3755,78.975,53.118,66.0465,83.08,53.118,68.099,,,,,,,,,,,,,,,
1692057600000,2023-08-15 23:59:59.999,COMP,1d,55.797,50.819,56.476,47.725,21271.21,3073,COMP,56.911,47.725,52.318,59.633,47.725,53.679,78.975,47.725,63.349999999999994,78.975,47.725,63.349999999999994,,,,,,,,,,,,,,,
1692144000000,2023-08-16 23:59:59.999,COMP,1d,50.737,46.738,51.064,45.956,51356.84,3908,COMP,56.911,45.956,51.4335,58.339,45.956,52.1475,78.975,45.956,62.4655,78.975,45.956,62.4655,,,,,,,,,,,,,,,
