t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1692576000000,2023-08-21 23:59:59.999,CYBER,1d,4.1,4.892,5.119,4.1,0.0,0,CYBER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692662400000,2023-08-22 23:59:59.999,CYBER,1d,4.892,4.31,5.539,4.131,0.0,0,CYBER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692748800000,2023-08-23 23:59:59.999,CYBER,1d,4.309,4.11,4.467,3.538,0.0,0,CYBER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692835200000,2023-08-24 23:59:59.999,CYBER,1d,4.108,3.884,4.11,3.712,0.0,0,CYBER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692921600000,2023-08-25 23:59:59.999,CYBER,1d,3.884,3.645,3.911,3.501,0.0,0,CYBER,5.539,3.501,4.52,,,,,,,,,,,,,,,,,,,,,,,,
1693008000000,2023-08-26 23:59:59.999,CYBER,1d,3.645,3.699,3.846,3.523,0.0,0,CYBER,5.539,3.501,4.52,,,,,,,,,,,,,,,,,,,,,,,,
1693094400000,2023-08-27 23:59:59.999,CYBER,1d,3.699,3.808,3.899,3.664,0.0,0,CYBER,4.467,3.501,3.984,,,,,,,,,,,,,,,,,,,,,,,,
1693180800000,2023-08-28 23:59:59.999,CYBER,1d,3.808,3.652,3.809,3.564,0.0,0,CYBER,4.11,3.501,3.8055000000000003,,,,,,,,,,,,,,,,,,,,,,,,
1693267200000,2023-08-29 23:59:59.999,CYBER,1d,3.652,7.162,8.292,3.575,0.0,0,CYBER,8.292,3.501,5.8965,,,,,,,,,,,,,,,,,,,,,,,,
1693353600000,2023-08-30 23:59:59.999,CYBER,1d,7.165,8.547,8.87,6.6,0.0,0,CYBER,8.87,3.523,6.1964999999999995,8.87,3.501,6.185499999999999,,,,,,,,,,,,,,,,,,,,,
1693440000000,2023-08-31 23:59:59.999,CYBER,1d,8.7984,8.5572,9.6616,7.9257,103933.1,2322,CYBER,9.6616,3.564,6.6128,9.6616,3.501,6.5813,,,,,,,,,,,,,,,,,,,,,
1693526400000,2023-09-01 23:59:59.999,CYBER,1d,8.5548,11.661,16.376,8.3861,174770.0,3523,CYBER,16.376,3.564,9.97,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,,,,,,,
1693612800000,2023-09-02 23:59:59.999,CYBER,1d,11.536,7.1731,13.979,6.5587,303246.7,5306,CYBER,16.376,3.575,9.9755,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,,,,,,,
1693699200000,2023-09-03 23:59:59.999,CYBER,1d,7.1528,6.8032,7.7,6.6588,102639.9,2000,CYBER,16.376,6.5587,11.46735,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,,,,,,,
1693785600000,2023-09-04 23:59:59.999,CYBER,1d,6.8242,6.1983,7.4,6.027,103285.4,2078,CYBER,16.376,6.027,11.201500000000001,16.376,3.523,9.9495,,,,,,,,,,,,,,,,,,,,,
1693872000000,2023-09-05 23:59:59.999,CYBER,1d,6.2135,5.8547,6.2135,5.702,103001.6,2054,CYBER,16.376,5.702,11.039000000000001,16.376,3.564,9.97,,,,,,,,,,,,,,,,,,,,,
1693958400000,2023-09-06 23:59:59.999,CYBER,1d,5.8499,6.071,6.45,5.758,105608.4,2040,CYBER,13.979,5.702,9.840499999999999,16.376,3.564,9.97,,,,,,,,,,,,,,,,,,,,,
1694044800000,2023-09-07 23:59:59.999,CYBER,1d,6.066,5.9228,6.2295,5.8218,90002.0,2061,CYBER,7.7,5.702,6.7010000000000005,16.376,3.575,9.9755,,,,,,,,,,,,,,,,,,,,,
1694131200000,2023-09-08 23:59:59.999,CYBER,1d,5.9305,5.4611,6.1213,5.2567,61614.7,2034,CYBER,7.4,5.2567,6.32835,16.376,5.2567,10.81635,,,,,,,,,,,,,,,,,,,,,
1694217600000,2023-09-09 23:59:59.999,CYBER,1d,5.4643,5.2482,5.5408,5.2228,77958.8,2052,CYBER,6.45,5.2228,5.8364,16.376,5.2228,10.7994,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,,,,
1694304000000,2023-09-10 23:59:59.999,CYBER,1d,5.2566,4.9036,5.2979,4.8031,106036.2,2079,CYBER,6.45,4.8031,5.62655,16.376,4.8031,10.589550000000001,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,,,,
1694390400000,2023-09-11 23:59:59.999,CYBER,1d,4.9014,5.4673,5.69,4.5606,199443.0,2498,CYBER,6.2295,4.5606,5.3950499999999995,13.979,4.5606,9.2698,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,,,,
1694476800000,2023-09-12 23:59:59.999,CYBER,1d,5.4593,4.9849,5.6278,4.9766,179277.6,2319,CYBER,6.1213,4.5606,5.340949999999999,7.7,4.5606,6.1303,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,,,,
1694563200000,2023-09-13 23:59:59.999,CYBER,1d,5.0013,4.9384,5.1003,4.7858,142632.9,2192,CYBER,5.69,4.5606,5.1253,7.4,4.5606,5.9803,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,,,,
1694649600000,2023-09-14 23:59:59.999,CYBER,1d,4.9384,5.0675,5.3014,4.8237,132202.0,2182,CYBER,5.69,4.5606,5.1253,6.45,4.5606,5.5053,16.376,3.523,9.9495,,,,,,,,,,,,,,,,,,
1694736000000,2023-09-15 23:59:59.999,CYBER,1d,5.0614,5.4797,5.5228,4.9102,97937.2,2020,CYBER,5.69,4.5606,5.1253,6.45,4.5606,5.5053,16.376,3.564,9.97,,,,,,,,,,,,,,,,,,
1694822400000,2023-09-16 23:59:59.999,CYBER,1d,5.4668,5.3085,5.6067,5.2095,110434.1,2075,CYBER,5.6278,4.7858,5.206799999999999,6.2295,4.5606,5.3950499999999995,16.376,3.564,9.97,,,,,,,,,,,,,,,,,,
1694908800000,2023-09-17 23:59:59.999,CYBER,1d,5.3075,4.9179,5.3075,4.8516,90526.0,2036,CYBER,5.6067,4.7858,5.19625,6.1213,4.5606,5.340949999999999,16.376,3.575,9.9755,,,,,,,,,,,,,,,,,,
1694995200000,2023-09-18 23:59:59.999,CYBER,1d,4.9206,4.9332,5.1216,4.7925,142444.2,2207,CYBER,5.6067,4.7925,5.1996,5.69,4.5606,5.1253,16.376,4.5606,10.468300000000001,,,,,,,,,,,,,,,,,,
1695081600000,2023-09-19 23:59:59.999,CYBER,1d,4.928,5.1351,5.2023,4.8973,35709.7,1814,CYBER,5.6067,4.7925,5.1996,5.69,4.5606,5.1253,16.376,4.5606,10.468300000000001,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,
1695168000000,2023-09-20 23:59:59.999,CYBER,1d,5.1508,5.8131,5.9815,5.0943,87345.7,1811,CYBER,5.9815,4.7925,5.3870000000000005,5.9815,4.5606,5.27105,16.376,4.5606,10.468300000000001,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,
1695254400000,2023-09-21 23:59:59.999,CYBER,1d,5.8202,5.1171,5.8632,5.0681,227502.5,2154,CYBER,5.9815,4.7925,5.3870000000000005,5.9815,4.7858,5.383649999999999,13.979,4.5606,9.2698,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,
1695340800000,2023-09-22 23:59:59.999,CYBER,1d,5.1267,5.0982,5.2263,5.0317,78600.3,2053,CYBER,5.9815,4.7925,5.3870000000000005,5.9815,4.7858,5.383649999999999,7.7,4.5606,6.1303,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,
1695427200000,2023-09-23 23:59:59.999,CYBER,1d,5.0982,5.0539,5.1806,4.9121,59215.6,2022,CYBER,5.9815,4.8973,5.4394,5.9815,4.7925,5.3870000000000005,7.4,4.5606,5.9803,16.376,3.501,9.938500000000001,,,,,,,,,,,,,,,
1695513600000,2023-09-24 23:59:59.999,CYBER,1d,5.0514,5.0155,5.137,4.9967,63476.7,2015,CYBER,5.9815,4.9121,5.4468,5.9815,4.7925,5.3870000000000005,6.45,4.5606,5.5053,16.376,3.523,9.9495,,,,,,,,,,,,,,,
1695600000000,2023-09-25 23:59:59.999,CYBER,1d,5.0198,5.0444,5.1053,4.9343,79143.1,2050,CYBER,5.8632,4.9121,5.38765,5.9815,4.7925,5.3870000000000005,6.45,4.5606,5.5053,16.376,3.564,9.97,,,,,,,,,,,,,,,
1695686400000,2023-09-26 23:59:59.999,CYBER,1d,5.0446,5.2345,5.2887,5.0053,53973.7,1980,CYBER,5.2887,4.9121,5.1004000000000005,5.9815,4.7925,5.3870000000000005,6.2295,4.5606,5.3950499999999995,16.376,3.564,9.97,,,,,,,,,,,,,,,
1695772800000,2023-09-27 23:59:59.999,CYBER,1d,5.2178,5.0885,5.2815,5.0098,64287.7,1982,CYBER,5.2887,4.9121,5.1004000000000005,5.9815,4.7925,5.3870000000000005,6.1213,4.5606,5.340949999999999,16.376,3.575,9.9755,,,,,,,,,,,,,,,
