t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,DOGE,1d,0.066896,0.064839,0.068524,0.064625,5832609.0,2752,DOGE
1688688000000,2023-07-07 23:59:59.999,DOGE,1d,0.064826,0.065347,0.065794,0.064289,3963336.0,2683,DOGE
1688774400000,2023-07-08 23:59:59.999,DOGE,1d,0.065323,0.065696,0.066009,0.064744,4468063.0,2634,DOGE
1688860800000,2023-07-09 23:59:59.999,DOGE,1d,0.065729,0.065304,0.06634,0.065135,6680974.0,2728,DOGE
1688947200000,2023-07-10 23:59:59.999,DOGE,1d,0.065329,0.065213,0.066135,0.063691,7683980.0,2745,DOGE
1689033600000,2023-07-11 23:59:59.999,DOGE,1d,0.065218,0.065247,0.06545,0.064368,7340870.0,2836,DOGE
1689120000000,2023-07-12 23:59:59.999,DOGE,1d,0.065216,0.065015,0.066356,0.063814,4727594.0,2478,DOGE
1689206400000,2023-07-13 23:59:59.999,DOGE,1d,0.065021,0.07037,0.071698,0.064533,4687704.0,2685,DOGE
1689292800000,2023-07-14 23:59:59.999,DOGE,1d,0.070529,0.068475,0.073121,0.066307,7364782.0,2738,DOGE
1689379200000,2023-07-15 23:59:59.999,DOGE,1d,0.068449,0.071938,0.074946,0.067779,7637977.0,2797,DOGE
1689465600000,2023-07-16 23:59:59.999,DOGE,1d,0.071924,0.069485,0.072196,0.069009,5610485.0,2623,DOGE
1689552000000,2023-07-17 23:59:59.999,DOGE,1d,0.069449,0.069807,0.07284,0.067959,6475402.0,2713,DOGE
1689638400000,2023-07-18 23:59:59.999,DOGE,1d,0.069792,0.068615,0.070279,0.06704,6648961.0,2697,DOGE
1689724800000,2023-07-19 23:59:59.999,DOGE,1d,0.06861,0.070032,0.071955,0.068281,11743827.0,3020,DOGE
1689811200000,2023-07-20 23:59:59.999,DOGE,1d,0.070045,0.070514,0.073849,0.069232,12838457.0,3074,DOGE
1689897600000,2023-07-21 23:59:59.999,DOGE,1d,0.070585,0.073174,0.076621,0.070247,13796761.0,3003,DOGE
1689984000000,2023-07-22 23:59:59.999,DOGE,1d,0.07315,0.070454,0.073293,0.069563,8117977.0,2851,DOGE
1690070400000,2023-07-23 23:59:59.999,DOGE,1d,0.070436,0.07178,0.072901,0.069977,8065082.0,2891,DOGE
1690156800000,2023-07-24 23:59:59.999,DOGE,1d,0.07176,0.07415,0.077664,0.070232,21581538.0,3484,DOGE
1690243200000,2023-07-25 23:59:59.999,DOGE,1d,0.07418,0.081834,0.083756,0.073592,20638485.0,3488,DOGE
1690329600000,2023-07-26 23:59:59.999,DOGE,1d,0.081751,0.077894,0.082235,0.076826,15730650.0,3039,DOGE
1690416000000,2023-07-27 23:59:59.999,DOGE,1d,0.077924,0.077583,0.079825,0.076643,12169540.0,2838,DOGE
1690502400000,2023-07-28 23:59:59.999,DOGE,1d,0.077435,0.077172,0.07785,0.076019,9848950.0,2814,DOGE
1690588800000,2023-07-29 23:59:59.999,DOGE,1d,0.077151,0.080218,0.082572,0.076861,7334559.0,2890,DOGE
1690675200000,2023-07-30 23:59:59.999,DOGE,1d,0.080306,0.078013,0.080503,0.076134,11121208.0,2840,DOGE
1690761600000,2023-07-31 23:59:59.999,DOGE,1d,0.077953,0.077819,0.079734,0.076814,7264603.0,2711,DOGE
1690848000000,2023-08-01 23:59:59.999,DOGE,1d,0.077764,0.078125,0.078235,0.07535,9615768.0,2801,DOGE
1690934400000,2023-08-02 23:59:59.999,DOGE,1d,0.078149,0.074205,0.078288,0.073903,10929190.0,2788,DOGE
1691020800000,2023-08-03 23:59:59.999,DOGE,1d,0.074098,0.073567,0.075007,0.072808,39587194.0,3578,DOGE
1691107200000,2023-08-04 23:59:59.999,DOGE,1d,0.07355,0.07345,0.074881,0.072614,13118202.0,2913,DOGE
1691193600000,2023-08-05 23:59:59.999,DOGE,1d,0.073461,0.075693,0.076904,0.072881,7475807.0,2716,DOGE
1691280000000,2023-08-06 23:59:59.999,DOGE,1d,0.075732,0.074284,0.076447,0.07415,10526425.0,2790,DOGE
1691366400000,2023-08-07 23:59:59.999,DOGE,1d,0.07437,0.073513,0.07562,0.07152,9182575.0,2776,DOGE
1691452800000,2023-08-08 23:59:59.999,DOGE,1d,0.073476,0.074965,0.07543,0.073196,9180864.0,2771,DOGE
1691539200000,2023-08-09 23:59:59.999,DOGE,1d,0.074893,0.075384,0.076168,0.074195,10110432.0,2699,DOGE
1691625600000,2023-08-10 23:59:59.999,DOGE,1d,0.075379,0.075847,0.076892,0.075125,6458771.0,2706,DOGE
1691712000000,2023-08-11 23:59:59.999,DOGE,1d,0.075862,0.075701,0.076085,0.074893,6393210.0,2594,DOGE
1691798400000,2023-08-12 23:59:59.999,DOGE,1d,0.075747,0.076689,0.077472,0.075586,5752079.0,2667,DOGE
1691884800000,2023-08-13 23:59:59.999,DOGE,1d,0.07674,0.074731,0.076833,0.074335,6079821.0,2527,DOGE
1691971200000,2023-08-14 23:59:59.999,DOGE,1d,0.07475,0.074659,0.077131,0.07367,6600366.0,2673,DOGE
1692057600000,2023-08-15 23:59:59.999,DOGE,1d,0.074723,0.070878,0.074936,0.067684,8295279.0,2845,DOGE
