t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1746748800000,2025-05-09 23:59:59.999,DOOD,1d,0.010373,0.008515,0.010825,0.006597,1416674117.0,17641,DOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746835200000,2025-05-10 23:59:59.999,DOOD,1d,0.008539,0.008115,0.008997,0.00728,689426794.0,9401,DOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746921600000,2025-05-11 23:59:59.999,DOOD,1d,0.00815,0.00683,0.008195,0.00657,479515020.0,7100,DOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747008000000,2025-05-12 23:59:59.999,DOOD,1d,0.006822,0.005954,0.007373,0.005262,328594111.0,4758,DOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747094400000,2025-05-13 23:59:59.999,DOOD,1d,0.005985,0.006148,0.006325,0.005451,327505045.0,4878,DOOD,0.010825,0.005262,0.0080435,,,,,,,,,,,,,,,,,,,,,,,,
1747180800000,2025-05-14 23:59:59.999,DOOD,1d,0.006149,0.005613,0.006531,0.005319,237937523.0,2870,DOOD,0.008997,0.005262,0.0071295,,,,,,,,,,,,,,,,,,,,,,,,
1747267200000,2025-05-15 23:59:59.999,DOOD,1d,0.005607,0.004943,0.005778,0.004635,213449943.0,2316,DOOD,0.008195,0.004635,0.006415,,,,,,,,,,,,,,,,,,,,,,,,
1747353600000,2025-05-16 23:59:59.999,DOOD,1d,0.004954,0.005263,0.005524,0.004815,127546535.0,1630,DOOD,0.007373,0.004635,0.006004000000000001,,,,,,,,,,,,,,,,,,,,,,,,
1747440000000,2025-05-17 23:59:59.999,DOOD,1d,0.005308,0.004481,0.00531,0.00432,191696407.0,1806,DOOD,0.006531,0.00432,0.0054255,,,,,,,,,,,,,,,,,,,,,,,,
1747526400000,2025-05-18 23:59:59.999,DOOD,1d,0.004471,0.004535,0.004785,0.004182,154271741.0,1627,DOOD,0.006531,0.004182,0.0053565,0.010825,0.004182,0.0075035,,,,,,,,,,,,,,,,,,,,,
1747612800000,2025-05-19 23:59:59.999,DOOD,1d,0.004549,0.004285,0.004599,0.004121,110636499.0,1172,DOOD,0.005778,0.004121,0.0049495,0.008997,0.004121,0.006559,,,,,,,,,,,,,,,,,,,,,
1747699200000,2025-05-20 23:59:59.999,DOOD,1d,0.004286,0.004261,0.004356,0.003876,144953329.0,1357,DOOD,0.005524,0.003876,0.0047,0.008195,0.003876,0.006035499999999999,,,,,,,,,,,,,,,,,,,,,
1747785600000,2025-05-21 23:59:59.999,DOOD,1d,0.00425,0.004171,0.004663,0.004023,151165608.0,1436,DOOD,0.00531,0.003876,0.004593,0.007373,0.003876,0.0056245,,,,,,,,,,,,,,,,,,,,,
1747872000000,2025-05-22 23:59:59.999,DOOD,1d,0.004147,0.004333,0.004352,0.004106,37633473.0,900,DOOD,0.004785,0.003876,0.0043305,0.006531,0.003876,0.0052035,,,,,,,,,,,,,,,,,,,,,
1747958400000,2025-05-23 23:59:59.999,DOOD,1d,0.004301,0.003988,0.004684,0.003939,177322481.0,1425,DOOD,0.004684,0.003876,0.00428,0.006531,0.003876,0.0052035,,,,,,,,,,,,,,,,,,,,,
1748044800000,2025-05-24 23:59:59.999,DOOD,1d,0.003981,0.003963,0.004135,0.003856,54351453.0,919,DOOD,0.004684,0.003856,0.0042699999999999995,0.005778,0.003856,0.004817,,,,,,,,,,,,,,,,,,,,,
1748131200000,2025-05-25 23:59:59.999,DOOD,1d,0.003958,0.003696,0.003986,0.003484,150679110.0,1110,DOOD,0.004684,0.003484,0.004084,0.005524,0.003484,0.004504,,,,,,,,,,,,,,,,,,,,,
1748217600000,2025-05-26 23:59:59.999,DOOD,1d,0.003702,0.00369,0.003837,0.003555,82565514.0,809,DOOD,0.004684,0.003484,0.004084,0.00531,0.003484,0.004397,,,,,,,,,,,,,,,,,,,,,
1748304000000,2025-05-27 23:59:59.999,DOOD,1d,0.00369,0.003777,0.003963,0.003597,140238443.0,1081,DOOD,0.004684,0.003484,0.004084,0.004785,0.003484,0.0041345,,,,,,,,,,,,,,,,,,,,,
1748390400000,2025-05-28 23:59:59.999,DOOD,1d,0.003778,0.003494,0.003813,0.003383,162888782.0,1317,DOOD,0.004135,0.003383,0.003759,0.004684,0.003383,0.0040335,0.010825,0.003383,0.007104,,,,,,,,,,,,,,,,,,
1748476800000,2025-05-29 23:59:59.999,DOOD,1d,0.003495,0.003221,0.003608,0.003135,150840372.0,1120,DOOD,0.003986,0.003135,0.0035605000000000003,0.004684,0.003135,0.0039095,0.008997,0.003135,0.006066,,,,,,,,,,,,,,,,,,
1748563200000,2025-05-30 23:59:59.999,DOOD,1d,0.003233,0.002723,0.003276,0.002682,118244362.0,1310,DOOD,0.003963,0.002682,0.0033225,0.004684,0.002682,0.0036829999999999996,0.008195,0.002682,0.0054385,,,,,,,,,,,,,,,,,,
1748649600000,2025-05-31 23:59:59.999,DOOD,1d,0.002725,0.002822,0.002851,0.002655,108256253.0,1480,DOOD,0.003963,0.002655,0.0033090000000000003,0.004684,0.002655,0.0036695,0.007373,0.002655,0.005014,,,,,,,,,,,,,,,,,,
1748736000000,2025-06-01 23:59:59.999,DOOD,1d,0.002826,0.003159,0.003198,0.002819,130784958.0,1780,DOOD,0.003813,0.002655,0.003234,0.004684,0.002655,0.0036695,0.006531,0.002655,0.004593,,,,,,,,,,,,,,,,,,
1748822400000,2025-06-02 23:59:59.999,DOOD,1d,0.003157,0.003108,0.003157,0.002939,83016511.0,1259,DOOD,0.003608,0.002655,0.0031314999999999997,0.004135,0.002655,0.0033949999999999996,0.006531,0.002655,0.004593,,,,,,,,,,,,,,,,,,
1748908800000,2025-06-03 23:59:59.999,DOOD,1d,0.003102,0.003381,0.003546,0.003063,163290877.0,2785,DOOD,0.003546,0.002655,0.0031005,0.003986,0.002655,0.0033204999999999997,0.005778,0.002655,0.0042165,,,,,,,,,,,,,,,,,,
1748995200000,2025-06-04 23:59:59.999,DOOD,1d,0.003376,0.003109,0.003463,0.003097,62415654.0,2023,DOOD,0.003546,0.002655,0.0031005,0.003963,0.002655,0.0033090000000000003,0.005524,0.002655,0.0040895,,,,,,,,,,,,,,,,,,
1749081600000,2025-06-05 23:59:59.999,DOOD,1d,0.003112,0.002903,0.003187,0.002831,115239379.0,1456,DOOD,0.003546,0.002819,0.0031825,0.003963,0.002655,0.0033090000000000003,0.00531,0.002655,0.0039825,,,,,,,,,,,,,,,,,,
1749168000000,2025-06-06 23:59:59.999,DOOD,1d,0.00291,0.002992,0.00304,0.002665,142954534.0,2228,DOOD,0.003546,0.002665,0.0031054999999999998,0.003813,0.002655,0.003234,0.004785,0.002655,0.00372,,,,,,,,,,,,,,,,,,
1749254400000,2025-06-07 23:59:59.999,DOOD,1d,0.002992,0.003105,0.003284,0.002866,284967675.0,3062,DOOD,0.003546,0.002665,0.0031054999999999998,0.003608,0.002655,0.0031314999999999997,0.004684,0.002655,0.0036695,0.010825,0.002655,0.0067399999999999995,,,,,,,,,,,,,,,
1749340800000,2025-06-08 23:59:59.999,DOOD,1d,0.003095,0.002999,0.003202,0.002977,165391835.0,1758,DOOD,0.003463,0.002665,0.003064,0.003546,0.002655,0.0031005,0.004684,0.002655,0.0036695,0.008997,0.002655,0.005826,,,,,,,,,,,,,,,
1749427200000,2025-06-09 23:59:59.999,DOOD,1d,0.003,0.003129,0.003137,0.002919,119364417.0,1336,DOOD,0.003284,0.002665,0.0029744999999999997,0.003546,0.002655,0.0031005,0.004684,0.002655,0.0036695,0.008195,0.002655,0.005424999999999999,,,,,,,,,,,,,,,
1749513600000,2025-06-10 23:59:59.999,DOOD,1d,0.003129,0.003124,0.003182,0.002983,171013352.0,1126,DOOD,0.003284,0.002665,0.0029744999999999997,0.003546,0.002665,0.0031054999999999998,0.004684,0.002655,0.0036695,0.007373,0.002655,0.005014,,,,,,,,,,,,,,,
1749600000000,2025-06-11 23:59:59.999,DOOD,1d,0.003123,0.002893,0.003204,0.002868,89006641.0,985,DOOD,0.003284,0.002866,0.003075,0.003546,0.002665,0.0031054999999999998,0.004684,0.002655,0.0036695,0.006531,0.002655,0.004593,,,,,,,,,,,,,,,
1749686400000,2025-06-12 23:59:59.999,DOOD,1d,0.002895,0.00264,0.002902,0.002583,74959245.0,793,DOOD,0.003204,0.002583,0.0028935,0.003546,0.002583,0.0030645,0.004135,0.002583,0.003359,0.006531,0.002583,0.004557,,,,,,,,,,,,,,,
1749772800000,2025-06-13 23:59:59.999,DOOD,1d,0.002632,0.002592,0.002632,0.002419,96862071.0,975,DOOD,0.003204,0.002419,0.0028114999999999998,0.003463,0.002419,0.002941,0.003986,0.002419,0.0032025,0.005778,0.002419,0.0040985,,,,,,,,,,,,,,,
1749859200000,2025-06-14 23:59:59.999,DOOD,1d,0.002597,0.00255,0.002628,0.002502,46403545.0,551,DOOD,0.003204,0.002419,0.0028114999999999998,0.003284,0.002419,0.0028515,0.003963,0.002419,0.0031910000000000003,0.005524,0.002419,0.0039715,,,,,,,,,,,,,,,
1749945600000,2025-06-15 23:59:59.999,DOOD,1d,0.002551,0.002578,0.002591,0.002519,11745971.0,748,DOOD,0.003204,0.002419,0.0028114999999999998,0.003284,0.002419,0.0028515,0.003963,0.002419,0.0031910000000000003,0.00531,0.002419,0.0038645,,,,,,,,,,,,,,,
1750032000000,2025-06-16 23:59:59.999,DOOD,1d,0.002579,0.002671,0.002919,0.002567,91651734.0,1436,DOOD,0.002919,0.002419,0.0026690000000000004,0.003284,0.002419,0.0028515,0.003813,0.002419,0.003116,0.004785,0.002419,0.003602,,,,,,,,,,,,,,,
1750118400000,2025-06-17 23:59:59.999,DOOD,1d,0.002665,0.002912,0.002945,0.002625,98744094.0,2124,DOOD,0.002945,0.002419,0.0026820000000000004,0.003204,0.002419,0.0028114999999999998,0.003608,0.002419,0.0030135,0.004684,0.002419,0.0035515,,,,,,,,,,,,,,,
1750204800000,2025-06-18 23:59:59.999,DOOD,1d,0.002918,0.002832,0.002973,0.002723,139393890.0,2694,DOOD,0.002973,0.002502,0.0027375,0.003204,0.002419,0.0028114999999999998,0.003546,0.002419,0.0029825,0.004684,0.002419,0.0035515,,,,,,,,,,,,,,,
1750291200000,2025-06-19 23:59:59.999,DOOD,1d,0.002834,0.002789,0.002855,0.002751,57151990.0,3856,DOOD,0.002973,0.002519,0.002746,0.003204,0.002419,0.0028114999999999998,0.003546,0.002419,0.0029825,0.004684,0.002419,0.0035515,,,,,,,,,,,,,,,
1750377600000,2025-06-20 23:59:59.999,DOOD,1d,0.002786,0.002462,0.002809,0.002457,103600429.0,2413,DOOD,0.002973,0.002457,0.002715,0.003204,0.002419,0.0028114999999999998,0.003546,0.002419,0.0029825,0.004684,0.002419,0.0035515,,,,,,,,,,,,,,,
1750464000000,2025-06-21 23:59:59.999,DOOD,1d,0.002462,0.002263,0.002512,0.002211,125417707.0,2490,DOOD,0.002973,0.002211,0.0025919999999999997,0.002973,0.002211,0.0025919999999999997,0.003546,0.002211,0.0028785,0.004684,0.002211,0.0034475,,,,,,,,,,,,,,,
1750550400000,2025-06-22 23:59:59.999,DOOD,1d,0.002271,0.002141,0.0023,0.002031,82129573.0,1871,DOOD,0.002973,0.002031,0.002502,0.002973,0.002031,0.002502,0.003546,0.002031,0.0027885,0.004135,0.002031,0.003083,,,,,,,,,,,,,,,
1750636800000,2025-06-23 23:59:59.999,DOOD,1d,0.002142,0.002273,0.002284,0.002091,85730923.0,2021,DOOD,0.002855,0.002031,0.002443,0.002973,0.002031,0.002502,0.003463,0.002031,0.002747,0.003986,0.002031,0.0030085,,,,,,,,,,,,,,,
1750723200000,2025-06-24 23:59:59.999,DOOD,1d,0.002276,0.002352,0.00241,0.002256,90089220.0,2005,DOOD,0.002809,0.002031,0.00242,0.002973,0.002031,0.002502,0.003284,0.002031,0.0026575,0.003963,0.002031,0.002997,,,,,,,,,,,,,,,
1750809600000,2025-06-25 23:59:59.999,DOOD,1d,0.002354,0.002216,0.002393,0.002213,119449053.0,2487,DOOD,0.002512,0.002031,0.0022715,0.002973,0.002031,0.002502,0.003284,0.002031,0.0026575,0.003963,0.002031,0.002997,,,,,,,,,,,,,,,
1750896000000,2025-06-26 23:59:59.999,DOOD,1d,0.002217,0.002166,0.002292,0.002125,124455299.0,2610,DOOD,0.00241,0.002031,0.0022205,0.002973,0.002031,0.002502,0.003284,0.002031,0.0026575,0.003813,0.002031,0.002922,,,,,,,,,,,,,,,
1750982400000,2025-06-27 23:59:59.999,DOOD,1d,0.002169,0.002313,0.002368,0.002137,129689228.0,3895,DOOD,0.00241,0.002091,0.0022505,0.002973,0.002031,0.002502,0.003204,0.002031,0.0026175,0.003608,0.002031,0.0028195,,,,,,,,,,,,,,,
1751068800000,2025-06-28 23:59:59.999,DOOD,1d,0.002312,0.002338,0.002346,0.002219,125009754.0,3022,DOOD,0.00241,0.002125,0.0022675,0.002855,0.002031,0.002443,0.003204,0.002031,0.0026175,0.003546,0.002031,0.0027885,,,,,,,,,,,,,,,
