t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,DOT,1d,5.114,5.125,5.193,5.051,0.0,0,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,DOT,1d,5.124,5.077,5.158,5.055,0.0,0,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,DOT,1d,5.077,5.127,5.229,4.972,0.0,0,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,DOT,1d,5.127,5.211,5.213,5.084,0.0,0,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,DOT,1d,5.211,5.144,5.308,5.094,0.0,0,DOT,5.308,4.972,5.140000000000001,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,DOT,1d,5.144,5.545,5.553,5.09,0.0,0,DOT,5.553,4.972,5.2625,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,DOT,1d,5.544,5.45,5.742,5.281,0.0,0,DOT,5.742,4.972,5.357,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,DOT,1d,5.45,5.429,5.563,5.381,0.0,0,DOT,5.742,5.084,5.413,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,DOT,1d,5.429,5.306,5.446,5.251,0.0,0,DOT,5.742,5.09,5.416,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,DOT,1d,5.305,5.299,5.415,5.16,0.0,0,DOT,5.742,5.09,5.416,5.742,4.972,5.357,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,DOT,1d,5.298,5.179,5.388,5.057,0.0,0,DOT,5.742,5.057,5.3995,5.742,4.972,5.357,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,DOT,1d,5.18,5.189,5.255,5.126,0.0,0,DOT,5.563,5.057,5.3100000000000005,5.742,4.972,5.357,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,DOT,1d,5.189,5.351,5.487,5.181,0.0,0,DOT,5.487,5.057,5.272,5.742,5.057,5.3995,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,DOT,1d,5.351,5.484,5.702,5.331,0.0,0,DOT,5.702,5.057,5.3795,5.742,5.057,5.3995,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,DOT,1d,5.483,5.31,5.515,5.25,0.0,0,DOT,5.702,5.057,5.3795,5.742,5.057,5.3995,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,DOT,1d,5.31,5.387,5.486,5.269,0.0,0,DOT,5.702,5.126,5.414,5.742,5.057,5.3995,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,DOT,1d,5.388,5.205,5.415,5.076,0.0,0,DOT,5.702,5.076,5.388999999999999,5.702,5.057,5.3795,,,,,,,,,,,,,,,,,,,,,
