t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,DYDX,1d,1.897,1.8039,1.9567,1.803,859508.2,7775,DYDX
1688688000000,2023-07-07 23:59:59.999,DYDX,1d,1.8044,1.8756,1.8782,1.7777,689396.0,6484,DYDX
1688774400000,2023-07-08 23:59:59.999,DYDX,1d,1.8766,1.8539,1.8951,1.8171,799766.8,5249,DYDX
1688860800000,2023-07-09 23:59:59.999,DYDX,1d,1.8547,1.8298,1.8775,1.8168,1131176.2,4963,DYDX
1688947200000,2023-07-10 23:59:59.999,DYDX,1d,1.8311,1.8534,1.8914,1.764,1831406.7,7330,DYDX
1689033600000,2023-07-11 23:59:59.999,DYDX,1d,1.8538,1.8704,1.9098,1.8435,1444070.7,6146,DYDX
1689120000000,2023-07-12 23:59:59.999,DYDX,1d,1.8699,1.8426,1.893,1.8132,681316.9,4347,DYDX
1689206400000,2023-07-13 23:59:59.999,DYDX,1d,1.842,2.0255,2.0304,1.8262,513196.6,3925,DYDX
1689292800000,2023-07-14 23:59:59.999,DYDX,1d,2.0254,2.0975,2.244,2.0204,897413.8,5767,DYDX
1689379200000,2023-07-15 23:59:59.999,DYDX,1d,2.0979,2.0723,2.131,2.0506,666940.9,4046,DYDX
1689465600000,2023-07-16 23:59:59.999,DYDX,1d,2.0717,2.0337,2.135,2.0199,656402.5,3987,DYDX
1689552000000,2023-07-17 23:59:59.999,DYDX,1d,2.0363,2.1407,2.255,2.0224,1822664.5,5922,DYDX
1689638400000,2023-07-18 23:59:59.999,DYDX,1d,2.1407,2.0273,2.1643,2.0026,2160912.6,5578,DYDX
1689724800000,2023-07-19 23:59:59.999,DYDX,1d,2.0264,2.1021,2.1571,2.0118,1990381.8,5348,DYDX
1689811200000,2023-07-20 23:59:59.999,DYDX,1d,2.1017,2.1493,2.2761,2.1014,1527485.8,5335,DYDX
1689897600000,2023-07-21 23:59:59.999,DYDX,1d,2.1517,2.1435,2.3089,2.1251,831923.9,4805,DYDX
1689984000000,2023-07-22 23:59:59.999,DYDX,1d,2.1446,2.1194,2.1732,2.0839,389914.0,3331,DYDX
1690070400000,2023-07-23 23:59:59.999,DYDX,1d,2.1212,2.1886,2.2323,2.1137,375387.1,3295,DYDX
1690156800000,2023-07-24 23:59:59.999,DYDX,1d,2.1889,2.0737,2.2093,2.0569,1346470.9,4633,DYDX
1690243200000,2023-07-25 23:59:59.999,DYDX,1d,2.0759,2.0619,2.0832,2.0059,667384.4,3652,DYDX
1690329600000,2023-07-26 23:59:59.999,DYDX,1d,2.0619,2.071,2.098,2.0235,732065.5,4173,DYDX
1690416000000,2023-07-27 23:59:59.999,DYDX,1d,2.0675,2.052,2.1092,2.0281,992373.5,3905,DYDX
1690502400000,2023-07-28 23:59:59.999,DYDX,1d,2.0514,2.062,2.0636,2.0165,719900.7,3424,DYDX
1690588800000,2023-07-29 23:59:59.999,DYDX,1d,2.0621,2.0789,2.103,2.0556,377590.1,3026,DYDX
1690675200000,2023-07-30 23:59:59.999,DYDX,1d,2.0819,2.0469,2.1,1.9778,709733.3,3498,DYDX
1690761600000,2023-07-31 23:59:59.999,DYDX,1d,2.0436,2.1214,2.1607,2.0135,1600579.8,4318,DYDX
1690848000000,2023-08-01 23:59:59.999,DYDX,1d,2.1214,2.031,2.1357,1.9579,1978678.6,4624,DYDX
1690934400000,2023-08-02 23:59:59.999,DYDX,1d,2.0299,1.9702,2.0445,1.9541,1548657.6,4035,DYDX
1691020800000,2023-08-03 23:59:59.999,DYDX,1d,1.9709,1.9114,1.9923,1.8975,1414906.6,3817,DYDX
1691107200000,2023-08-04 23:59:59.999,DYDX,1d,1.911,1.9708,1.9829,1.9036,997367.3,3463,DYDX
1691193600000,2023-08-05 23:59:59.999,DYDX,1d,1.9707,2.064,2.1,1.9668,439184.2,3139,DYDX
1691280000000,2023-08-06 23:59:59.999,DYDX,1d,2.0648,2.0412,2.0861,2.0306,600630.7,3271,DYDX
1691366400000,2023-08-07 23:59:59.999,DYDX,1d,2.0406,2.0574,2.0807,1.9842,896325.5,3831,DYDX
1691452800000,2023-08-08 23:59:59.999,DYDX,1d,2.0574,2.0836,2.1073,2.0516,422180.4,3278,DYDX
1691539200000,2023-08-09 23:59:59.999,DYDX,1d,2.0864,2.1312,2.1319,2.0749,349392.1,3189,DYDX
1691625600000,2023-08-10 23:59:59.999,DYDX,1d,2.1336,2.1921,2.217,2.1165,1124579.0,3873,DYDX
1691712000000,2023-08-11 23:59:59.999,DYDX,1d,2.1925,2.1661,2.206,2.1329,760824.0,3289,DYDX
1691798400000,2023-08-12 23:59:59.999,DYDX,1d,2.1668,2.2294,2.2456,2.1569,743878.1,3257,DYDX
1691884800000,2023-08-13 23:59:59.999,DYDX,1d,2.2296,2.2133,2.241,2.178,836061.5,3341,DYDX
1691971200000,2023-08-14 23:59:59.999,DYDX,1d,2.2142,2.1897,2.2708,2.1749,876179.2,3544,DYDX
1692057600000,2023-08-15 23:59:59.999,DYDX,1d,2.1865,2.1489,2.1911,2.1113,994732.1,3661,DYDX
1692144000000,2023-08-16 23:59:59.999,DYDX,1d,2.1482,1.9972,2.18,1.9529,2158846.5,5066,DYDX
1692230400000,2023-08-17 23:59:59.999,DYDX,1d,1.9941,1.8862,2.035,1.697,1018788.0,4800,DYDX
1692316800000,2023-08-18 23:59:59.999,DYDX,1d,1.8833,1.9669,1.9838,1.879,1653095.3,5476,DYDX
1692403200000,2023-08-19 23:59:59.999,DYDX,1d,1.9678,1.9713,1.9905,1.9404,742786.8,3450,DYDX
1692489600000,2023-08-20 23:59:59.999,DYDX,1d,1.9715,1.9203,1.9853,1.9176,620225.0,3209,DYDX
1692576000000,2023-08-21 23:59:59.999,DYDX,1d,1.9192,1.9341,1.9464,1.8859,204596.2,2568,DYDX
1692662400000,2023-08-22 23:59:59.999,DYDX,1d,1.9354,1.9534,1.9635,1.842,226302.4,2581,DYDX
1692748800000,2023-08-23 23:59:59.999,DYDX,1d,1.9538,2.1514,2.1664,1.9444,208026.1,2550,DYDX
1692835200000,2023-08-24 23:59:59.999,DYDX,1d,2.1511,2.1803,2.2225,2.087,336435.6,2725,DYDX
1692921600000,2023-08-25 23:59:59.999,DYDX,1d,2.1794,2.1691,2.1872,2.1023,457734.5,2840,DYDX
1693008000000,2023-08-26 23:59:59.999,DYDX,1d,2.1694,2.0848,2.216,2.0682,353319.8,2415,DYDX
1693094400000,2023-08-27 23:59:59.999,DYDX,1d,2.0838,2.2144,2.241,2.0728,547481.7,2625,DYDX
1693180800000,2023-08-28 23:59:59.999,DYDX,1d,2.2124,2.1437,2.241,2.1121,399444.2,2313,DYDX
1693267200000,2023-08-29 23:59:59.999,DYDX,1d,2.1445,2.1771,2.3,2.1073,702257.7,2447,DYDX
1693353600000,2023-08-30 23:59:59.999,DYDX,1d,2.1761,2.1304,2.1806,2.0831,745436.1,2550,DYDX
1693440000000,2023-08-31 23:59:59.999,DYDX,1d,2.1285,2.2129,2.264,2.11,876230.3,2801,DYDX
1693526400000,2023-09-01 23:59:59.999,DYDX,1d,2.211,2.1381,2.2974,2.1026,1089664.1,2851,DYDX
1693612800000,2023-09-02 23:59:59.999,DYDX,1d,2.1366,2.0237,2.1479,1.9989,1109830.0,2648,DYDX
1693699200000,2023-09-03 23:59:59.999,DYDX,1d,2.0245,2.0382,2.0922,2.0118,982454.8,2640,DYDX
1693785600000,2023-09-04 23:59:59.999,DYDX,1d,2.0375,2.0785,2.1264,2.0277,1818451.9,3094,DYDX
1693872000000,2023-09-05 23:59:59.999,DYDX,1d,2.0777,2.1119,2.1257,2.0656,1249285.0,2730,DYDX
1693958400000,2023-09-06 23:59:59.999,DYDX,1d,2.1133,2.0473,2.1336,2.0219,1038560.2,2617,DYDX
1694044800000,2023-09-07 23:59:59.999,DYDX,1d,2.0493,2.0663,2.1204,2.0409,1244377.4,2874,DYDX
1694131200000,2023-09-08 23:59:59.999,DYDX,1d,2.0675,1.982,2.1009,1.9642,1233084.9,2841,DYDX
1694217600000,2023-09-09 23:59:59.999,DYDX,1d,1.9814,1.9905,1.9916,1.935,982302.5,2668,DYDX
1694304000000,2023-09-10 23:59:59.999,DYDX,1d,1.9899,1.9285,1.9914,1.9012,2149643.8,3577,DYDX
1694390400000,2023-09-11 23:59:59.999,DYDX,1d,1.9289,1.8641,1.9474,1.8249,4098303.8,4930,DYDX
1694476800000,2023-09-12 23:59:59.999,DYDX,1d,1.8635,1.8877,1.9612,1.8565,5797333.0,4556,DYDX
1694563200000,2023-09-13 23:59:59.999,DYDX,1d,1.891,1.9323,1.9544,1.8793,3326432.9,3715,DYDX
1694649600000,2023-09-14 23:59:59.999,DYDX,1d,1.9331,1.935,1.9733,1.9172,564119.4,2560,DYDX
1694736000000,2023-09-15 23:59:59.999,DYDX,1d,1.9373,1.9673,1.9826,1.9242,490561.3,2525,DYDX
1694822400000,2023-09-16 23:59:59.999,DYDX,1d,1.9681,2.0028,2.0247,1.9676,502067.4,2525,DYDX
1694908800000,2023-09-17 23:59:59.999,DYDX,1d,2.0017,1.9198,2.0017,1.8987,485219.2,2466,DYDX
1694995200000,2023-09-18 23:59:59.999,DYDX,1d,1.9199,1.9405,1.982,1.8985,464934.9,2768,DYDX
1695081600000,2023-09-19 23:59:59.999,DYDX,1d,1.9408,1.9807,2.0027,1.9335,201285.4,2177,DYDX
1695168000000,2023-09-20 23:59:59.999,DYDX,1d,1.9812,2.0073,2.0316,1.9562,227251.4,2141,DYDX
1695254400000,2023-09-21 23:59:59.999,DYDX,1d,2.0068,1.9639,2.0667,1.9581,527710.7,2225,DYDX
1695340800000,2023-09-22 23:59:59.999,DYDX,1d,1.9647,1.9187,1.9755,1.9008,260504.1,2153,DYDX
1695427200000,2023-09-23 23:59:59.999,DYDX,1d,1.9208,1.9028,1.939,1.8828,192365.4,2121,DYDX
1695513600000,2023-09-24 23:59:59.999,DYDX,1d,1.906,1.8724,1.919,1.86,207826.9,2224,DYDX
1695600000000,2023-09-25 23:59:59.999,DYDX,1d,1.872,1.915,1.9268,1.8608,212997.2,2168,DYDX
1695686400000,2023-09-26 23:59:59.999,DYDX,1d,1.9136,1.8798,1.9348,1.8578,145445.7,2155,DYDX
1695772800000,2023-09-27 23:59:59.999,DYDX,1d,1.8785,1.8722,1.9199,1.8607,161407.2,2128,DYDX
1695859200000,2023-09-28 23:59:59.999,DYDX,1d,1.8725,1.9309,1.9422,1.8693,138388.4,2122,DYDX
1695945600000,2023-09-29 23:59:59.999,DYDX,1d,1.9314,1.9471,1.9691,1.9191,106885.5,2077,DYDX
1696032000000,2023-09-30 23:59:59.999,DYDX,1d,1.9471,1.9731,1.979,1.9465,40589.9,2089,DYDX
1696118400000,2023-10-01 23:59:59.999,DYDX,1d,1.9731,2.0074,2.0382,1.9541,98077.1,2048,DYDX
1696204800000,2023-10-02 23:59:59.999,DYDX,1d,2.0076,2.0511,2.1092,2.0001,109831.5,2104,DYDX
1696291200000,2023-10-03 23:59:59.999,DYDX,1d,2.0515,2.0233,2.0954,2.0134,117929.8,2051,DYDX
1696377600000,2023-10-04 23:59:59.999,DYDX,1d,2.0216,1.9764,2.022,1.9288,88426.5,2117,DYDX
1696464000000,2023-10-05 23:59:59.999,DYDX,1d,1.9733,1.9216,2.0246,1.9197,91763.3,2100,DYDX
1696550400000,2023-10-06 23:59:59.999,DYDX,1d,1.922,1.9929,2.0108,1.9213,206649.2,2299,DYDX
1696636800000,2023-10-07 23:59:59.999,DYDX,1d,1.9948,2.0596,2.0759,1.9838,102443.8,2153,DYDX
1696723200000,2023-10-08 23:59:59.999,DYDX,1d,2.0575,2.0105,2.0961,1.9984,90883.3,2140,DYDX
1696809600000,2023-10-09 23:59:59.999,DYDX,1d,2.0097,2.0256,2.0868,1.9884,192312.3,2210,DYDX
1696896000000,2023-10-10 23:59:59.999,DYDX,1d,2.0254,1.9043,2.042,1.8825,172534.8,2284,DYDX
1696982400000,2023-10-11 23:59:59.999,DYDX,1d,1.9045,1.8613,1.9119,1.836,106510.9,2201,DYDX
1697068800000,2023-10-12 23:59:59.999,DYDX,1d,1.8599,1.8247,1.8608,1.8103,112674.8,2105,DYDX
1697155200000,2023-10-13 23:59:59.999,DYDX,1d,1.825,1.8435,1.8859,1.8096,98922.6,2143,DYDX
1697241600000,2023-10-14 23:59:59.999,DYDX,1d,1.8441,1.828,1.8572,1.8255,143143.1,2215,DYDX
1697328000000,2023-10-15 23:59:59.999,DYDX,1d,1.828,1.8416,1.8517,1.8234,122485.5,2180,DYDX
1697414400000,2023-10-16 23:59:59.999,DYDX,1d,1.8421,1.8761,1.9269,1.8414,101201.7,2144,DYDX
1697500800000,2023-10-17 23:59:59.999,DYDX,1d,1.8784,1.8201,1.8861,1.7846,70729.5,2115,DYDX
1697587200000,2023-10-18 23:59:59.999,DYDX,1d,1.8184,1.8643,1.8782,1.8022,90357.4,2188,DYDX
1697673600000,2023-10-19 23:59:59.999,DYDX,1d,1.8668,1.8599,1.8819,1.8221,155652.5,2142,DYDX
1697760000000,2023-10-20 23:59:59.999,DYDX,1d,1.8593,1.8792,1.921,1.8409,175450.4,2179,DYDX
1697846400000,2023-10-21 23:59:59.999,DYDX,1d,1.8801,1.9466,1.973,1.8715,119942.7,2105,DYDX
1697932800000,2023-10-22 23:59:59.999,DYDX,1d,1.9461,1.9791,1.9793,1.9172,657124.6,2383,DYDX
1698019200000,2023-10-23 23:59:59.999,DYDX,1d,1.9766,2.0973,2.15,1.9644,644164.7,2090,DYDX
1698105600000,2023-10-24 23:59:59.999,DYDX,1d,2.0984,2.269,2.4862,2.0892,1282890.9,2881,DYDX
1698192000000,2023-10-25 23:59:59.999,DYDX,1d,2.2684,2.3674,2.3818,2.2331,1350474.9,2878,DYDX
1698278400000,2023-10-26 23:59:59.999,DYDX,1d,2.3664,2.322,2.4889,2.2449,1008909.5,2725,DYDX
1698364800000,2023-10-27 23:59:59.999,DYDX,1d,2.3222,2.3386,2.5346,2.2662,775462.1,2583,DYDX
1698451200000,2023-10-28 23:59:59.999,DYDX,1d,2.3393,2.4186,2.4258,2.3145,353664.5,2216,DYDX
1698537600000,2023-10-29 23:59:59.999,DYDX,1d,2.4178,2.4853,2.5144,2.3543,468554.7,2272,DYDX
1698624000000,2023-10-30 23:59:59.999,DYDX,1d,2.484,2.4439,2.5528,2.3801,478184.5,2298,DYDX
1698710400000,2023-10-31 23:59:59.999,DYDX,1d,2.443,2.3114,2.4987,2.2373,688693.9,2415,DYDX
1698796800000,2023-11-01 23:59:59.999,DYDX,1d,2.3094,2.3764,2.4283,2.2116,656684.6,2361,DYDX
1698883200000,2023-11-02 23:59:59.999,DYDX,1d,2.3754,2.2188,2.4446,2.2012,604685.8,2302,DYDX
1698969600000,2023-11-03 23:59:59.999,DYDX,1d,2.2159,2.298,2.3203,2.1405,570030.1,2321,DYDX
1699056000000,2023-11-04 23:59:59.999,DYDX,1d,2.2983,2.3594,2.3878,2.2828,360939.6,2192,DYDX
1699142400000,2023-11-05 23:59:59.999,DYDX,1d,2.3595,2.3715,2.4022,2.3116,476430.3,2238,DYDX
