t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1707177600000,2024-02-06 23:59:59.999,DYM,1d,5.1799,4.9299,6.4444,4.5222,2273973.5,9319,DYM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707264000000,2024-02-07 23:59:59.999,DYM,1d,4.9284,5.75,6.3622,4.8111,3549804.6,12407,DYM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707350400000,2024-02-08 23:59:59.999,DYM,1d,5.7544,7.287,8.5,5.7082,3846511.0,16857,DYM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707436800000,2024-02-09 23:59:59.999,DYM,1d,7.2798,7.3158,8.3029,6.61,3239839.6,19396,DYM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707523200000,2024-02-10 23:59:59.999,DYM,1d,7.3315,7.4736,7.7775,7.0827,3159606.5,9818,DYM,8.5,4.5222,6.5111,,,,,,,,,,,,,,,,,,,,,,,,
1707609600000,2024-02-11 23:59:59.999,DYM,1d,7.4696,7.1013,7.8645,7.0023,1827876.3,7846,DYM,8.5,4.8111,6.65555,,,,,,,,,,,,,,,,,,,,,,,,
1707696000000,2024-02-12 23:59:59.999,DYM,1d,7.1001,7.1445,7.55,6.865,2061278.0,12415,DYM,8.5,5.7082,7.1041,,,,,,,,,,,,,,,,,,,,,,,,
1707782400000,2024-02-13 23:59:59.999,DYM,1d,7.1574,7.0149,7.5285,6.923,1698025.8,12664,DYM,8.3029,6.61,7.45645,,,,,,,,,,,,,,,,,,,,,,,,
1707868800000,2024-02-14 23:59:59.999,DYM,1d,7.0145,8.291,8.7328,6.9642,2238125.2,16657,DYM,8.7328,6.865,7.7989,,,,,,,,,,,,,,,,,,,,,,,,
1707955200000,2024-02-15 23:59:59.999,DYM,1d,8.2872,7.7925,8.5469,7.7025,1670992.4,15561,DYM,8.7328,6.865,7.7989,8.7328,4.5222,6.6274999999999995,,,,,,,,,,,,,,,,,,,,,
1708041600000,2024-02-16 23:59:59.999,DYM,1d,7.7927,7.5946,8.0621,7.4258,1498906.6,9439,DYM,8.7328,6.865,7.7989,8.7328,4.8111,6.7719499999999995,,,,,,,,,,,,,,,,,,,,,
1708128000000,2024-02-17 23:59:59.999,DYM,1d,7.5903,7.4104,7.7078,7.05,771699.5,4638,DYM,8.7328,6.923,7.8279,8.7328,5.7082,7.2204999999999995,,,,,,,,,,,,,,,,,,,,,
1708214400000,2024-02-18 23:59:59.999,DYM,1d,7.4085,7.3838,7.8646,7.2118,1034648.7,5072,DYM,8.7328,6.9642,7.8485,8.7328,6.61,7.6714,,,,,,,,,,,,,,,,,,,,,
1708300800000,2024-02-19 23:59:59.999,DYM,1d,7.39,7.6031,7.8991,7.3698,1133070.1,5977,DYM,8.5469,7.05,7.798450000000001,8.7328,6.865,7.7989,,,,,,,,,,,,,,,,,,,,,
1708387200000,2024-02-20 23:59:59.999,DYM,1d,7.596,7.2676,7.6779,6.8299,1359988.2,6205,DYM,8.0621,6.8299,7.446,8.7328,6.8299,7.78135,,,,,,,,,,,,,,,,,,,,,
1708473600000,2024-02-21 23:59:59.999,DYM,1d,7.2844,7.2229,7.5195,6.7742,1202655.6,5949,DYM,7.8991,6.7742,7.336650000000001,8.7328,6.7742,7.7535,,,,,,,,,,,,,,,,,,,,,
1708560000000,2024-02-22 23:59:59.999,DYM,1d,7.2428,7.1521,7.5333,6.9191,1063130.8,6300,DYM,7.8991,6.7742,7.336650000000001,8.7328,6.7742,7.7535,,,,,,,,,,,,,,,,,,,,,
1708646400000,2024-02-23 23:59:59.999,DYM,1d,7.1502,6.2724,7.2616,6.1727,1394317.7,6813,DYM,7.8991,6.1727,7.0359,8.7328,6.1727,7.45275,,,,,,,,,,,,,,,,,,,,,
1708732800000,2024-02-24 23:59:59.999,DYM,1d,6.2785,6.3352,6.4791,5.9203,943764.6,4644,DYM,7.6779,5.9203,6.7991,8.5469,5.9203,7.233600000000001,,,,,,,,,,,,,,,,,,,,,
1708819200000,2024-02-25 23:59:59.999,DYM,1d,6.332,6.4467,6.5239,6.2351,766590.2,4123,DYM,7.5333,5.9203,6.7268,8.0621,5.9203,6.991199999999999,8.7328,4.5222,6.6274999999999995,,,,,,,,,,,,,,,,,,
1708905600000,2024-02-26 23:59:59.999,DYM,1d,6.4456,6.2638,6.5034,6.099,852213.8,3877,DYM,7.5333,5.9203,6.7268,7.8991,5.9203,6.9097,8.7328,4.8111,6.7719499999999995,,,,,,,,,,,,,,,,,,
1708992000000,2024-02-27 23:59:59.999,DYM,1d,6.2692,6.2193,6.6857,6.1254,1103958.3,4996,DYM,7.2616,5.9203,6.590949999999999,7.8991,5.9203,6.9097,8.7328,5.7082,7.2204999999999995,,,,,,,,,,,,,,,,,,
1709078400000,2024-02-28 23:59:59.999,DYM,1d,6.212,5.9402,6.4287,4.52,2133142.9,8379,DYM,6.6857,4.52,5.60285,7.8991,4.52,6.20955,8.7328,4.52,6.626399999999999,,,,,,,,,,,,,,,,,,
1709164800000,2024-02-29 23:59:59.999,DYM,1d,5.9461,5.6595,6.1688,5.5187,511512.7,3623,DYM,6.6857,4.52,5.60285,7.6779,4.52,6.09895,8.7328,4.52,6.626399999999999,,,,,,,,,,,,,,,,,,
1709251200000,2024-03-01 23:59:59.999,DYM,1d,5.6721,5.8707,5.918,5.6366,4159685.0,6584,DYM,6.6857,4.52,5.60285,7.5333,4.52,6.02665,8.7328,4.52,6.626399999999999,,,,,,,,,,,,,,,,,,
1709337600000,2024-03-02 23:59:59.999,DYM,1d,5.8621,6.2464,6.2625,5.727,884598.7,3761,DYM,6.6857,4.52,5.60285,7.5333,4.52,6.02665,8.7328,4.52,6.626399999999999,,,,,,,,,,,,,,,,,,
1709424000000,2024-03-03 23:59:59.999,DYM,1d,6.2436,5.92,6.4121,5.2472,843579.9,3725,DYM,6.4287,4.52,5.474349999999999,7.2616,4.52,5.8908,8.7328,4.52,6.626399999999999,,,,,,,,,,,,,,,,,,
