t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,ETC,1d,19.207,18.989,19.338,18.619,0.0,0,ETC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,ETC,1d,18.989,18.615,19.137,18.512,0.0,0,ETC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,ETC,1d,18.616,18.943,19.353,17.966,0.0,0,ETC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,ETC,1d,18.943,18.874,19.052,18.576,0.0,0,ETC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,ETC,1d,18.874,18.762,19.293,18.401,0.0,0,ETC,19.353,17.966,18.6595,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,ETC,1d,18.763,20.177,20.239,18.579,0.0,0,ETC,20.239,17.966,19.1025,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,ETC,1d,20.178,19.059,20.372,18.193,0.0,0,ETC,20.372,17.966,19.169,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,ETC,1d,19.057,19.262,19.77,18.92,0.0,0,ETC,20.372,18.193,19.2825,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,ETC,1d,19.263,18.78,19.439,18.63,0.0,0,ETC,20.372,18.193,19.2825,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,ETC,1d,18.779,19.063,19.193,18.424,0.0,0,ETC,20.372,18.193,19.2825,20.372,17.966,19.169,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,ETC,1d,19.063,18.736,19.165,18.432,0.0,0,ETC,20.372,18.193,19.2825,20.372,17.966,19.169,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,ETC,1d,18.736,18.762,19.084,18.67,0.0,0,ETC,19.77,18.424,19.097,20.372,17.966,19.169,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,ETC,1d,18.76,18.689,19.189,18.466,0.0,0,ETC,19.439,18.424,18.9315,20.372,18.193,19.2825,,,,,,,,,,,,,,,,,,,,,
