t,timestamp,s,i,open,close,high,low,volume,n,asset
1734652800000,2024-12-20 23:59:59.999,FARTCOIN,1d,0.98582,1.0559,1.375,0.88305,18692005.7,30505,FARTCOIN
1734739200000,2024-12-21 23:59:59.999,FARTCOIN,1d,1.0558,0.8013,1.0626,0.7513,36748323.3,47072,FARTCOIN
1734825600000,2024-12-22 23:59:59.999,FARTCOIN,1d,0.80105,0.69748,0.8372,0.69174,31153863.2,31026,FARTCOIN
1734912000000,2024-12-23 23:59:59.999,FARTCOIN,1d,0.69797,0.80304,0.88586,0.57923,52913923.5,48892,FARTCOIN
1734998400000,2024-12-24 23:59:59.999,FARTCOIN,1d,0.80261,1.2149,1.2923,0.72154,41683925.3,46774,FARTCOIN
1735084800000,2024-12-25 23:59:59.999,FARTCOIN,1d,1.2159,1.1922,1.3098,1.112,29673453.8,43604,FARTCOIN
1735171200000,2024-12-26 23:59:59.999,FARTCOIN,1d,1.1919,0.98157,1.1937,0.88635,25742704.0,30966,FARTCOIN
1735257600000,2024-12-27 23:59:59.999,FARTCOIN,1d,0.98,0.87553,1.1381,0.8665,27608939.3,33563,FARTCOIN
1735344000000,2024-12-28 23:59:59.999,FARTCOIN,1d,0.87797,0.98686,1.0465,0.82875,22107682.4,24627,FARTCOIN
1735430400000,2024-12-29 23:59:59.999,FARTCOIN,1d,0.98627,0.8667,1.0324,0.799,18860954.6,24109,FARTCOIN
1735516800000,2024-12-30 23:59:59.999,FARTCOIN,1d,0.8667,0.8828,0.98059,0.78333,26092704.6,22102,FARTCOIN
1735603200000,2024-12-31 23:59:59.999,FARTCOIN,1d,0.88444,0.93724,1.0932,0.81822,32310050.2,28755,FARTCOIN
1735689600000,2025-01-01 23:59:59.999,FARTCOIN,1d,0.9371,0.98003,1.0744,0.90438,16421589.5,19795,FARTCOIN
1735776000000,2025-01-02 23:59:59.999,FARTCOIN,1d,0.98193,1.3402,1.5401,0.98068,38697392.0,54860,FARTCOIN
1735862400000,2025-01-03 23:59:59.999,FARTCOIN,1d,1.342,1.5254,1.6165,1.2843,22610499.3,39940,FARTCOIN
1735948800000,2025-01-04 23:59:59.999,FARTCOIN,1d,1.5243,1.4273,1.5411,1.3816,10379696.4,18589,FARTCOIN
1736035200000,2025-01-05 23:59:59.999,FARTCOIN,1d,1.4336,1.3057,1.4571,1.2471,13571744.1,20783,FARTCOIN
1736121600000,2025-01-06 23:59:59.999,FARTCOIN,1d,1.3053,1.169,1.41,1.1281,30518661.1,41462,FARTCOIN
1736208000000,2025-01-07 23:59:59.999,FARTCOIN,1d,1.1717,1.081,1.2577,1.0566,44795611.0,64342,FARTCOIN
1736294400000,2025-01-08 23:59:59.999,FARTCOIN,1d,1.0805,1.1336,1.1733,0.94217,48244753.5,80330,FARTCOIN
1736380800000,2025-01-09 23:59:59.999,FARTCOIN,1d,1.1332,0.86725,1.1332,0.76251,73808606.59999998,73022,FARTCOIN
1736467200000,2025-01-10 23:59:59.999,FARTCOIN,1d,0.86686,0.839,0.94862,0.79533,34097786.9,37394,FARTCOIN
1736553600000,2025-01-11 23:59:59.999,FARTCOIN,1d,0.839,0.82288,0.86932,0.7209,31307384.7,33981,FARTCOIN
1736640000000,2025-01-12 23:59:59.999,FARTCOIN,1d,0.82303,0.76638,0.84254,0.76071,18516708.9,23636,FARTCOIN
1736726400000,2025-01-13 23:59:59.999,FARTCOIN,1d,0.76709,1.0777,1.1,0.67876,66635848.7,71648,FARTCOIN
1736812800000,2025-01-14 23:59:59.999,FARTCOIN,1d,1.0763,1.0215,1.1944,0.99127,39742787.3,52735,FARTCOIN
1736899200000,2025-01-15 23:59:59.999,FARTCOIN,1d,1.0219,1.2859,1.3575,0.9575,51953965.7,66327,FARTCOIN
1736985600000,2025-01-16 23:59:59.999,FARTCOIN,1d,1.2858,1.3219,1.4408,1.1924,44344276.4,70063,FARTCOIN
1737072000000,2025-01-17 23:59:59.999,FARTCOIN,1d,1.322,1.4102,1.5729,1.3181,44118600.0,87130,FARTCOIN
1737158400000,2025-01-18 23:59:59.999,FARTCOIN,1d,1.4105,1.7369,1.8767,1.1318,121410981.2,186860,FARTCOIN
1737244800000,2025-01-19 23:59:59.999,FARTCOIN,1d,1.7371,2.1694,2.843,1.6035,151535213.8,302379,FARTCOIN
1737331200000,2025-01-20 23:59:59.999,FARTCOIN,1d,2.1714,1.796,2.479,1.6753,125196801.0,372393,FARTCOIN
1737417600000,2025-01-21 23:59:59.999,FARTCOIN,1d,1.8041,1.6535,1.9939,1.5003,66507814.1,159955,FARTCOIN
1737504000000,2025-01-22 23:59:59.999,FARTCOIN,1d,1.6535,1.5496,2.0,1.5021,59340311.3,104530,FARTCOIN
1737590400000,2025-01-23 23:59:59.999,FARTCOIN,1d,1.549,1.3638,1.676,1.315,105836939.9,159236,FARTCOIN
1737676800000,2025-01-24 23:59:59.999,FARTCOIN,1d,1.3648,1.2487,1.5636,1.2111,53240557.4,87817,FARTCOIN
1737763200000,2025-01-25 23:59:59.999,FARTCOIN,1d,1.249,1.3347,1.4848,1.1259,43821828.2,74397,FARTCOIN
1737849600000,2025-01-26 23:59:59.999,FARTCOIN,1d,1.3335,1.1009,1.4225,1.1,40388153.8,71037,FARTCOIN
1737936000000,2025-01-27 23:59:59.999,FARTCOIN,1d,1.1008,1.0084,1.1344,0.8367,112221047.0,132526,FARTCOIN
1738022400000,2025-01-28 23:59:59.999,FARTCOIN,1d,1.0085,0.81039,1.1016,0.77365,73947068.5,80312,FARTCOIN
1738108800000,2025-01-29 23:59:59.999,FARTCOIN,1d,0.80936,1.0057,1.1625,0.79813,119796315.0,119455,FARTCOIN
1738195200000,2025-01-30 23:59:59.999,FARTCOIN,1d,1.0076,1.1333,1.2969,0.95167,77475372.29999998,98696,FARTCOIN
1738281600000,2025-01-31 23:59:59.999,FARTCOIN,1d,1.1341,0.89332,1.1533,0.858,75137757.2,90319,FARTCOIN
1738368000000,2025-02-01 23:59:59.999,FARTCOIN,1d,0.8936,0.6313,0.96875,0.62,135975217.8,115677,FARTCOIN
1738454400000,2025-02-02 23:59:59.999,FARTCOIN,1d,0.6314,0.71841,0.71967,0.53455,247534671.1,179256,FARTCOIN
1738540800000,2025-02-03 23:59:59.999,FARTCOIN,1d,0.71881,0.8069,0.88531,0.44911,312226523.6,227216,FARTCOIN
1738627200000,2025-02-04 23:59:59.999,FARTCOIN,1d,0.8071,0.64193,0.83,0.63081,123922499.1,116694,FARTCOIN
1738713600000,2025-02-05 23:59:59.999,FARTCOIN,1d,0.64206,0.49523,0.70981,0.47164,108970351.6,76061,FARTCOIN
1738800000000,2025-02-06 23:59:59.999,FARTCOIN,1d,0.49522,0.4244,0.5387,0.41,177795163.8,102770,FARTCOIN
1738886400000,2025-02-07 23:59:59.999,FARTCOIN,1d,0.42418,0.42171,0.58503,0.4092,172233770.1,85925,FARTCOIN
1738972800000,2025-02-08 23:59:59.999,FARTCOIN,1d,0.42163,0.54186,0.56788,0.41247,67129318.3,42276,FARTCOIN
1739059200000,2025-02-09 23:59:59.999,FARTCOIN,1d,0.54234,0.4848,0.6261,0.45658,90354475.4,52009,FARTCOIN
1739145600000,2025-02-10 23:59:59.999,FARTCOIN,1d,0.48421,0.56857,0.68429,0.48421,132805213.7,82835,FARTCOIN
1739232000000,2025-02-11 23:59:59.999,FARTCOIN,1d,0.56802,0.56345,0.7182,0.5463,122499522.7,82309,FARTCOIN
1739318400000,2025-02-12 23:59:59.999,FARTCOIN,1d,0.5627,0.57646,0.611,0.48186,157460595.9,89017,FARTCOIN
1739404800000,2025-02-13 23:59:59.999,FARTCOIN,1d,0.57652,0.4761,0.60015,0.45132,126861616.3,73142,FARTCOIN
1739491200000,2025-02-14 23:59:59.999,FARTCOIN,1d,0.4765,0.4894,0.58992,0.46,153190526.5,85336,FARTCOIN
1739577600000,2025-02-15 23:59:59.999,FARTCOIN,1d,0.48924,0.4369,0.49194,0.42181,65365749.5,35822,FARTCOIN
1739664000000,2025-02-16 23:59:59.999,FARTCOIN,1d,0.4375,0.42285,0.466,0.40313,68259389.0,25953,FARTCOIN
1739750400000,2025-02-17 23:59:59.999,FARTCOIN,1d,0.42287,0.36013,0.4676,0.35071,117836501.2,44610,FARTCOIN
1739836800000,2025-02-18 23:59:59.999,FARTCOIN,1d,0.36135,0.32222,0.37338,0.27784,167763179.4,48552,FARTCOIN
1739923200000,2025-02-19 23:59:59.999,FARTCOIN,1d,0.32233,0.29788,0.33267,0.29333,87630635.59999998,28992,FARTCOIN
1740009600000,2025-02-20 23:59:59.999,FARTCOIN,1d,0.29874,0.35469,0.37842,0.289,115274303.1,39508,FARTCOIN
1740096000000,2025-02-21 23:59:59.999,FARTCOIN,1d,0.35423,0.3084,0.40933,0.30603,169950375.8,66792,FARTCOIN
1740182400000,2025-02-22 23:59:59.999,FARTCOIN,1d,0.30896,0.36096,0.38962,0.30415,108599509.5,39757,FARTCOIN
1740268800000,2025-02-23 23:59:59.999,FARTCOIN,1d,0.36018,0.33375,0.36295,0.3115,69730515.0,33305,FARTCOIN
1740355200000,2025-02-24 23:59:59.999,FARTCOIN,1d,0.33398,0.27788,0.34399,0.25875,117794143.2,44307,FARTCOIN
1740441600000,2025-02-25 23:59:59.999,FARTCOIN,1d,0.27792,0.28914,0.30813,0.25539,124661933.2,41211,FARTCOIN
1740528000000,2025-02-26 23:59:59.999,FARTCOIN,1d,0.28936,0.338,0.34821,0.27587,164426178.2,47033,FARTCOIN
1740614400000,2025-02-27 23:59:59.999,FARTCOIN,1d,0.33846,0.30863,0.35,0.29925,84054492.29999998,33196,FARTCOIN
1740700800000,2025-02-28 23:59:59.999,FARTCOIN,1d,0.30895,0.29712,0.31177,0.26132,123181258.2,46954,FARTCOIN
1740787200000,2025-03-01 23:59:59.999,FARTCOIN,1d,0.29771,0.2513,0.31641,0.24249,79225998.9,34375,FARTCOIN
1740873600000,2025-03-02 23:59:59.999,FARTCOIN,1d,0.25177,0.3506,0.3625,0.23237,168825396.1,57336,FARTCOIN
1740960000000,2025-03-03 23:59:59.999,FARTCOIN,1d,0.351,0.2687,0.39741,0.2673,168173713.1,60210,FARTCOIN
1741046400000,2025-03-04 23:59:59.999,FARTCOIN,1d,0.26809,0.25841,0.27563,0.2084,188897241.2,47565,FARTCOIN
1741132800000,2025-03-05 23:59:59.999,FARTCOIN,1d,0.25821,0.30731,0.3167,0.24671,157158337.3,42961,FARTCOIN
1741219200000,2025-03-06 23:59:59.999,FARTCOIN,1d,0.30755,0.29086,0.36094,0.27852,189449987.9,53403,FARTCOIN
1741305600000,2025-03-07 23:59:59.999,FARTCOIN,1d,0.29084,0.25031,0.30366,0.24754,202926644.0,53080,FARTCOIN
1741392000000,2025-03-08 23:59:59.999,FARTCOIN,1d,0.2502,0.23727,0.26467,0.22869,73327911.2,23355,FARTCOIN
1741478400000,2025-03-09 23:59:59.999,FARTCOIN,1d,0.23736,0.23202,0.25509,0.22244,82580889.9,24482,FARTCOIN
1741564800000,2025-03-10 23:59:59.999,FARTCOIN,1d,0.23201,0.21861,0.24853,0.19888,94583797.9,22832,FARTCOIN
1741651200000,2025-03-11 23:59:59.999,FARTCOIN,1d,0.21941,0.26209,0.27489,0.20755,90265723.8,23582,FARTCOIN
1741737600000,2025-03-12 23:59:59.999,FARTCOIN,1d,0.2623,0.29141,0.2946,0.2387,110379310.2,25499,FARTCOIN
1741824000000,2025-03-13 23:59:59.999,FARTCOIN,1d,0.291,0.24268,0.304,0.23804,64212108.2,21235,FARTCOIN
1741910400000,2025-03-14 23:59:59.999,FARTCOIN,1d,0.24292,0.2844,0.31873,0.23596,121088522.7,34485,FARTCOIN
1741996800000,2025-03-15 23:59:59.999,FARTCOIN,1d,0.28439,0.33576,0.34789,0.2838,66478481.3,27175,FARTCOIN
1742083200000,2025-03-16 23:59:59.999,FARTCOIN,1d,0.33678,0.29583,0.35895,0.29455,59678628.9,22590,FARTCOIN
1742169600000,2025-03-17 23:59:59.999,FARTCOIN,1d,0.29569,0.32235,0.35108,0.29569,61328436.8,22237,FARTCOIN
1742256000000,2025-03-18 23:59:59.999,FARTCOIN,1d,0.32245,0.29569,0.32245,0.2654,63200616.9,21675,FARTCOIN
1742342400000,2025-03-19 23:59:59.999,FARTCOIN,1d,0.29528,0.39794,0.41574,0.295,207315119.2,69624,FARTCOIN
