t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,FET,1d,0.2231,0.2193,0.226,0.2145,0.0,0,FET,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,FET,1d,0.2192,0.2171,0.221,0.2158,0.0,0,FET,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,FET,1d,0.2171,0.2149,0.2189,0.2083,0.0,0,FET,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,FET,1d,0.215,0.2137,0.2189,0.2111,0.0,0,FET,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,FET,1d,0.2138,0.2195,0.2211,0.2099,0.0,0,FET,0.226,0.2083,0.21715,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,FET,1d,0.2195,0.2333,0.2376,0.2148,0.0,0,FET,0.2376,0.2083,0.22295,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,FET,1d,0.2334,0.2373,0.2561,0.2225,0.0,0,FET,0.2561,0.2083,0.23220000000000002,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,FET,1d,0.2373,0.2413,0.2464,0.2306,0.0,0,FET,0.2561,0.2099,0.23299999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,FET,1d,0.2414,0.2356,0.2486,0.2337,0.0,0,FET,0.2561,0.2099,0.23299999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,FET,1d,0.2357,0.2362,0.2462,0.228,0.0,0,FET,0.2561,0.2148,0.23545,0.2561,0.2083,0.23220000000000002,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,FET,1d,0.2361,0.2253,0.2391,0.2205,0.0,0,FET,0.2561,0.2205,0.2383,0.2561,0.2083,0.23220000000000002,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,FET,1d,0.2253,0.2249,0.2314,0.2232,0.0,0,FET,0.2486,0.2205,0.23454999999999998,0.2561,0.2083,0.23220000000000002,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,FET,1d,0.2249,0.2227,0.2316,0.2185,0.0,0,FET,0.2486,0.2185,0.23354999999999998,0.2561,0.2099,0.23299999999999998,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,FET,1d,0.2226,0.2249,0.2264,0.2201,0.0,0,FET,0.2462,0.2185,0.23235,0.2561,0.2099,0.23299999999999998,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,FET,1d,0.225,0.2196,0.2273,0.217,0.0,0,FET,0.2391,0.217,0.22805,0.2561,0.2148,0.23545,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,FET,1d,0.2196,0.2233,0.2256,0.2174,0.0,0,FET,0.2316,0.217,0.2243,0.2561,0.217,0.23654999999999998,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,FET,1d,0.2233,0.2121,0.226,0.208,0.0,0,FET,0.2316,0.208,0.2198,0.2486,0.208,0.2283,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,FET,1d,0.2121,0.2097,0.2135,0.2074,0.0,0,FET,0.2273,0.2074,0.21735,0.2486,0.2074,0.22799999999999998,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,FET,1d,0.2097,0.2116,0.2147,0.2042,0.0,0,FET,0.2273,0.2042,0.21575,0.2462,0.2042,0.2252,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,FET,1d,0.2117,0.2146,0.2179,0.2095,0.0,0,FET,0.226,0.2042,0.2151,0.2391,0.2042,0.22165,0.2561,0.2042,0.23015,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,FET,1d,0.2145,0.2157,0.2173,0.2124,0.0,0,FET,0.226,0.2042,0.2151,0.2316,0.2042,0.21789999999999998,0.2561,0.2042,0.23015,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,FET,1d,0.2157,0.2148,0.2181,0.2138,0.0,0,FET,0.2181,0.2042,0.21115,0.2316,0.2042,0.21789999999999998,0.2561,0.2042,0.23015,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,FET,1d,0.2148,0.2099,0.2149,0.2024,0.0,0,FET,0.2181,0.2024,0.21025,0.2273,0.2024,0.21484999999999999,0.2561,0.2024,0.22925,,,,,,,,,,,,,,,,,,
1690761600000,2023-07-31 23:59:59.999,FET,1d,0.2098,0.2078,0.2138,0.2062,0.0,0,FET,0.2181,0.2024,0.21025,0.2273,0.2024,0.21484999999999999,0.2561,0.2024,0.22925,,,,,,,,,,,,,,,,,,
