t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,FIL,1d,4.401,4.335,4.433,4.213,0.0,0,FIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,FIL,1d,4.335,4.333,4.428,4.312,0.0,0,FIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,FIL,1d,4.333,4.318,4.417,4.133,0.0,0,FIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,FIL,1d,4.317,4.294,4.345,4.211,0.0,0,FIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,FIL,1d,4.294,4.235,4.36,4.17,0.0,0,FIL,4.433,4.133,4.2829999999999995,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,FIL,1d,4.235,4.673,4.732,4.178,0.0,0,FIL,4.732,4.133,4.4325,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,FIL,1d,4.673,4.436,4.745,4.284,0.0,0,FIL,4.745,4.133,4.439,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,FIL,1d,4.436,4.435,4.506,4.374,0.0,0,FIL,4.745,4.17,4.4575,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,FIL,1d,4.434,4.352,4.466,4.3,0.0,0,FIL,4.745,4.17,4.4575,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,FIL,1d,4.352,4.345,4.478,4.2,0.0,0,FIL,4.745,4.178,4.4615,4.745,4.133,4.439,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,FIL,1d,4.345,4.279,4.388,4.15,0.0,0,FIL,4.745,4.15,4.4475,4.745,4.133,4.439,,,,,,,,,,,,,,,,,,,,,
