t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,FTM,1d,0.29933,0.26829,0.30761,0.26825,11270288.0,9092,FTM
1688688000000,2023-07-07 23:59:59.999,FTM,1d,0.26835,0.26805,0.27248,0.26027,10139623.0,6115,FTM
1688774400000,2023-07-08 23:59:59.999,FTM,1d,0.26802,0.27618,0.27883,0.26541,13465657.0,5523,FTM
1688860800000,2023-07-09 23:59:59.999,FTM,1d,0.27593,0.26771,0.27979,0.26682,11390971.0,14958,FTM
1688947200000,2023-07-10 23:59:59.999,FTM,1d,0.26786,0.27219,0.27574,0.25695,19570112.0,13700,FTM
1689033600000,2023-07-11 23:59:59.999,FTM,1d,0.27212,0.2719,0.27935,0.26838,27133495.0,11300,FTM
1689120000000,2023-07-12 23:59:59.999,FTM,1d,0.27195,0.27205,0.27857,0.2675,20814654.0,13888,FTM
1689206400000,2023-07-13 23:59:59.999,FTM,1d,0.27204,0.30796,0.30956,0.27048,4899993.0,14083,FTM
1689292800000,2023-07-14 23:59:59.999,FTM,1d,0.30802,0.28275,0.31857,0.27265,11642930.0,11770,FTM
1689379200000,2023-07-15 23:59:59.999,FTM,1d,0.28274,0.27541,0.28712,0.27065,8499757.0,9492,FTM
1689465600000,2023-07-16 23:59:59.999,FTM,1d,0.27526,0.25917,0.27629,0.2576,6316978.0,5961,FTM
1689552000000,2023-07-17 23:59:59.999,FTM,1d,0.25937,0.26401,0.26881,0.25501,23411078.0,5510,FTM
1689638400000,2023-07-18 23:59:59.999,FTM,1d,0.26411,0.25698,0.26753,0.25071,10615583.0,5427,FTM
1689724800000,2023-07-19 23:59:59.999,FTM,1d,0.25707,0.2538,0.26357,0.25276,23045630.0,6149,FTM
1689811200000,2023-07-20 23:59:59.999,FTM,1d,0.25387,0.25761,0.26279,0.2511,21879648.0,6490,FTM
1689897600000,2023-07-21 23:59:59.999,FTM,1d,0.2578,0.25692,0.26112,0.25488,17281994.0,5279,FTM
1689984000000,2023-07-22 23:59:59.999,FTM,1d,0.25695,0.25247,0.25943,0.24915,10974700.0,4452,FTM
1690070400000,2023-07-23 23:59:59.999,FTM,1d,0.25243,0.256,0.26116,0.24836,12438278.0,4485,FTM
1690156800000,2023-07-24 23:59:59.999,FTM,1d,0.25591,0.24322,0.25734,0.23771,21005288.0,4977,FTM
1690243200000,2023-07-25 23:59:59.999,FTM,1d,0.24321,0.23504,0.24407,0.23394,18983984.0,4241,FTM
1690329600000,2023-07-26 23:59:59.999,FTM,1d,0.23507,0.24483,0.2507,0.22921,25711445.0,5956,FTM
1690416000000,2023-07-27 23:59:59.999,FTM,1d,0.24474,0.24562,0.2491,0.24035,22771402.0,4717,FTM
1690502400000,2023-07-28 23:59:59.999,FTM,1d,0.24557,0.24665,0.2491,0.24222,17671816.0,4100,FTM
1690588800000,2023-07-29 23:59:59.999,FTM,1d,0.24668,0.24602,0.24757,0.24356,8083756.0,3332,FTM
1690675200000,2023-07-30 23:59:59.999,FTM,1d,0.24602,0.23965,0.24705,0.2339,13224560.0,3642,FTM
