t,timestamp,s,i,open,close,high,low,volume,n,asset
1729641600000,2024-10-23 23:59:59.999,GOAT,1d,0.67794,0.6476,0.77356,0.61086,12212725.0,14536,GOAT
1729728000000,2024-10-24 23:59:59.999,GOAT,1d,0.6509,0.66348,0.91552,0.59599,26764131.0,24739,GOAT
1729814400000,2024-10-25 23:59:59.999,GOAT,1d,0.66348,0.7089,0.76617,0.61439,29738186.0,22764,GOAT
1729900800000,2024-10-26 23:59:59.999,GOAT,1d,0.70891,0.71849,0.87924,0.67908,26129484.0,22766,GOAT
1729987200000,2024-10-27 23:59:59.999,GOAT,1d,0.71831,0.59718,0.71861,0.56955,26531742.0,18123,GOAT
1730073600000,2024-10-28 23:59:59.999,GOAT,1d,0.59777,0.6126,0.7054,0.55586,23802686.0,16276,GOAT
1730160000000,2024-10-29 23:59:59.999,GOAT,1d,0.61232,0.66282,0.73575,0.60586,26273807.0,17800,GOAT
1730246400000,2024-10-30 23:59:59.999,GOAT,1d,0.66262,0.57608,0.71045,0.55897,23523529.0,16946,GOAT
1730332800000,2024-10-31 23:59:59.999,GOAT,1d,0.5757,0.53357,0.60645,0.51163,25824392.0,13118,GOAT
1730419200000,2024-11-01 23:59:59.999,GOAT,1d,0.53496,0.54003,0.5978,0.52102,18628208.0,9142,GOAT
1730505600000,2024-11-02 23:59:59.999,GOAT,1d,0.53803,0.44219,0.56515,0.43629,19641877.0,10467,GOAT
1730592000000,2024-11-03 23:59:59.999,GOAT,1d,0.44246,0.53047,0.55489,0.42089,37013110.0,18027,GOAT
1730678400000,2024-11-04 23:59:59.999,GOAT,1d,0.53075,0.4815,0.56644,0.47723,32464510.0,14655,GOAT
1730764800000,2024-11-05 23:59:59.999,GOAT,1d,0.47925,0.60425,0.61174,0.46538,28771567.0,17272,GOAT
1730851200000,2024-11-06 23:59:59.999,GOAT,1d,0.60152,0.79415,0.84005,0.59488,43841269.0,23994,GOAT
1730937600000,2024-11-07 23:59:59.999,GOAT,1d,0.79554,0.85891,0.89936,0.74265,20247688.0,15702,GOAT
1731024000000,2024-11-08 23:59:59.999,GOAT,1d,0.86,0.7508,0.894,0.73585,16851634.0,14945,GOAT
1731110400000,2024-11-09 23:59:59.999,GOAT,1d,0.75047,0.77086,0.7904,0.69745,19964562.0,19431,GOAT
