t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1782950400000,2026-07-02 23:59:59.999,GRAM,1d,1.6443,1.671,1.724,1.636,8324557.0,26922,GRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783036800000,2026-07-03 23:59:59.999,GRAM,1d,1.6713,1.651,1.6713,1.6416,211931.0,2182,GRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783123200000,2026-07-04 23:59:59.999,GRAM,1d,1.6902,1.6929,1.7067,1.6678,370351.0,1163,GRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783209600000,2026-07-05 23:59:59.999,GRAM,1d,1.7678,1.7676,1.7724,1.7206,370818.0,1929,GRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783296000000,2026-07-06 23:59:59.999,GRAM,1d,1.7796,1.7589,1.7851,1.7486,471671.0,1810,GRAM,1.7851,1.636,1.71055,,,,,,,,,,,,,,,,,,,,,,,,
1783382400000,2026-07-07 23:59:59.999,GRAM,1d,1.7822,1.7185,1.8,1.711,818753.0,2482,GRAM,1.8,1.6416,1.7208,,,,,,,,,,,,,,,,,,,,,,,,
1783468800000,2026-07-08 23:59:59.999,GRAM,1d,1.6228,1.6003,1.6294,1.5704,963829.0,2103,GRAM,1.8,1.5704,1.6852,,,,,,,,,,,,,,,,,,,,,,,,
1783555200000,2026-07-09 23:59:59.999,GRAM,1d,1.5869,1.58,1.5986,1.5731,77777.0,3161,GRAM,1.8,1.5704,1.6852,,,,,,,,,,,,,,,,,,,,,,,,
1783641600000,2026-07-10 23:59:59.999,GRAM,1d,1.6042,1.6247,1.6271,1.5973,146364.0,814,GRAM,1.8,1.5704,1.6852,,,,,,,,,,,,,,,,,,,,,,,,
1783728000000,2026-07-11 23:59:59.999,GRAM,1d,1.6451,1.6432,1.6541,1.626,92172.0,1001,GRAM,1.8,1.5704,1.6852,1.8,1.5704,1.6852,,,,,,,,,,,,,,,,,,,,,
1783814400000,2026-07-12 23:59:59.999,GRAM,1d,1.6427,1.6603,1.6646,1.6375,49134.0,645,GRAM,1.6646,1.5704,1.6175000000000002,1.8,1.5704,1.6852,,,,,,,,,,,,,,,,,,,,,
1783900800000,2026-07-13 23:59:59.999,GRAM,1d,1.6189,1.6056,1.6434,1.5983,99661.0,655,GRAM,1.6646,1.5731,1.6188500000000001,1.8,1.5704,1.6852,,,,,,,,,,,,,,,,,,,,,
1783987200000,2026-07-14 23:59:59.999,GRAM,1d,1.5973,1.5739,1.6026,1.5718,95474.0,778,GRAM,1.6646,1.5718,1.6182,1.8,1.5704,1.6852,,,,,,,,,,,,,,,,,,,,,
1784073600000,2026-07-15 23:59:59.999,GRAM,1d,1.6187,1.613,1.6203,1.6086,100499.0,514,GRAM,1.6646,1.5718,1.6182,1.8,1.5704,1.6852,,,,,,,,,,,,,,,,,,,,,
1784160000000,2026-07-16 23:59:59.999,GRAM,1d,1.5757,1.5712,1.5856,1.5641,83540.0,505,GRAM,1.6646,1.5641,1.61435,1.8,1.5641,1.68205,,,,,,,,,,,,,,,,,,,,,
1784246400000,2026-07-17 23:59:59.999,GRAM,1d,1.5157,1.5042,1.5227,1.496,423953.0,1346,GRAM,1.6434,1.496,1.5697,1.6646,1.496,1.5803,,,,,,,,,,,,,,,,,,,,,
1784332800000,2026-07-18 23:59:59.999,GRAM,1d,1.4974,1.4872,1.5005,1.4814,33963.0,486,GRAM,1.6203,1.4814,1.55085,1.6646,1.4814,1.573,,,,,,,,,,,,,,,,,,,,,
1784419200000,2026-07-19 23:59:59.999,GRAM,1d,1.473,1.4631,1.4789,1.4599,24509.0,427,GRAM,1.6203,1.4599,1.5401,1.6646,1.4599,1.5622500000000001,,,,,,,,,,,,,,,,,,,,,
1784505600000,2026-07-20 23:59:59.999,GRAM,1d,1.444,1.4511,1.4653,1.4419,111487.0,677,GRAM,1.5856,1.4419,1.51375,1.6646,1.4419,1.55325,,,,,,,,,,,,,,,,,,,,,
1784592000000,2026-07-21 23:59:59.999,GRAM,1d,1.4311,1.4468,1.4518,1.4284,398914.0,1076,GRAM,1.5227,1.4284,1.47555,1.6646,1.4284,1.5465,1.8,1.4284,1.6141999999999999,,,,,,,,,,,,,,,,,,
1784678400000,2026-07-22 23:59:59.999,GRAM,1d,1.5469,1.5725,1.5912,1.5223,354156.0,1747,GRAM,1.5912,1.4284,1.5097999999999998,1.6434,1.4284,1.5358999999999998,1.8,1.4284,1.6141999999999999,,,,,,,,,,,,,,,,,,
1784764800000,2026-07-23 23:59:59.999,GRAM,1d,1.4923,1.4929,1.502,1.4769,222705.0,814,GRAM,1.5912,1.4284,1.5097999999999998,1.6203,1.4284,1.52435,1.8,1.4284,1.6141999999999999,,,,,,,,,,,,,,,,,,
1784851200000,2026-07-24 23:59:59.999,GRAM,1d,1.462,1.4475,1.4658,1.4331,152517.0,854,GRAM,1.5912,1.4284,1.5097999999999998,1.6203,1.4284,1.52435,1.8,1.4284,1.6141999999999999,,,,,,,,,,,,,,,,,,
1784937600000,2026-07-25 23:59:59.999,GRAM,1d,1.469,1.4733,1.4756,1.4545,375636.0,1181,GRAM,1.5912,1.4284,1.5097999999999998,1.5912,1.4284,1.5097999999999998,1.8,1.4284,1.6141999999999999,,,,,,,,,,,,,,,,,,
1785024000000,2026-07-26 23:59:59.999,GRAM,1d,1.5069,1.5209,1.522,1.506,71262.0,613,GRAM,1.5912,1.4331,1.51215,1.5912,1.4284,1.5097999999999998,1.8,1.4284,1.6141999999999999,,,,,,,,,,,,,,,,,,
1785110400000,2026-07-27 23:59:59.999,GRAM,1d,1.5171,1.5116,1.5189,1.5041,111783.0,682,GRAM,1.522,1.4331,1.47755,1.5912,1.4284,1.5097999999999998,1.6646,1.4284,1.5465,,,,,,,,,,,,,,,,,,
1785196800000,2026-07-28 23:59:59.999,GRAM,1d,1.4576,1.4522,1.4722,1.4368,399434.0,1336,GRAM,1.522,1.4331,1.47755,1.5912,1.4284,1.5097999999999998,1.6646,1.4284,1.5465,,,,,,,,,,,,,,,,,,
1785283200000,2026-07-29 23:59:59.999,GRAM,1d,1.4495,1.4279,1.4546,1.4278,412233.0,747,GRAM,1.522,1.4278,1.4748999999999999,1.5912,1.4278,1.5095,1.6646,1.4278,1.5462,,,,,,,,,,,,,,,,,,
1785369600000,2026-07-30 23:59:59.999,GRAM,1d,1.4042,1.4069,1.4116,1.3942,42134.0,490,GRAM,1.522,1.3942,1.4581,1.5912,1.3942,1.4927000000000001,1.6646,1.3942,1.5294,,,,,,,,,,,,,,,,,,
1785456000000,2026-07-31 23:59:59.999,GRAM,1d,1.4275,1.4045,1.4307,1.4015,85347.0,764,GRAM,1.5189,1.3942,1.45655,1.5912,1.3942,1.4927000000000001,1.6646,1.3942,1.5294,1.8,1.3942,1.5971000000000002,,,,,,,,,,,,,,,
1785542400000,2026-08-01 23:59:59.999,GRAM,1d,1.405,1.4055,1.412,1.404,30216.0,486,GRAM,1.4722,1.3942,1.4332,1.522,1.3942,1.4581,1.6434,1.3942,1.5188000000000001,1.8,1.3942,1.5971000000000002,,,,,,,,,,,,,,,
1785628800000,2026-08-02 23:59:59.999,GRAM,1d,1.3917,1.4012,1.4066,1.3908,29911.0,492,GRAM,1.4546,1.3908,1.4226999999999999,1.522,1.3908,1.4564,1.6203,1.3908,1.50555,1.8,1.3908,1.5954000000000002,,,,,,,,,,,,,,,
1785715200000,2026-08-03 23:59:59.999,GRAM,1d,1.4265,1.407,1.4279,1.406,56639.0,584,GRAM,1.4307,1.3908,1.4107500000000002,1.522,1.3908,1.4564,1.6203,1.3908,1.50555,1.8,1.3908,1.5954000000000002,,,,,,,,,,,,,,,
1785801600000,2026-08-04 23:59:59.999,GRAM,1d,1.4132,1.3989,1.4158,1.2925,8144989.0,12508,GRAM,1.4307,1.2925,1.3616000000000001,1.522,1.2925,1.40725,1.5912,1.2925,1.44185,1.8,1.2925,1.5462500000000001,,,,,,,,,,,,,,,
1785888000000,2026-08-05 23:59:59.999,GRAM,1d,1.3907,1.3879,1.3999,1.3834,123505.0,864,GRAM,1.4279,1.2925,1.3601999999999999,1.5189,1.2925,1.4057,1.5912,1.2925,1.44185,1.8,1.2925,1.5462500000000001,,,,,,,,,,,,,,,
1785974400000,2026-08-06 23:59:59.999,GRAM,1d,1.4025,1.3908,1.4052,1.3886,125061.0,823,GRAM,1.4279,1.2925,1.3601999999999999,1.4722,1.2925,1.38235,1.5912,1.2925,1.44185,1.6646,1.2925,1.47855,,,,,,,,,,,,,,,
1786060800000,2026-08-07 23:59:59.999,GRAM,1d,1.368,1.353,1.373,1.3519,71974.0,594,GRAM,1.4279,1.2925,1.3601999999999999,1.4546,1.2925,1.3735499999999998,1.5912,1.2925,1.44185,1.6646,1.2925,1.47855,,,,,,,,,,,,,,,
1786147200000,2026-08-08 23:59:59.999,GRAM,1d,1.3548,1.3523,1.3574,1.3492,59751.0,377,GRAM,1.4158,1.2925,1.35415,1.4307,1.2925,1.3616000000000001,1.5912,1.2925,1.44185,1.6646,1.2925,1.47855,,,,,,,,,,,,,,,
1786233600000,2026-08-09 23:59:59.999,GRAM,1d,1.3625,1.3507,1.3664,1.3498,26886.0,370,GRAM,1.4052,1.3492,1.3772,1.4307,1.2925,1.3616000000000001,1.5912,1.2925,1.44185,1.6646,1.2925,1.47855,,,,,,,,,,,,,,,
1786320000000,2026-08-10 23:59:59.999,GRAM,1d,1.3177,1.3273,1.3386,1.3175,90500.0,590,GRAM,1.4052,1.3175,1.3613499999999998,1.4279,1.2925,1.3601999999999999,1.5912,1.2925,1.44185,1.6646,1.2925,1.47855,,,,,,,,,,,,,,,
1786406400000,2026-08-11 23:59:59.999,GRAM,1d,1.3255,1.3294,1.3344,1.3237,103619.0,817,GRAM,1.373,1.3175,1.34525,1.4279,1.2925,1.3601999999999999,1.522,1.2925,1.40725,1.6434,1.2925,1.46795,,,,,,,,,,,,,,,
1786492800000,2026-08-12 23:59:59.999,GRAM,1d,1.3391,1.3366,1.3428,1.3355,70269.0,753,GRAM,1.3664,1.3175,1.34195,1.4279,1.2925,1.3601999999999999,1.522,1.2925,1.40725,1.6203,1.2925,1.4564,,,,,,,,,,,,,,,
1786579200000,2026-08-13 23:59:59.999,GRAM,1d,1.349,1.3419,1.3552,1.3413,85650.0,531,GRAM,1.3664,1.3175,1.34195,1.4158,1.2925,1.35415,1.522,1.2925,1.40725,1.6203,1.2925,1.4564,,,,,,,,,,,,,,,
1786665600000,2026-08-14 23:59:59.999,GRAM,1d,1.3339,1.3389,1.3451,1.3265,53271.0,483,GRAM,1.3552,1.3175,1.33635,1.4052,1.3175,1.3613499999999998,1.522,1.2925,1.40725,1.5912,1.2925,1.44185,,,,,,,,,,,,,,,
1786752000000,2026-08-15 23:59:59.999,GRAM,1d,1.337,1.3353,1.34,1.3323,8716.0,282,GRAM,1.3552,1.3237,1.33945,1.4052,1.3175,1.3613499999999998,1.5189,1.2925,1.4057,1.5912,1.2925,1.44185,,,,,,,,,,,,,,,
