t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,HPOS,1d,0.012346,0.011347,0.01313,0.009604,0.0,0,HPOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,HPOS,1d,0.011347,0.011088,0.014414,0.010434,0.0,0,HPOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,HPOS,1d,0.011088,0.012102,0.013155,0.007698,0.0,0,HPOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,HPOS,1d,0.012103,0.01798,0.018718,0.011208,0.0,0,HPOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,HPOS,1d,0.01798,0.016314,0.022851,0.013251,0.0,0,HPOS,0.022851,0.007698,0.0152745,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,HPOS,1d,0.016314,0.023447,0.025588,0.014,0.0,0,HPOS,0.025588,0.007698,0.016642999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,HPOS,1d,0.023447,0.029652,0.037921,0.020708,0.0,0,HPOS,0.037921,0.007698,0.022809500000000003,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,HPOS,1d,0.029652,0.04607,0.057764,0.025602,0.0,0,HPOS,0.057764,0.011208,0.034486,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,HPOS,1d,0.04607,0.04991,0.071891,0.03364,0.0,0,HPOS,0.071891,0.013251,0.042571,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,HPOS,1d,0.04991,0.048566,0.063235,0.030272,0.0,0,HPOS,0.071891,0.014,0.0429455,0.071891,0.007698,0.0397945,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,HPOS,1d,0.048566,0.051371,0.060278,0.040175,0.0,0,HPOS,0.071891,0.020708,0.0462995,0.071891,0.007698,0.0397945,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,HPOS,1d,0.051371,0.066917,0.080367,0.048499,0.0,0,HPOS,0.080367,0.025602,0.0529845,0.080367,0.007698,0.044032499999999995,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,HPOS,1d,0.066917,0.071126,0.098897,0.058091,0.0,0,HPOS,0.098897,0.030272,0.0645845,0.098897,0.011208,0.0550525,,,,,,,,,,,,,,,,,,,,,
