t,timestamp,s,i,open,close,high,low,volume,n,asset
1699574400000,2023-11-10 23:59:59.999,ILV,1d,100.08,95.92,104.58,92.32,0.0,0,ILV
1699660800000,2023-11-11 23:59:59.999,ILV,1d,95.92,92.8,97.78,86.51,0.0,0,ILV
1699747200000,2023-11-12 23:59:59.999,ILV,1d,92.8,90.07,94.18,88.55,0.0,0,ILV
1699833600000,2023-11-13 23:59:59.999,ILV,1d,90.04,84.5,95.66,83.94,0.0,0,ILV
1699920000000,2023-11-14 23:59:59.999,ILV,1d,84.56,84.93,89.43,77.77,0.0,0,ILV
1700006400000,2023-11-15 23:59:59.999,ILV,1d,84.94,93.85,95.0,84.94,0.0,0,ILV
1700092800000,2023-11-16 23:59:59.999,ILV,1d,93.85,84.84,99.57,83.56,0.0,0,ILV
1700179200000,2023-11-17 23:59:59.999,ILV,1d,80.415,83.52,83.769,80.216,1304.58,625,ILV
1700265600000,2023-11-18 23:59:59.999,ILV,1d,83.518,87.943,87.961,80.819,1732.06,1919,ILV
1700352000000,2023-11-19 23:59:59.999,ILV,1d,87.912,97.839,97.87,85.004,2074.52,1892,ILV
1700438400000,2023-11-20 23:59:59.999,ILV,1d,97.978,103.99,110.89,93.316,4768.52,2147,ILV
1700524800000,2023-11-21 23:59:59.999,ILV,1d,103.84,89.261,108.82,89.128,11616.3,2506,ILV
1700611200000,2023-11-22 23:59:59.999,ILV,1d,88.904,103.46,107.18,88.704,3115.34,1956,ILV
1700697600000,2023-11-23 23:59:59.999,ILV,1d,103.69,99.036,106.63,96.822,3531.77,1964,ILV
1700784000000,2023-11-24 23:59:59.999,ILV,1d,99.304,100.2,102.85,97.458,3062.1,2012,ILV
1700870400000,2023-11-25 23:59:59.999,ILV,1d,99.975,108.33,110.88,99.573,3512.88,2092,ILV
1700956800000,2023-11-26 23:59:59.999,ILV,1d,108.3,117.05,118.45,108.07,6498.26,2187,ILV
1701043200000,2023-11-27 23:59:59.999,ILV,1d,116.73,114.29,122.5,110.82,6392.2,2217,ILV
1701129600000,2023-11-28 23:59:59.999,ILV,1d,114.25,116.22,119.7,104.87,3407.99,2141,ILV
1701216000000,2023-11-29 23:59:59.999,ILV,1d,116.34,109.32,116.74,108.29,2834.8,2034,ILV
1701302400000,2023-11-30 23:59:59.999,ILV,1d,109.19,107.56,112.17,105.32,3029.58,2130,ILV
1701388800000,2023-12-01 23:59:59.999,ILV,1d,107.75,108.36,111.49,106.26,2928.09,2143,ILV
1701475200000,2023-12-02 23:59:59.999,ILV,1d,108.43,113.57,115.88,107.5,3111.82,2155,ILV
1701561600000,2023-12-03 23:59:59.999,ILV,1d,113.83,109.13,115.21,108.45,5930.2,2288,ILV
1701648000000,2023-12-04 23:59:59.999,ILV,1d,108.94,110.94,115.55,106.36,6922.66,2297,ILV
1701734400000,2023-12-05 23:59:59.999,ILV,1d,111.41,110.52,111.74,105.43,4008.25,2120,ILV
1701820800000,2023-12-06 23:59:59.999,ILV,1d,110.72,97.086,113.84,96.137,6686.43,2231,ILV
1701907200000,2023-12-07 23:59:59.999,ILV,1d,97.112,102.89,104.39,95.564,8062.89,2188,ILV
1701993600000,2023-12-08 23:59:59.999,ILV,1d,103.2,102.62,106.04,101.51,5454.77,2029,ILV
1702080000000,2023-12-09 23:59:59.999,ILV,1d,102.62,107.93,111.55,102.52,12235.75,2510,ILV
1702166400000,2023-12-10 23:59:59.999,ILV,1d,108.14,107.82,116.46,104.98,2950.9,2074,ILV
1702252800000,2023-12-11 23:59:59.999,ILV,1d,107.97,99.411,108.96,94.572,23463.91,3116,ILV
1702339200000,2023-12-12 23:59:59.999,ILV,1d,99.446,98.149,102.9,94.39,3573.45,2044,ILV
1702425600000,2023-12-13 23:59:59.999,ILV,1d,98.215,99.733,101.31,92.342,3741.45,2008,ILV
1702512000000,2023-12-14 23:59:59.999,ILV,1d,99.732,104.79,106.22,98.561,7841.28,2347,ILV
1702598400000,2023-12-15 23:59:59.999,ILV,1d,104.78,94.275,104.78,94.045,2822.53,2037,ILV
1702684800000,2023-12-16 23:59:59.999,ILV,1d,94.36,94.018,97.217,93.133,2526.52,1895,ILV
1702771200000,2023-12-17 23:59:59.999,ILV,1d,94.127,88.496,94.624,88.399,3536.55,1941,ILV
1702857600000,2023-12-18 23:59:59.999,ILV,1d,88.455,91.652,92.517,82.323,8120.61,2279,ILV
1702944000000,2023-12-19 23:59:59.999,ILV,1d,91.66,88.551,93.885,86.297,3384.0,2020,ILV
1703030400000,2023-12-20 23:59:59.999,ILV,1d,88.552,92.204,94.951,86.619,7555.65,2165,ILV
1703116800000,2023-12-21 23:59:59.999,ILV,1d,92.275,94.822,95.002,90.194,3774.99,1974,ILV
1703203200000,2023-12-22 23:59:59.999,ILV,1d,94.81,100.4,100.59,93.453,4073.27,2152,ILV
