t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,IMX,1d,0.727,0.6911,0.7504,0.6897,0.0,0,IMX
1688688000000,2023-07-07 23:59:59.999,IMX,1d,0.6909,0.7067,0.7085,0.6812,0.0,0,IMX
1688774400000,2023-07-08 23:59:59.999,IMX,1d,0.7067,0.7055,0.7153,0.6903,0.0,0,IMX
1688860800000,2023-07-09 23:59:59.999,IMX,1d,0.7056,0.6956,0.712,0.6928,0.0,0,IMX
1688947200000,2023-07-10 23:59:59.999,IMX,1d,0.6957,0.6981,0.7131,0.6704,0.0,0,IMX
1689033600000,2023-07-11 23:59:59.999,IMX,1d,0.6981,0.6955,0.7056,0.6877,0.0,0,IMX
1689120000000,2023-07-12 23:59:59.999,IMX,1d,0.6956,0.6904,0.7046,0.6798,0.0,0,IMX
1689206400000,2023-07-13 23:59:59.999,IMX,1d,0.6906,0.7664,0.7675,0.6783,0.0,0,IMX
1689292800000,2023-07-14 23:59:59.999,IMX,1d,0.7664,0.7509,0.7998,0.7253,0.0,0,IMX
1689379200000,2023-07-15 23:59:59.999,IMX,1d,0.7509,0.7504,0.7677,0.7353,0.0,0,IMX
1689465600000,2023-07-16 23:59:59.999,IMX,1d,0.7503,0.7392,0.7586,0.7347,0.0,0,IMX
1689552000000,2023-07-17 23:59:59.999,IMX,1d,0.7391,0.7509,0.7605,0.7211,0.0,0,IMX
1689638400000,2023-07-18 23:59:59.999,IMX,1d,0.7509,0.7289,0.7581,0.7094,0.0,0,IMX
1689724800000,2023-07-19 23:59:59.999,IMX,1d,0.7287,0.7235,0.7445,0.7228,0.0,0,IMX
1689811200000,2023-07-20 23:59:59.999,IMX,1d,0.7238,0.7386,0.758,0.7218,0.0,0,IMX
1689897600000,2023-07-21 23:59:59.999,IMX,1d,0.7387,0.749,0.7723,0.7328,0.0,0,IMX
1689984000000,2023-07-22 23:59:59.999,IMX,1d,0.749,0.742,0.7584,0.7333,0.0,0,IMX
1690070400000,2023-07-23 23:59:59.999,IMX,1d,0.742,0.7665,0.7903,0.7368,0.0,0,IMX
1690156800000,2023-07-24 23:59:59.999,IMX,1d,0.7665,0.707,0.7686,0.6953,0.0,0,IMX
1690243200000,2023-07-25 23:59:59.999,IMX,1d,0.7069,0.7062,0.7165,0.6965,0.0,0,IMX
1690329600000,2023-07-26 23:59:59.999,IMX,1d,0.7062,0.7164,0.7251,0.6919,0.0,0,IMX
1690416000000,2023-07-27 23:59:59.999,IMX,1d,0.7163,0.7281,0.7316,0.7085,0.0,0,IMX
1690502400000,2023-07-28 23:59:59.999,IMX,1d,0.7282,0.7437,0.842,0.7229,0.0,0,IMX
1690588800000,2023-07-29 23:59:59.999,IMX,1d,0.7437,0.7507,0.7625,0.7373,0.0,0,IMX
1690675200000,2023-07-30 23:59:59.999,IMX,1d,0.7507,0.7508,0.7821,0.7255,0.0,0,IMX
1690761600000,2023-07-31 23:59:59.999,IMX,1d,0.7508,0.7648,0.7662,0.7415,0.0,0,IMX
1690848000000,2023-08-01 23:59:59.999,IMX,1d,0.7649,0.7995,0.8033,0.7329,0.0,0,IMX
1690934400000,2023-08-02 23:59:59.999,IMX,1d,0.7996,0.7546,0.802,0.7512,0.0,0,IMX
1691020800000,2023-08-03 23:59:59.999,IMX,1d,0.7546,0.7534,0.7635,0.742,0.0,0,IMX
1691107200000,2023-08-04 23:59:59.999,IMX,1d,0.7536,0.7376,0.762,0.7334,0.0,0,IMX
1691193600000,2023-08-05 23:59:59.999,IMX,1d,0.7376,0.7399,0.7405,0.7273,0.0,0,IMX
1691280000000,2023-08-06 23:59:59.999,IMX,1d,0.7399,0.7381,0.7551,0.7357,0.0,0,IMX
1691366400000,2023-08-07 23:59:59.999,IMX,1d,0.7382,0.7344,0.7531,0.712,0.0,0,IMX
1691452800000,2023-08-08 23:59:59.999,IMX,1d,0.7344,0.7321,0.7414,0.714,0.0,0,IMX
1691539200000,2023-08-09 23:59:59.999,IMX,1d,0.7322,0.7248,0.7411,0.717,0.0,0,IMX
1691625600000,2023-08-10 23:59:59.999,IMX,1d,0.7247,0.7177,0.7288,0.7142,0.0,0,IMX
1691712000000,2023-08-11 23:59:59.999,IMX,1d,0.7177,0.7116,0.7193,0.7064,0.0,0,IMX
1691798400000,2023-08-12 23:59:59.999,IMX,1d,0.7117,0.7067,0.7153,0.7046,0.0,0,IMX
1691884800000,2023-08-13 23:59:59.999,IMX,1d,0.7068,0.6913,0.7073,0.6852,0.0,0,IMX
1691971200000,2023-08-14 23:59:59.999,IMX,1d,0.6913,0.702,0.7037,0.6884,0.0,0,IMX
1692057600000,2023-08-15 23:59:59.999,IMX,1d,0.7019,0.6577,0.7184,0.6183,0.0,0,IMX
1692144000000,2023-08-16 23:59:59.999,IMX,1d,0.6577,0.6337,0.6601,0.613,0.0,0,IMX
1692230400000,2023-08-17 23:59:59.999,IMX,1d,0.6338,0.5895,0.6491,0.5279,0.0,0,IMX
1692316800000,2023-08-18 23:59:59.999,IMX,1d,0.5895,0.5979,0.602,0.5757,0.0,0,IMX
1692403200000,2023-08-19 23:59:59.999,IMX,1d,0.5978,0.617,0.6203,0.5973,0.0,0,IMX
1692489600000,2023-08-20 23:59:59.999,IMX,1d,0.617,0.6098,0.621,0.6038,0.0,0,IMX
1692576000000,2023-08-21 23:59:59.999,IMX,1d,0.6098,0.6033,0.6191,0.5835,0.0,0,IMX
1692662400000,2023-08-22 23:59:59.999,IMX,1d,0.6032,0.5764,0.6166,0.5521,0.0,0,IMX
1692748800000,2023-08-23 23:59:59.999,IMX,1d,0.5764,0.572,0.5785,0.5523,0.0,0,IMX
1692835200000,2023-08-24 23:59:59.999,IMX,1d,0.5718,0.5813,0.6138,0.5716,0.0,0,IMX
1692921600000,2023-08-25 23:59:59.999,IMX,1d,0.5814,0.563,0.5814,0.5513,0.0,0,IMX
1693008000000,2023-08-26 23:59:59.999,IMX,1d,0.563,0.5716,0.575,0.5562,0.0,0,IMX
1693094400000,2023-08-27 23:59:59.999,IMX,1d,0.5716,0.5765,0.5784,0.5672,0.0,0,IMX
1693180800000,2023-08-28 23:59:59.999,IMX,1d,0.5765,0.5721,0.5768,0.5535,0.0,0,IMX
1693267200000,2023-08-29 23:59:59.999,IMX,1d,0.5722,0.5947,0.5976,0.5507,0.0,0,IMX
1693353600000,2023-08-30 23:59:59.999,IMX,1d,0.5947,0.5822,0.6011,0.5764,0.0,0,IMX
1693440000000,2023-08-31 23:59:59.999,IMX,1d,0.5823,0.5602,0.5909,0.5511,0.0,0,IMX
1693526400000,2023-09-01 23:59:59.999,IMX,1d,0.5603,0.5546,0.5701,0.5478,0.0,0,IMX
1693612800000,2023-09-02 23:59:59.999,IMX,1d,0.5546,0.5521,0.5625,0.542,0.0,0,IMX
