t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,INJ,1d,8.2695,7.8532,8.6424,7.8532,198247.6,4200,INJ
1688688000000,2023-07-07 23:59:59.999,INJ,1d,7.8465,7.9493,8.1094,7.7664,132565.3,3423,INJ
1688774400000,2023-07-08 23:59:59.999,INJ,1d,7.9493,8.0548,8.0986,7.8156,134306.1,3220,INJ
1688860800000,2023-07-09 23:59:59.999,INJ,1d,8.0708,8.2022,8.4462,8.0274,190317.8,3434,INJ
1688947200000,2023-07-10 23:59:59.999,INJ,1d,8.2082,8.121,8.2786,7.7735,187339.2,3319,INJ
1689033600000,2023-07-11 23:59:59.999,INJ,1d,8.119,8.0078,8.3967,7.9762,144174.0,3447,INJ
1689120000000,2023-07-12 23:59:59.999,INJ,1d,7.993,7.9649,8.3351,7.936,130907.7,4205,INJ
1689206400000,2023-07-13 23:59:59.999,INJ,1d,7.9625,8.7594,8.7743,7.8308,118235.7,4858,INJ
1689292800000,2023-07-14 23:59:59.999,INJ,1d,8.7582,9.4349,9.9311,8.6595,162485.1,3294,INJ
1689379200000,2023-07-15 23:59:59.999,INJ,1d,9.4342,9.3234,9.4342,8.9486,69503.7,2789,INJ
1689465600000,2023-07-16 23:59:59.999,INJ,1d,9.3124,8.8738,9.5863,8.8043,49211.5,2592,INJ
1689552000000,2023-07-17 23:59:59.999,INJ,1d,8.8618,9.1687,9.3773,8.6951,65026.3,2785,INJ
1689638400000,2023-07-18 23:59:59.999,INJ,1d,9.164,8.9121,9.3912,8.7621,128338.8,4706,INJ
1689724800000,2023-07-19 23:59:59.999,INJ,1d,8.913,8.9511,9.2151,8.851,95547.8,4446,INJ
1689811200000,2023-07-20 23:59:59.999,INJ,1d,8.9557,9.2944,9.6799,8.9133,86021.3,3120,INJ
1689897600000,2023-07-21 23:59:59.999,INJ,1d,9.282,8.9901,9.4957,8.9593,82672.7,4843,INJ
1689984000000,2023-07-22 23:59:59.999,INJ,1d,8.9725,8.6126,9.0428,8.5462,70955.2,3260,INJ
1690070400000,2023-07-23 23:59:59.999,INJ,1d,8.6086,8.6954,8.8246,8.5726,70962.6,2930,INJ
1690156800000,2023-07-24 23:59:59.999,INJ,1d,8.6948,8.1475,8.7504,7.992,100166.0,2842,INJ
1690243200000,2023-07-25 23:59:59.999,INJ,1d,8.1529,7.9872,8.2531,7.916,82350.2,2885,INJ
1690329600000,2023-07-26 23:59:59.999,INJ,1d,7.9871,8.0265,8.1867,7.8118,76056.3,2848,INJ
1690416000000,2023-07-27 23:59:59.999,INJ,1d,8.0255,7.9839,8.3231,7.9112,60963.0,2709,INJ
1690502400000,2023-07-28 23:59:59.999,INJ,1d,7.9819,8.0322,8.2409,7.9347,45666.3,2635,INJ
1690588800000,2023-07-29 23:59:59.999,INJ,1d,8.0352,8.0071,8.1263,7.9608,30819.8,2526,INJ
1690675200000,2023-07-30 23:59:59.999,INJ,1d,8.0123,7.8851,8.0288,7.6121,90868.2,2785,INJ
1690761600000,2023-07-31 23:59:59.999,INJ,1d,7.88,7.8656,8.0631,7.7738,109992.2,2841,INJ
1690848000000,2023-08-01 23:59:59.999,INJ,1d,7.8656,8.003,8.0349,7.5309,110051.3,2868,INJ
1690934400000,2023-08-02 23:59:59.999,INJ,1d,8.0203,7.9466,8.1838,7.9336,159516.9,3036,INJ
1691020800000,2023-08-03 23:59:59.999,INJ,1d,7.9416,8.1182,8.2308,7.8608,210148.5,3028,INJ
1691107200000,2023-08-04 23:59:59.999,INJ,1d,8.1222,7.9983,8.2573,7.9074,134431.6,2958,INJ
1691193600000,2023-08-05 23:59:59.999,INJ,1d,7.9943,7.9412,8.1284,7.8821,67139.4,2693,INJ
1691280000000,2023-08-06 23:59:59.999,INJ,1d,7.9465,7.8872,8.0557,7.8548,86876.8,2814,INJ
1691366400000,2023-08-07 23:59:59.999,INJ,1d,7.8851,7.9261,8.0784,7.6971,113386.2,4617,INJ
1691452800000,2023-08-08 23:59:59.999,INJ,1d,7.9083,8.112,8.2363,7.8845,115787.0,4633,INJ
1691539200000,2023-08-09 23:59:59.999,INJ,1d,8.1101,7.8796,8.158,7.7975,106317.3,4586,INJ
1691625600000,2023-08-10 23:59:59.999,INJ,1d,7.8821,7.6874,7.8821,7.5393,83198.8,2956,INJ
1691712000000,2023-08-11 23:59:59.999,INJ,1d,7.6874,7.6318,7.7606,7.6156,52598.2,2643,INJ
1691798400000,2023-08-12 23:59:59.999,INJ,1d,7.6344,7.6577,7.6972,7.6085,46698.4,2712,INJ
1691884800000,2023-08-13 23:59:59.999,INJ,1d,7.6561,7.6854,7.7475,7.5721,55367.2,2645,INJ
1691971200000,2023-08-14 23:59:59.999,INJ,1d,7.6849,7.5586,7.7649,7.524,66217.7,2702,INJ
1692057600000,2023-08-15 23:59:59.999,INJ,1d,7.561,7.1858,7.561,6.8325,79223.2,2722,INJ
1692144000000,2023-08-16 23:59:59.999,INJ,1d,7.1813,7.0447,7.33,6.8437,174075.3,3027,INJ
1692230400000,2023-08-17 23:59:59.999,INJ,1d,7.0327,7.1195,7.3416,6.2202,303615.1,3681,INJ
1692316800000,2023-08-18 23:59:59.999,INJ,1d,7.1209,7.8765,7.9816,7.0055,421091.2,3838,INJ
1692403200000,2023-08-19 23:59:59.999,INJ,1d,7.8908,7.7436,8.0763,7.7037,139728.1,3062,INJ
1692489600000,2023-08-20 23:59:59.999,INJ,1d,7.7399,7.7183,7.9559,7.6681,86414.0,2714,INJ
1692576000000,2023-08-21 23:59:59.999,INJ,1d,7.7205,7.4618,7.8666,7.3336,101007.7,2310,INJ
1692662400000,2023-08-22 23:59:59.999,INJ,1d,7.4583,7.3451,7.5021,7.0807,69200.4,2311,INJ
1692748800000,2023-08-23 23:59:59.999,INJ,1d,7.3506,7.7184,7.81,7.306,78936.3,2408,INJ
1692835200000,2023-08-24 23:59:59.999,INJ,1d,7.7298,7.4595,7.7816,7.3635,47800.8,2321,INJ
1692921600000,2023-08-25 23:59:59.999,INJ,1d,7.4535,7.2601,7.4535,7.0704,59243.9,2252,INJ
1693008000000,2023-08-26 23:59:59.999,INJ,1d,7.2561,7.205,7.2743,7.1541,33064.8,2273,INJ
1693094400000,2023-08-27 23:59:59.999,INJ,1d,7.2031,6.9418,7.293,6.8672,83009.8,2061,INJ
1693180800000,2023-08-28 23:59:59.999,INJ,1d,6.9324,6.8897,7.0788,6.7725,52353.4,1772,INJ
1693267200000,2023-08-29 23:59:59.999,INJ,1d,6.8889,7.2518,7.5514,6.6372,87956.2,1634,INJ
1693353600000,2023-08-30 23:59:59.999,INJ,1d,7.2414,7.109,7.2652,6.9751,80140.2,1661,INJ
1693440000000,2023-08-31 23:59:59.999,INJ,1d,7.1082,6.9826,7.3014,6.8664,73724.9,1848,INJ
1693526400000,2023-09-01 23:59:59.999,INJ,1d,6.9758,6.7943,7.0856,6.747,72187.1,1900,INJ
1693612800000,2023-09-02 23:59:59.999,INJ,1d,6.7875,6.7673,6.8716,6.6941,31338.3,1938,INJ
1693699200000,2023-09-03 23:59:59.999,INJ,1d,6.7633,6.8103,6.8695,6.7231,54927.4,1971,INJ
1693785600000,2023-09-04 23:59:59.999,INJ,1d,6.8156,6.8319,6.962,6.7483,66846.2,1910,INJ
1693872000000,2023-09-05 23:59:59.999,INJ,1d,6.8282,6.8526,6.9092,6.7217,71220.6,1950,INJ
1693958400000,2023-09-06 23:59:59.999,INJ,1d,6.8481,6.8958,6.9167,6.7355,80113.7,1963,INJ
1694044800000,2023-09-07 23:59:59.999,INJ,1d,6.8891,6.9602,7.0447,6.7945,66333.4,2024,INJ
1694131200000,2023-09-08 23:59:59.999,INJ,1d,6.9602,6.7174,7.0007,6.7053,56415.0,1997,INJ
1694217600000,2023-09-09 23:59:59.999,INJ,1d,6.7107,6.6794,6.7316,6.605,45479.9,2004,INJ
1694304000000,2023-09-10 23:59:59.999,INJ,1d,6.6799,6.6399,6.745,6.407,89383.4,1951,INJ
1694390400000,2023-09-11 23:59:59.999,INJ,1d,6.64,6.6536,6.6952,6.3819,123048.9,1944,INJ
1694476800000,2023-09-12 23:59:59.999,INJ,1d,6.6496,6.7729,7.1299,6.6182,169670.4,2085,INJ
1694563200000,2023-09-13 23:59:59.999,INJ,1d,6.7847,6.9006,7.0471,6.7674,101963.1,2093,INJ
1694649600000,2023-09-14 23:59:59.999,INJ,1d,6.9086,7.0313,7.0469,6.8328,79693.7,1924,INJ
1694736000000,2023-09-15 23:59:59.999,INJ,1d,7.0328,7.243,7.282,7.0051,102312.3,2081,INJ
1694822400000,2023-09-16 23:59:59.999,INJ,1d,7.2481,7.1859,7.443,7.1571,58667.9,2057,INJ
1694908800000,2023-09-17 23:59:59.999,INJ,1d,7.19,7.0202,7.19,6.901,39318.1,1970,INJ
1694995200000,2023-09-18 23:59:59.999,INJ,1d,7.0332,7.3312,7.5211,6.9686,99493.3,2052,INJ
1695081600000,2023-09-19 23:59:59.999,INJ,1d,7.3343,7.528,7.5695,7.2821,34581.9,1850,INJ
1695168000000,2023-09-20 23:59:59.999,INJ,1d,7.5313,7.4309,7.5821,7.3063,68354.1,1865,INJ
1695254400000,2023-09-21 23:59:59.999,INJ,1d,7.4248,7.0826,7.4919,7.0541,218542.8,1980,INJ
1695340800000,2023-09-22 23:59:59.999,INJ,1d,7.0854,7.1871,7.2031,7.0252,54155.6,1914,INJ
1695427200000,2023-09-23 23:59:59.999,INJ,1d,7.1901,7.0068,7.2499,6.9912,42729.8,2018,INJ
1695513600000,2023-09-24 23:59:59.999,INJ,1d,7.0095,6.9076,7.0178,6.8742,37519.0,1936,INJ
1695600000000,2023-09-25 23:59:59.999,INJ,1d,6.9047,7.0977,7.1747,6.8517,75766.4,1935,INJ
1695686400000,2023-09-26 23:59:59.999,INJ,1d,7.0962,7.1271,7.1695,6.9681,56631.4,1946,INJ
1695772800000,2023-09-27 23:59:59.999,INJ,1d,7.1277,7.1252,7.3189,7.0499,54039.0,1813,INJ
1695859200000,2023-09-28 23:59:59.999,INJ,1d,7.1214,7.259,7.3015,7.0377,34590.6,1895,INJ
1695945600000,2023-09-29 23:59:59.999,INJ,1d,7.2672,7.5522,7.5913,7.2253,61533.8,1911,INJ
1696032000000,2023-09-30 23:59:59.999,INJ,1d,7.5511,7.6575,7.889,7.4764,34802.8,1935,INJ
1696118400000,2023-10-01 23:59:59.999,INJ,1d,7.6599,7.9467,8.0167,7.6431,21355.6,1841,INJ
1696204800000,2023-10-02 23:59:59.999,INJ,1d,7.952,7.561,8.0472,7.4758,27486.9,1873,INJ
1696291200000,2023-10-03 23:59:59.999,INJ,1d,7.5583,7.374,7.7292,7.3455,24116.3,1806,INJ
1696377600000,2023-10-04 23:59:59.999,INJ,1d,7.3618,7.5892,7.6648,7.2,48030.4,1840,INJ
1696464000000,2023-10-05 23:59:59.999,INJ,1d,7.6017,7.4082,7.7251,7.4058,24386.6,1890,INJ
1696550400000,2023-10-06 23:59:59.999,INJ,1d,7.4097,7.8267,7.9218,7.4025,38851.7,1983,INJ
1696636800000,2023-10-07 23:59:59.999,INJ,1d,7.8267,7.7757,7.8964,7.7122,19817.5,1951,INJ
1696723200000,2023-10-08 23:59:59.999,INJ,1d,7.7771,7.7286,7.8369,7.6649,22721.7,1955,INJ
1696809600000,2023-10-09 23:59:59.999,INJ,1d,7.7316,7.4862,7.7436,7.2843,37002.4,1847,INJ
1696896000000,2023-10-10 23:59:59.999,INJ,1d,7.4925,7.3367,7.5223,7.2225,21044.4,1868,INJ
1696982400000,2023-10-11 23:59:59.999,INJ,1d,7.3417,7.3767,7.4235,7.1989,22660.5,1818,INJ
1697068800000,2023-10-12 23:59:59.999,INJ,1d,7.3647,7.3147,7.4455,7.1858,25349.6,1863,INJ
1697155200000,2023-10-13 23:59:59.999,INJ,1d,7.3199,7.5474,7.6013,7.3119,35449.8,1709,INJ
1697241600000,2023-10-14 23:59:59.999,INJ,1d,7.5539,7.6061,7.7112,7.5539,35892.9,1987,INJ
1697328000000,2023-10-15 23:59:59.999,INJ,1d,7.6102,7.7953,7.8128,7.5542,28034.9,1812,INJ
1697414400000,2023-10-16 23:59:59.999,INJ,1d,7.808,7.7968,8.0338,7.6544,33713.5,1870,INJ
1697500800000,2023-10-17 23:59:59.999,INJ,1d,7.798,7.8898,7.9441,7.5844,23195.5,1868,INJ
1697587200000,2023-10-18 23:59:59.999,INJ,1d,7.8923,8.1108,8.2122,7.8377,31925.7,1931,INJ
1697673600000,2023-10-19 23:59:59.999,INJ,1d,8.1087,8.4442,8.5776,7.9605,78435.9,2004,INJ
1697760000000,2023-10-20 23:59:59.999,INJ,1d,8.448,8.4216,8.832,8.4152,30618.4,1923,INJ
1697846400000,2023-10-21 23:59:59.999,INJ,1d,8.4224,8.8025,9.1998,8.4139,72687.6,1886,INJ
1697932800000,2023-10-22 23:59:59.999,INJ,1d,8.8073,9.23,9.2464,8.7693,125612.6,2113,INJ
1698019200000,2023-10-23 23:59:59.999,INJ,1d,9.2272,10.988,11.234,9.1356,176354.4,1978,INJ
1698105600000,2023-10-24 23:59:59.999,INJ,1d,11.026,11.804,12.855,10.947,268612.7,2834,INJ
1698192000000,2023-10-25 23:59:59.999,INJ,1d,11.815,12.101,12.817,11.548,161527.2,2243,INJ
1698278400000,2023-10-26 23:59:59.999,INJ,1d,12.107,12.142,12.694,11.47,156221.4,2163,INJ
1698364800000,2023-10-27 23:59:59.999,INJ,1d,12.143,13.535,13.71,11.72,153698.9,2201,INJ
1698451200000,2023-10-28 23:59:59.999,INJ,1d,13.548,13.395,13.789,13.157,38500.3,1850,INJ
1698537600000,2023-10-29 23:59:59.999,INJ,1d,13.372,13.888,14.18,13.242,45632.6,1900,INJ
1698624000000,2023-10-30 23:59:59.999,INJ,1d,13.933,13.219,14.491,13.219,54392.4,1954,INJ
1698710400000,2023-10-31 23:59:59.999,INJ,1d,13.202,14.118,14.256,12.843,78293.3,1826,INJ
1698796800000,2023-11-01 23:59:59.999,INJ,1d,14.154,14.855,15.555,13.457,61347.2,1823,INJ
1698883200000,2023-11-02 23:59:59.999,INJ,1d,14.858,14.352,15.703,14.25,85824.3,1615,INJ
1698969600000,2023-11-03 23:59:59.999,INJ,1d,14.351,14.734,14.947,13.866,88206.6,1983,INJ
1699056000000,2023-11-04 23:59:59.999,INJ,1d,14.725,15.191,15.267,14.37,42192.8,1921,INJ
1699142400000,2023-11-05 23:59:59.999,INJ,1d,15.204,16.103,16.438,14.995,42902.2,1949,INJ
1699228800000,2023-11-06 23:59:59.999,INJ,1d,16.109,16.961,17.939,15.695,193399.2,1916,INJ
