t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,IOTA,1d,0.1823,0.1814,0.1837,0.1783,0.0,0,IOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,IOTA,1d,0.1815,0.1812,0.1829,0.1796,0.0,0,IOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,IOTA,1d,0.1813,0.1783,0.1832,0.1754,0.0,0,IOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,IOTA,1d,0.1783,0.1808,0.1809,0.1763,0.0,0,IOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,IOTA,1d,0.1807,0.1805,0.1847,0.1777,0.0,0,IOTA,0.1847,0.1754,0.18005,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,IOTA,1d,0.1804,0.1944,0.1945,0.1789,0.0,0,IOTA,0.1945,0.1754,0.18495,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,IOTA,1d,0.1943,0.1884,0.1965,0.1792,0.0,0,IOTA,0.1965,0.1754,0.18595,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,IOTA,1d,0.1885,0.1922,0.1956,0.1869,0.0,0,IOTA,0.1965,0.1763,0.1864,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,IOTA,1d,0.1923,0.1896,0.1962,0.1879,0.0,0,IOTA,0.1965,0.1777,0.1871,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,IOTA,1d,0.1896,0.1931,0.1967,0.1851,0.0,0,IOTA,0.1967,0.1789,0.18780000000000002,0.1967,0.1754,0.18605,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,IOTA,1d,0.1931,0.1846,0.1941,0.1818,0.0,0,IOTA,0.1967,0.1792,0.18795,0.1967,0.1754,0.18605,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,IOTA,1d,0.1846,0.1838,0.1871,0.1805,0.0,0,IOTA,0.1967,0.1805,0.1886,0.1967,0.1754,0.18605,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,IOTA,1d,0.1838,0.1833,0.1889,0.1802,0.0,0,IOTA,0.1967,0.1802,0.18845,0.1967,0.1763,0.1865,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,IOTA,1d,0.1834,0.1841,0.1854,0.1815,0.0,0,IOTA,0.1967,0.1802,0.18845,0.1967,0.1777,0.1872,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,IOTA,1d,0.1842,0.1846,0.1867,0.1825,0.0,0,IOTA,0.1941,0.1802,0.18714999999999998,0.1967,0.1789,0.18780000000000002,,,,,,,,,,,,,,,,,,,,,
