t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1718064000000,2024-06-11 23:59:59.999,IO,1d,1.831,4.166,4.536,1.831,0.0,0,IO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718150400000,2024-06-12 23:59:59.999,IO,1d,3.7856,5.6889,6.5235,3.7351,1152391.2,5690,IO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718236800000,2024-06-13 23:59:59.999,IO,1d,5.6924,4.9754,6.3841,4.66,1132982.0,5752,IO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718323200000,2024-06-14 23:59:59.999,IO,1d,4.9474,5.1345,5.4345,4.513,928882.7,4051,IO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718409600000,2024-06-15 23:59:59.999,IO,1d,5.1305,5.2675,5.5464,4.93,261242.9,2575,IO,6.5235,1.831,4.17725,,,,,,,,,,,,,,,,,,,,,,,,
1718496000000,2024-06-16 23:59:59.999,IO,1d,5.2658,5.339,5.7974,5.2213,320345.2,3081,IO,6.5235,3.7351,5.129300000000001,,,,,,,,,,,,,,,,,,,,,,,,
1718582400000,2024-06-17 23:59:59.999,IO,1d,5.33,4.2629,5.3914,4.1901,1020028.0,3882,IO,6.3841,4.1901,5.287100000000001,,,,,,,,,,,,,,,,,,,,,,,,
1718668800000,2024-06-18 23:59:59.999,IO,1d,4.2593,3.8086,4.2853,3.6115,687136.8,3017,IO,5.7974,3.6115,4.70445,,,,,,,,,,,,,,,,,,,,,,,,
1718755200000,2024-06-19 23:59:59.999,IO,1d,3.8081,3.8427,4.0969,3.6964,600786.1,2482,IO,5.7974,3.6115,4.70445,,,,,,,,,,,,,,,,,,,,,,,,
1718841600000,2024-06-20 23:59:59.999,IO,1d,3.8334,3.9925,4.3381,3.7965,721312.7,2573,IO,5.7974,3.6115,4.70445,6.5235,1.831,4.17725,,,,,,,,,,,,,,,,,,,,,
1718928000000,2024-06-21 23:59:59.999,IO,1d,3.9919,3.7074,4.144,3.6011,916731.0,2588,IO,5.3914,3.6011,4.49625,6.5235,3.6011,5.0623000000000005,,,,,,,,,,,,,,,,,,,,,
1719014400000,2024-06-22 23:59:59.999,IO,1d,3.7077,3.7206,3.8569,3.5638,263731.3,2207,IO,4.3381,3.5638,3.9509499999999997,6.3841,3.5638,4.97395,,,,,,,,,,,,,,,,,,,,,
1719100800000,2024-06-23 23:59:59.999,IO,1d,3.7164,3.391,3.805,3.3098,397666.7,2439,IO,4.3381,3.3098,3.82395,5.7974,3.3098,4.553599999999999,,,,,,,,,,,,,,,,,,,,,
1719187200000,2024-06-24 23:59:59.999,IO,1d,3.3925,3.3126,3.4079,3.0645,693068.9,3223,IO,4.3381,3.0645,3.7013,5.7974,3.0645,4.430949999999999,,,,,,,,,,,,,,,,,,,,,
1719273600000,2024-06-25 23:59:59.999,IO,1d,3.3103,3.5576,3.7195,3.2592,557797.8,3795,IO,4.144,3.0645,3.60425,5.7974,3.0645,4.430949999999999,,,,,,,,,,,,,,,,,,,,,
1719360000000,2024-06-26 23:59:59.999,IO,1d,3.5602,3.4985,3.6698,3.427,403281.6,2907,IO,3.8569,3.0645,3.4607,5.3914,3.0645,4.22795,,,,,,,,,,,,,,,,,,,,,
1719446400000,2024-06-27 23:59:59.999,IO,1d,3.499,3.6372,3.7089,3.3837,653415.8,3696,IO,3.805,3.0645,3.43475,4.3381,3.0645,3.7013,,,,,,,,,,,,,,,,,,,,,
1719532800000,2024-06-28 23:59:59.999,IO,1d,3.6326,3.2197,3.8377,3.2167,580457.5,2734,IO,3.8377,3.0645,3.4511,4.3381,3.0645,3.7013,,,,,,,,,,,,,,,,,,,,,
1719619200000,2024-06-29 23:59:59.999,IO,1d,3.2135,3.1477,3.3506,3.1391,128826.0,2292,IO,3.8377,3.1391,3.4884,4.3381,3.0645,3.7013,,,,,,,,,,,,,,,,,,,,,
1719705600000,2024-06-30 23:59:59.999,IO,1d,3.1434,3.3482,3.4132,3.1075,221902.0,3534,IO,3.8377,3.1075,3.4726,4.144,3.0645,3.60425,6.5235,1.831,4.17725,,,,,,,,,,,,,,,,,,
1719792000000,2024-07-01 23:59:59.999,IO,1d,3.3562,3.0529,3.3833,2.9534,474197.1,3338,IO,3.8377,2.9534,3.39555,3.8569,2.9534,3.40515,6.5235,2.9534,4.73845,,,,,,,,,,,,,,,,,,
1719878400000,2024-07-02 23:59:59.999,IO,1d,3.0538,2.9455,3.0699,2.9159,446633.6,2680,IO,3.8377,2.9159,3.3768000000000002,3.8377,2.9159,3.3768000000000002,6.3841,2.9159,4.65,,,,,,,,,,,,,,,,,,
