t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1740009600000,2025-02-20 23:59:59.999,KAITO,1d,1.1106,1.6406,2.0789,0.87021,184271329.0,180947,KAITO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740096000000,2025-02-21 23:59:59.999,KAITO,1d,1.6394,1.422,2.0943,1.2603,115629658.0,216882,KAITO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740182400000,2025-02-22 23:59:59.999,KAITO,1d,1.4207,1.5407,1.8031,1.355,41347214.0,90719,KAITO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740268800000,2025-02-23 23:59:59.999,KAITO,1d,1.5397,1.5653,1.6235,1.4246,19225410.0,32767,KAITO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740355200000,2025-02-24 23:59:59.999,KAITO,1d,1.5662,1.7125,1.98,1.5156,37940252.0,69977,KAITO,2.0943,0.87021,1.482255,,,,,,,,,,,,,,,,,,,,,,,,
1740441600000,2025-02-25 23:59:59.999,KAITO,1d,1.7107,1.7282,1.8698,1.603,26722209.0,48286,KAITO,2.0943,1.2603,1.6773,,,,,,,,,,,,,,,,,,,,,,,,
1740528000000,2025-02-26 23:59:59.999,KAITO,1d,1.7297,2.4469,2.5551,1.6924,51328161.0,87677,KAITO,2.5551,1.355,1.95505,,,,,,,,,,,,,,,,,,,,,,,,
1740614400000,2025-02-27 23:59:59.999,KAITO,1d,2.4323,2.1422,2.8321,2.097,41026328.0,87120,KAITO,2.8321,1.4246,2.12835,,,,,,,,,,,,,,,,,,,,,,,,
1740700800000,2025-02-28 23:59:59.999,KAITO,1d,2.1412,1.985,2.1901,1.8823,22807395.0,48970,KAITO,2.8321,1.5156,2.17385,,,,,,,,,,,,,,,,,,,,,,,,
1740787200000,2025-03-01 23:59:59.999,KAITO,1d,1.9842,2.2008,2.3655,1.972,16396452.0,41723,KAITO,2.8321,1.603,2.21755,2.8321,0.87021,1.851155,,,,,,,,,,,,,,,,,,,,,
1740873600000,2025-03-02 23:59:59.999,KAITO,1d,2.2006,2.1186,2.4219,2.0408,17153202.0,42449,KAITO,2.8321,1.6924,2.26225,2.8321,1.2603,2.0462,,,,,,,,,,,,,,,,,,,,,
1740960000000,2025-03-03 23:59:59.999,KAITO,1d,2.1186,1.6563,2.1901,1.6484,11423155.0,31082,KAITO,2.8321,1.6484,2.24025,2.8321,1.355,2.09355,,,,,,,,,,,,,,,,,,,,,
1741046400000,2025-03-04 23:59:59.999,KAITO,1d,1.6564,1.5446,1.6915,1.4492,12126153.0,24853,KAITO,2.4219,1.4492,1.93555,2.8321,1.4246,2.12835,,,,,,,,,,,,,,,,,,,,,
1741132800000,2025-03-05 23:59:59.999,KAITO,1d,1.5428,1.7842,2.193,1.4755,42166187.0,83824,KAITO,2.4219,1.4492,1.93555,2.8321,1.4492,2.14065,,,,,,,,,,,,,,,,,,,,,
1741219200000,2025-03-06 23:59:59.999,KAITO,1d,1.784,1.6252,1.8507,1.6019,13330567.0,24559,KAITO,2.4219,1.4492,1.93555,2.8321,1.4492,2.14065,,,,,,,,,,,,,,,,,,,,,
1741305600000,2025-03-07 23:59:59.999,KAITO,1d,1.6265,1.5441,1.714,1.5363,8215343.0,16602,KAITO,2.193,1.4492,1.8211,2.8321,1.4492,2.14065,,,,,,,,,,,,,,,,,,,,,
1741392000000,2025-03-08 23:59:59.999,KAITO,1d,1.5436,1.6512,1.7882,1.5129,6735759.0,18232,KAITO,2.193,1.4492,1.8211,2.8321,1.4492,2.14065,,,,,,,,,,,,,,,,,,,,,
1741478400000,2025-03-09 23:59:59.999,KAITO,1d,1.6523,1.4794,1.6784,1.4647,4342089.0,11275,KAITO,2.193,1.4647,1.82885,2.4219,1.4492,1.93555,,,,,,,,,,,,,,,,,,,,,
1741564800000,2025-03-10 23:59:59.999,KAITO,1d,1.4812,1.3121,1.5261,1.2804,8245497.0,16022,KAITO,1.8507,1.2804,1.56555,2.4219,1.2804,1.85115,,,,,,,,,,,,,,,,,,,,,
1741651200000,2025-03-11 23:59:59.999,KAITO,1d,1.3138,1.3588,1.4485,1.2566,6076194.0,11478,KAITO,1.7882,1.2566,1.5224,2.4219,1.2566,1.8392499999999998,2.8321,0.87021,1.851155,,,,,,,,,,,,,,,,,,
1741737600000,2025-03-12 23:59:59.999,KAITO,1d,1.3583,1.4918,1.4975,1.2896,3889104.0,11002,KAITO,1.7882,1.2566,1.5224,2.193,1.2566,1.7248,2.8321,1.2566,2.04435,,,,,,,,,,,,,,,,,,
1741824000000,2025-03-13 23:59:59.999,KAITO,1d,1.4912,1.3953,1.5942,1.3677,4118334.0,13868,KAITO,1.6784,1.2566,1.4674999999999998,2.193,1.2566,1.7248,2.8321,1.2566,2.04435,,,,,,,,,,,,,,,,,,
1741910400000,2025-03-14 23:59:59.999,KAITO,1d,1.3944,1.4116,1.4825,1.3889,3294432.0,9355,KAITO,1.5942,1.2566,1.4254,2.193,1.2566,1.7248,2.8321,1.2566,2.04435,,,,,,,,,,,,,,,,,,
1741996800000,2025-03-15 23:59:59.999,KAITO,1d,1.4125,1.4408,1.5856,1.2915,37361088.0,57330,KAITO,1.5942,1.2566,1.4254,1.8507,1.2566,1.55365,2.8321,1.2566,2.04435,,,,,,,,,,,,,,,,,,
1742083200000,2025-03-16 23:59:59.999,KAITO,1d,1.4417,1.3762,1.4453,1.3573,3858311.0,12916,KAITO,1.5942,1.2896,1.4419,1.7882,1.2566,1.5224,2.8321,1.2566,2.04435,,,,,,,,,,,,,,,,,,
1742169600000,2025-03-17 23:59:59.999,KAITO,1d,1.3764,1.4325,1.4376,1.3685,1785226.0,7169,KAITO,1.5942,1.2915,1.44285,1.7882,1.2566,1.5224,2.8321,1.2566,2.04435,,,,,,,,,,,,,,,,,,
