t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1747180800000,2025-05-14 23:59:59.999,LAUNCHCOIN,1d,0.20555,0.31382,0.33154,0.17576,148103976.0,49231,LAUNCHCOIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747267200000,2025-05-15 23:59:59.999,LAUNCHCOIN,1d,0.31533,0.21752,0.39229,0.19151,397075876.0,188678,LAUNCHCOIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747353600000,2025-05-16 23:59:59.999,LAUNCHCOIN,1d,0.21768,0.1879,0.2456,0.15883,285612267.0,127019,LAUNCHCOIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747440000000,2025-05-17 23:59:59.999,LAUNCHCOIN,1d,0.18737,0.21206,0.22998,0.16547,179661449.0,68379,LAUNCHCOIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747526400000,2025-05-18 23:59:59.999,LAUNCHCOIN,1d,0.21156,0.275,0.27844,0.2,154584424.0,80106,LAUNCHCOIN,0.39229,0.15883,0.27556,,,,,,,,,,,,,,,,,,,,,,,,
1747612800000,2025-05-19 23:59:59.999,LAUNCHCOIN,1d,0.275,0.22163,0.29429,0.18944,118352834.0,49958,LAUNCHCOIN,0.39229,0.15883,0.27556,,,,,,,,,,,,,,,,,,,,,,,,
1747699200000,2025-05-20 23:59:59.999,LAUNCHCOIN,1d,0.22099,0.27199,0.28286,0.21842,137283121.0,66414,LAUNCHCOIN,0.29429,0.15883,0.22655999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1747785600000,2025-05-21 23:59:59.999,LAUNCHCOIN,1d,0.27141,0.19183,0.27241,0.17736,165355828.0,74540,LAUNCHCOIN,0.29429,0.16547,0.22988,,,,,,,,,,,,,,,,,,,,,,,,
1747872000000,2025-05-22 23:59:59.999,LAUNCHCOIN,1d,0.19134,0.18501,0.209,0.16304,266958661.0,87021,LAUNCHCOIN,0.29429,0.16304,0.228665,,,,,,,,,,,,,,,,,,,,,,,,
1747958400000,2025-05-23 23:59:59.999,LAUNCHCOIN,1d,0.185,0.1662,0.21006,0.1517,197517195.0,60408,LAUNCHCOIN,0.29429,0.1517,0.222995,0.39229,0.1517,0.271995,,,,,,,,,,,,,,,,,,,,,
1748044800000,2025-05-24 23:59:59.999,LAUNCHCOIN,1d,0.16616,0.18801,0.19899,0.15627,71789474.0,30034,LAUNCHCOIN,0.28286,0.1517,0.21728,0.39229,0.1517,0.271995,,,,,,,,,,,,,,,,,,,,,
1748131200000,2025-05-25 23:59:59.999,LAUNCHCOIN,1d,0.188,0.20716,0.20739,0.17574,69949680.0,24086,LAUNCHCOIN,0.27241,0.1517,0.212055,0.29429,0.1517,0.222995,,,,,,,,,,,,,,,,,,,,,
1748217600000,2025-05-26 23:59:59.999,LAUNCHCOIN,1d,0.20737,0.22177,0.23475,0.18516,122669890.0,47725,LAUNCHCOIN,0.23475,0.1517,0.19322499999999998,0.29429,0.1517,0.222995,,,,,,,,,,,,,,,,,,,,,
1748304000000,2025-05-27 23:59:59.999,LAUNCHCOIN,1d,0.22178,0.16945,0.22262,0.16305,194258315.0,53095,LAUNCHCOIN,0.23475,0.1517,0.19322499999999998,0.29429,0.1517,0.222995,,,,,,,,,,,,,,,,,,,,,
1748390400000,2025-05-28 23:59:59.999,LAUNCHCOIN,1d,0.1692,0.16302,0.1865,0.155,138960960.0,41098,LAUNCHCOIN,0.23475,0.155,0.194875,0.29429,0.1517,0.222995,,,,,,,,,,,,,,,,,,,,,
1748476800000,2025-05-29 23:59:59.999,LAUNCHCOIN,1d,0.16303,0.1416,0.18547,0.141,118870689.0,33223,LAUNCHCOIN,0.23475,0.141,0.187875,0.28286,0.141,0.21193,,,,,,,,,,,,,,,,,,,,,
1748563200000,2025-05-30 23:59:59.999,LAUNCHCOIN,1d,0.14157,0.11581,0.14384,0.10071,273422621.0,57190,LAUNCHCOIN,0.23475,0.10071,0.16773,0.27241,0.10071,0.18656,,,,,,,,,,,,,,,,,,,,,
1748649600000,2025-05-31 23:59:59.999,LAUNCHCOIN,1d,0.11577,0.11874,0.13177,0.11001,61997021.0,17569,LAUNCHCOIN,0.22262,0.10071,0.161665,0.23475,0.10071,0.16773,,,,,,,,,,,,,,,,,,,,,
1748736000000,2025-06-01 23:59:59.999,LAUNCHCOIN,1d,0.11887,0.1195,0.12577,0.10816,48774777.0,14966,LAUNCHCOIN,0.1865,0.10071,0.14360499999999998,0.23475,0.10071,0.16773,,,,,,,,,,,,,,,,,,,,,
1748822400000,2025-06-02 23:59:59.999,LAUNCHCOIN,1d,0.11936,0.15171,0.1572,0.11731,123074202.0,31957,LAUNCHCOIN,0.18547,0.10071,0.14309,0.23475,0.10071,0.16773,0.39229,0.10071,0.2465,,,,,,,,,,,,,,,,,,
1748908800000,2025-06-03 23:59:59.999,LAUNCHCOIN,1d,0.1518,0.12356,0.15302,0.1208,117231660.0,28718,LAUNCHCOIN,0.1572,0.10071,0.128955,0.23475,0.10071,0.16773,0.39229,0.10071,0.2465,,,,,,,,,,,,,,,,,,
1748995200000,2025-06-04 23:59:59.999,LAUNCHCOIN,1d,0.1235,0.15722,0.17562,0.1146,209718378.0,47096,LAUNCHCOIN,0.17562,0.10816,0.14189000000000002,0.23475,0.10071,0.16773,0.29429,0.10071,0.1975,,,,,,,,,,,,,,,,,,
1749081600000,2025-06-05 23:59:59.999,LAUNCHCOIN,1d,0.15723,0.14034,0.17243,0.12491,183186671.0,43488,LAUNCHCOIN,0.17562,0.10816,0.14189000000000002,0.22262,0.10071,0.161665,0.29429,0.10071,0.1975,,,,,,,,,,,,,,,,,,
1749168000000,2025-06-06 23:59:59.999,LAUNCHCOIN,1d,0.14064,0.15391,0.1712,0.13129,155755319.0,44396,LAUNCHCOIN,0.17562,0.1146,0.14511,0.1865,0.10071,0.14360499999999998,0.29429,0.10071,0.1975,,,,,,,,,,,,,,,,,,
1749254400000,2025-06-07 23:59:59.999,LAUNCHCOIN,1d,0.15397,0.16048,0.18138,0.15291,103985121.0,34726,LAUNCHCOIN,0.18138,0.1146,0.14799,0.18547,0.10071,0.14309,0.29429,0.10071,0.1975,,,,,,,,,,,,,,,,,,
1749340800000,2025-06-08 23:59:59.999,LAUNCHCOIN,1d,0.16051,0.16438,0.21336,0.157,152580549.0,49682,LAUNCHCOIN,0.21336,0.1146,0.16398,0.21336,0.10071,0.15703499999999998,0.28286,0.10071,0.19178499999999998,,,,,,,,,,,,,,,,,,
1749427200000,2025-06-09 23:59:59.999,LAUNCHCOIN,1d,0.16406,0.19585,0.20278,0.16011,188873753.0,65746,LAUNCHCOIN,0.21336,0.12491,0.16913499999999998,0.21336,0.10816,0.16076000000000001,0.27241,0.10071,0.18656,,,,,,,,,,,,,,,,,,
1749513600000,2025-06-10 23:59:59.999,LAUNCHCOIN,1d,0.1956,0.23653,0.25649,0.18653,152864815.0,45995,LAUNCHCOIN,0.25649,0.13129,0.19389,0.25649,0.10816,0.18232500000000001,0.25649,0.10071,0.17859999999999998,,,,,,,,,,,,,,,,,,
1749600000000,2025-06-11 23:59:59.999,LAUNCHCOIN,1d,0.23636,0.20383,0.25556,0.202,173297543.0,56598,LAUNCHCOIN,0.25649,0.15291,0.2047,0.25649,0.1146,0.185545,0.25649,0.10071,0.17859999999999998,,,,,,,,,,,,,,,,,,
1749686400000,2025-06-12 23:59:59.999,LAUNCHCOIN,1d,0.20383,0.18541,0.23269,0.179,219178022.0,82077,LAUNCHCOIN,0.25649,0.157,0.206745,0.25649,0.1146,0.185545,0.25649,0.10071,0.17859999999999998,0.39229,0.10071,0.2465,,,,,,,,,,,,,,,
1749772800000,2025-06-13 23:59:59.999,LAUNCHCOIN,1d,0.18542,0.18086,0.1891,0.157,207648702.0,63400,LAUNCHCOIN,0.25649,0.157,0.206745,0.25649,0.1146,0.185545,0.25649,0.10071,0.17859999999999998,0.39229,0.10071,0.2465,,,,,,,,,,,,,,,
1749859200000,2025-06-14 23:59:59.999,LAUNCHCOIN,1d,0.18043,0.15745,0.18117,0.147,94527697.0,32139,LAUNCHCOIN,0.25649,0.147,0.201745,0.25649,0.12491,0.19069999999999998,0.25649,0.10071,0.17859999999999998,0.29429,0.10071,0.1975,,,,,,,,,,,,,,,
1749945600000,2025-06-15 23:59:59.999,LAUNCHCOIN,1d,0.15745,0.159,0.17321,0.1432,93162102.0,28484,LAUNCHCOIN,0.25556,0.1432,0.19938,0.25649,0.13129,0.19389,0.25649,0.10071,0.17859999999999998,0.29429,0.10071,0.1975,,,,,,,,,,,,,,,
1750032000000,2025-06-16 23:59:59.999,LAUNCHCOIN,1d,0.15908,0.13664,0.17359,0.13461,164034309.0,50626,LAUNCHCOIN,0.23269,0.13461,0.18365,0.25649,0.13461,0.19555,0.25649,0.10071,0.17859999999999998,0.29429,0.10071,0.1975,,,,,,,,,,,,,,,
1750118400000,2025-06-17 23:59:59.999,LAUNCHCOIN,1d,0.13681,0.1267,0.1394,0.11129,200926052.0,53158,LAUNCHCOIN,0.1891,0.11129,0.150195,0.25649,0.11129,0.18389,0.25649,0.10071,0.17859999999999998,0.29429,0.10071,0.1975,,,,,,,,,,,,,,,
