t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1739232000000,2025-02-11 23:59:59.999,LAYER,1d,0.96436,0.88506,1.0,0.7,94927396.0,74847,LAYER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739318400000,2025-02-12 23:59:59.999,LAYER,1d,0.88684,0.9692,1.39,0.8582,128732494.0,175622,LAYER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739404800000,2025-02-13 23:59:59.999,LAYER,1d,0.96918,0.82893,1.002,0.79905,28800521.0,63451,LAYER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739491200000,2025-02-14 23:59:59.999,LAYER,1d,0.82892,0.80262,0.8877,0.77077,13950150.0,29689,LAYER,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739577600000,2025-02-15 23:59:59.999,LAYER,1d,0.80263,0.74448,0.87529,0.71703,9011620.0,19267,LAYER,1.39,0.7,1.045,,,,,,,,,,,,,,,,,,,,,,,,
1739664000000,2025-02-16 23:59:59.999,LAYER,1d,0.74549,0.74377,0.77362,0.71103,5612429.0,11022,LAYER,1.39,0.71103,1.0505149999999999,,,,,,,,,,,,,,,,,,,,,,,,
1739750400000,2025-02-17 23:59:59.999,LAYER,1d,0.74361,0.70181,0.74361,0.67756,3409812.0,5543,LAYER,1.002,0.67756,0.83978,,,,,,,,,,,,,,,,,,,,,,,,
1739836800000,2025-02-18 23:59:59.999,LAYER,1d,0.70221,0.62266,0.71021,0.59695,3342910.0,5096,LAYER,0.8877,0.59695,0.742325,,,,,,,,,,,,,,,,,,,,,,,,
1739923200000,2025-02-19 23:59:59.999,LAYER,1d,0.62287,0.63608,0.66678,0.6073,1944724.0,3574,LAYER,0.87529,0.59695,0.73612,,,,,,,,,,,,,,,,,,,,,,,,
1740009600000,2025-02-20 23:59:59.999,LAYER,1d,0.63878,0.74736,0.7673,0.62423,4737802.0,5928,LAYER,0.77362,0.59695,0.6852849999999999,1.39,0.59695,0.9934749999999999,,,,,,,,,,,,,,,,,,,,,
1740096000000,2025-02-21 23:59:59.999,LAYER,1d,0.74475,0.6835,0.78075,0.68081,5633714.0,8799,LAYER,0.78075,0.59695,0.68885,1.39,0.59695,0.9934749999999999,,,,,,,,,,,,,,,,,,,,,
1740182400000,2025-02-22 23:59:59.999,LAYER,1d,0.68429,0.68128,0.70337,0.65045,2772627.0,5426,LAYER,0.78075,0.59695,0.68885,1.002,0.59695,0.7994749999999999,,,,,,,,,,,,,,,,,,,,,
1740268800000,2025-02-23 23:59:59.999,LAYER,1d,0.68066,0.66991,0.71113,0.64386,1094031.0,3425,LAYER,0.78075,0.6073,0.694025,0.8877,0.59695,0.742325,,,,,,,,,,,,,,,,,,,,,
1740355200000,2025-02-24 23:59:59.999,LAYER,1d,0.67118,0.68403,0.71725,0.63388,2238288.0,5186,LAYER,0.78075,0.62423,0.7024900000000001,0.87529,0.59695,0.73612,,,,,,,,,,,,,,,,,,,,,
1740441600000,2025-02-25 23:59:59.999,LAYER,1d,0.68757,0.7037,0.75255,0.62801,3995253.0,6137,LAYER,0.78075,0.62801,0.70438,0.78075,0.59695,0.68885,,,,,,,,,,,,,,,,,,,,,
1740528000000,2025-02-26 23:59:59.999,LAYER,1d,0.70225,0.77055,0.78937,0.70225,1938724.0,4531,LAYER,0.78937,0.62801,0.70869,0.78937,0.59695,0.69316,,,,,,,,,,,,,,,,,,,,,
1740614400000,2025-02-27 23:59:59.999,LAYER,1d,0.77127,0.79625,0.82169,0.73776,2408953.0,4622,LAYER,0.82169,0.62801,0.72485,0.82169,0.59695,0.70932,,,,,,,,,,,,,,,,,,,,,
1740700800000,2025-02-28 23:59:59.999,LAYER,1d,0.79615,0.82793,0.87257,0.7098,3803311.0,6286,LAYER,0.87257,0.62801,0.7502899999999999,0.87257,0.6073,0.739935,,,,,,,,,,,,,,,,,,,,,
1740787200000,2025-03-01 23:59:59.999,LAYER,1d,0.83096,0.81286,0.86617,0.78144,1136420.0,3289,LAYER,0.87257,0.62801,0.7502899999999999,0.87257,0.62423,0.7484,,,,,,,,,,,,,,,,,,,,,
1740873600000,2025-03-02 23:59:59.999,LAYER,1d,0.81215,0.8696,0.90775,0.79708,1474000.0,4935,LAYER,0.90775,0.70225,0.8049999999999999,0.90775,0.62801,0.7678799999999999,1.39,0.59695,0.9934749999999999,,,,,,,,,,,,,,,,,,
1740960000000,2025-03-03 23:59:59.999,LAYER,1d,0.8711,0.93583,1.0961,0.8387,4295004.0,11001,LAYER,1.0961,0.7098,0.90295,1.0961,0.62801,0.862055,1.39,0.59695,0.9934749999999999,,,,,,,,,,,,,,,,,,
1741046400000,2025-03-04 23:59:59.999,LAYER,1d,0.93601,0.93362,1.0233,0.85123,6544161.0,11712,LAYER,1.0961,0.7098,0.90295,1.0961,0.62801,0.862055,1.0961,0.59695,0.846525,,,,,,,,,,,,,,,,,,
1741132800000,2025-03-05 23:59:59.999,LAYER,1d,0.92929,0.97776,0.99826,0.87522,2303143.0,5268,LAYER,1.0961,0.78144,0.9387700000000001,1.0961,0.62801,0.862055,1.0961,0.59695,0.846525,,,,,,,,,,,,,,,,,,
1741219200000,2025-03-06 23:59:59.999,LAYER,1d,0.97722,0.84883,1.0929,0.83465,3583307.0,7903,LAYER,1.0961,0.79708,0.94659,1.0961,0.62801,0.862055,1.0961,0.59695,0.846525,,,,,,,,,,,,,,,,,,
1741305600000,2025-03-07 23:59:59.999,LAYER,1d,0.84602,0.77426,0.85058,0.76146,1638704.0,4011,LAYER,1.0961,0.76146,0.92878,1.0961,0.70225,0.8991750000000001,1.0961,0.59695,0.846525,,,,,,,,,,,,,,,,,,
1741392000000,2025-03-08 23:59:59.999,LAYER,1d,0.77035,0.78829,0.79656,0.73489,543516.0,2638,LAYER,1.0929,0.73489,0.913895,1.0961,0.7098,0.90295,1.0961,0.59695,0.846525,,,,,,,,,,,,,,,,,,
1741478400000,2025-03-09 23:59:59.999,LAYER,1d,0.78944,0.79015,0.83175,0.76877,2958792.0,5973,LAYER,1.0929,0.73489,0.913895,1.0961,0.7098,0.90295,1.0961,0.59695,0.846525,,,,,,,,,,,,,,,,,,
1741564800000,2025-03-10 23:59:59.999,LAYER,1d,0.78982,0.84938,0.8965,0.75986,4021166.0,8022,LAYER,1.0929,0.73489,0.913895,1.0961,0.73489,0.9154950000000001,1.0961,0.6073,0.8517,,,,,,,,,,,,,,,,,,
1741651200000,2025-03-11 23:59:59.999,LAYER,1d,0.85004,0.91765,0.94502,0.8414,3374995.0,7593,LAYER,0.94502,0.73489,0.839955,1.0961,0.73489,0.9154950000000001,1.0961,0.62423,0.8601650000000001,,,,,,,,,,,,,,,,,,
1741737600000,2025-03-12 23:59:59.999,LAYER,1d,0.91994,1.0588,1.0768,0.89816,3424659.0,8207,LAYER,1.0768,0.73489,0.905845,1.0961,0.73489,0.9154950000000001,1.0961,0.62801,0.862055,1.39,0.59695,0.9934749999999999,,,,,,,,,,,,,,,
1741824000000,2025-03-13 23:59:59.999,LAYER,1d,1.0586,1.1979,1.2355,1.0352,6617936.0,15161,LAYER,1.2355,0.75986,0.99768,1.2355,0.73489,0.985195,1.2355,0.62801,0.931755,1.39,0.59695,0.9934749999999999,,,,,,,,,,,,,,,
1741910400000,2025-03-14 23:59:59.999,LAYER,1d,1.1988,1.2176,1.2879,1.1243,4014521.0,11630,LAYER,1.2879,0.75986,1.0238800000000001,1.2879,0.73489,1.011395,1.2879,0.62801,0.957955,1.2879,0.59695,0.9424250000000001,,,,,,,,,,,,,,,
1741996800000,2025-03-15 23:59:59.999,LAYER,1d,1.2176,1.1575,1.2429,1.143,1476911.0,4887,LAYER,1.2879,0.8414,1.06465,1.2879,0.73489,1.011395,1.2879,0.62801,0.957955,1.2879,0.59695,0.9424250000000001,,,,,,,,,,,,,,,
1742083200000,2025-03-16 23:59:59.999,LAYER,1d,1.1584,1.1831,1.2413,1.115,2347729.0,9313,LAYER,1.2879,0.89816,1.09303,1.2879,0.73489,1.011395,1.2879,0.62801,0.957955,1.2879,0.59695,0.9424250000000001,,,,,,,,,,,,,,,
1742169600000,2025-03-17 23:59:59.999,LAYER,1d,1.1731,1.1082,1.1964,1.0987,961230.0,4479,LAYER,1.2879,1.0352,1.16155,1.2879,0.73489,1.011395,1.2879,0.70225,0.995075,1.2879,0.59695,0.9424250000000001,,,,,,,,,,,,,,,
1742256000000,2025-03-18 23:59:59.999,LAYER,1d,1.1086,0.99154,1.1099,0.97279,1695552.0,6664,LAYER,1.2879,0.97279,1.1303450000000002,1.2879,0.75986,1.0238800000000001,1.2879,0.7098,0.99885,1.2879,0.59695,0.9424250000000001,,,,,,,,,,,,,,,
1742342400000,2025-03-19 23:59:59.999,LAYER,1d,0.99175,0.95629,1.0514,0.91731,1235076.0,4114,LAYER,1.2429,0.91731,1.0801049999999999,1.2879,0.75986,1.0238800000000001,1.2879,0.7098,0.99885,1.2879,0.59695,0.9424250000000001,,,,,,,,,,,,,,,
1742428800000,2025-03-20 23:59:59.999,LAYER,1d,0.95635,1.0652,1.0784,0.93552,745840.0,3136,LAYER,1.2413,0.91731,1.079305,1.2879,0.8414,1.06465,1.2879,0.73489,1.011395,1.2879,0.6073,0.9476,,,,,,,,,,,,,,,
1742515200000,2025-03-21 23:59:59.999,LAYER,1d,1.0649,1.1862,1.2706,1.0472,2726556.0,8845,LAYER,1.2706,0.91731,1.093955,1.2879,0.89816,1.09303,1.2879,0.73489,1.011395,1.2879,0.62423,0.9560649999999999,,,,,,,,,,,,,,,
1742601600000,2025-03-22 23:59:59.999,LAYER,1d,1.188,1.0753,1.2659,1.0686,2138788.0,8080,LAYER,1.2706,0.91731,1.093955,1.2879,0.91731,1.102605,1.2879,0.73489,1.011395,1.2879,0.62801,0.957955,,,,,,,,,,,,,,,
1742688000000,2025-03-23 23:59:59.999,LAYER,1d,1.0736,1.0363,1.112,0.99371,1599782.0,5559,LAYER,1.2706,0.91731,1.093955,1.2879,0.91731,1.102605,1.2879,0.73489,1.011395,1.2879,0.62801,0.957955,,,,,,,,,,,,,,,
1742774400000,2025-03-24 23:59:59.999,LAYER,1d,1.0356,1.1409,1.1687,1.0096,1576821.0,5075,LAYER,1.2706,0.93552,1.10306,1.2706,0.91731,1.093955,1.2879,0.73489,1.011395,1.2879,0.62801,0.957955,,,,,,,,,,,,,,,
1742860800000,2025-03-25 23:59:59.999,LAYER,1d,1.1433,1.374,1.4441,1.1351,4111846.0,13315,LAYER,1.4441,0.99371,1.218905,1.4441,0.91731,1.180705,1.4441,0.73489,1.0894949999999999,1.4441,0.62801,1.036055,,,,,,,,,,,,,,,
