t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,LDO,1d,1.9322,1.9535,1.9711,1.9089,118561.9,2617,LDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,LDO,1d,1.954,1.9241,1.9732,1.9183,123248.0,2579,LDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,LDO,1d,1.9234,1.9583,2.013,1.8608,170827.4,2559,LDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,LDO,1d,1.9584,1.9144,1.9644,1.8929,216896.7,2621,LDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,LDO,1d,1.9124,1.8828,1.9369,1.8666,234915.2,2485,LDO,2.013,1.8608,1.9369,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,LDO,1d,1.8828,2.2855,2.2933,1.865,199647.2,2691,LDO,2.2933,1.8608,2.07705,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,LDO,1d,2.2928,2.3544,2.4808,2.1705,345108.4,2793,LDO,2.4808,1.8608,2.1708,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,LDO,1d,2.3513,2.314,2.4862,2.3054,205883.7,2673,LDO,2.4862,1.865,2.1756,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,LDO,1d,2.3146,2.1747,2.3457,2.1663,113968.2,2575,LDO,2.4862,1.865,2.1756,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,LDO,1d,2.1775,2.0604,2.2271,1.9855,219062.5,2759,LDO,2.4862,1.865,2.1756,2.4862,1.8608,2.1735,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,LDO,1d,2.0602,2.0311,2.0819,1.9812,172933.7,2662,LDO,2.4862,1.9812,2.2337000000000002,2.4862,1.8608,2.1735,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,LDO,1d,2.0279,2.0802,2.0979,1.9991,219425.9,2678,LDO,2.4862,1.9812,2.2337000000000002,2.4862,1.8608,2.1735,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,LDO,1d,2.0805,2.0499,2.1841,2.0266,224419.4,2730,LDO,2.3457,1.9812,2.16345,2.4862,1.865,2.1756,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,LDO,1d,2.0531,2.0209,2.0864,2.0098,197083.6,2666,LDO,2.2271,1.9812,2.10415,2.4862,1.865,2.1756,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,LDO,1d,2.0227,1.9953,2.0553,1.9799,166479.0,2551,LDO,2.1841,1.9799,2.082,2.4862,1.865,2.1756,,,,,,,,,,,,,,,,,,,,,
