t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1756684800000,2025-09-01 23:59:59.999,LINEA,1d,0.059604,0.043102,0.059604,0.039275,180999085.0,22206,LINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756771200000,2025-09-02 23:59:59.999,LINEA,1d,0.042899,0.042923,0.044479,0.04205,3621539.0,941,LINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756857600000,2025-09-03 23:59:59.999,LINEA,1d,0.035805,0.036287,0.036528,0.035,3455520.0,649,LINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756944000000,2025-09-04 23:59:59.999,LINEA,1d,0.030994,0.031118,0.031215,0.03,7969601.0,921,LINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757030400000,2025-09-05 23:59:59.999,LINEA,1d,0.026965,0.026629,0.027204,0.026266,9540520.0,945,LINEA,0.059604,0.026266,0.042935,,,,,,,,,,,,,,,,,,,,,,,,
1757116800000,2025-09-06 23:59:59.999,LINEA,1d,0.02805,0.028161,0.028351,0.0268,18286012.0,1091,LINEA,0.044479,0.026266,0.0353725,,,,,,,,,,,,,,,,,,,,,,,,
1757203200000,2025-09-07 23:59:59.999,LINEA,1d,0.030416,0.030191,0.031444,0.030103,4100027.0,653,LINEA,0.036528,0.026266,0.031397,,,,,,,,,,,,,,,,,,,,,,,,
1757289600000,2025-09-08 23:59:59.999,LINEA,1d,0.030442,0.029725,0.030786,0.029428,2104946.0,331,LINEA,0.031444,0.026266,0.028855,,,,,,,,,,,,,,,,,,,,,,,,
1757376000000,2025-09-09 23:59:59.999,LINEA,1d,0.028972,0.029402,0.029844,0.028556,9232188.0,938,LINEA,0.031444,0.026266,0.028855,,,,,,,,,,,,,,,,,,,,,,,,
1757462400000,2025-09-10 23:59:59.999,LINEA,1d,0.027596,0.027743,0.028167,0.027286,4089125.0,714,LINEA,0.031444,0.0268,0.029122000000000002,0.059604,0.026266,0.042935,,,,,,,,,,,,,,,,,,,,,
1757548800000,2025-09-11 23:59:59.999,LINEA,1d,0.023177,0.024111,0.02435,0.022252,70596814.0,4313,LINEA,0.031444,0.022252,0.026848,0.044479,0.022252,0.0333655,,,,,,,,,,,,,,,,,,,,,
1757635200000,2025-09-12 23:59:59.999,LINEA,1d,0.023352,0.024401,0.024648,0.0231,51985662.0,2634,LINEA,0.030786,0.022252,0.026519,0.036528,0.022252,0.02939,,,,,,,,,,,,,,,,,,,,,
1757721600000,2025-09-13 23:59:59.999,LINEA,1d,0.023024,0.022794,0.023216,0.022763,20983028.0,1230,LINEA,0.029844,0.022252,0.026048,0.031444,0.022252,0.026848,,,,,,,,,,,,,,,,,,,,,
1757808000000,2025-09-14 23:59:59.999,LINEA,1d,0.028586,0.0278,0.030026,0.027623,54291091.0,2736,LINEA,0.030026,0.022252,0.026139000000000003,0.031444,0.022252,0.026848,,,,,,,,,,,,,,,,,,,,,
1757894400000,2025-09-15 23:59:59.999,LINEA,1d,0.029529,0.032526,0.032859,0.029288,177809316.0,5486,LINEA,0.032859,0.022252,0.0275555,0.032859,0.022252,0.0275555,,,,,,,,,,,,,,,,,,,,,
1757980800000,2025-09-16 23:59:59.999,LINEA,1d,0.027576,0.028462,0.028637,0.027505,37615761.0,1943,LINEA,0.032859,0.022763,0.027811,0.032859,0.022252,0.0275555,,,,,,,,,,,,,,,,,,,,,
1758067200000,2025-09-17 23:59:59.999,LINEA,1d,0.025793,0.025264,0.02595,0.025253,24657979.0,1194,LINEA,0.032859,0.022763,0.027811,0.032859,0.022252,0.0275555,,,,,,,,,,,,,,,,,,,,,
1758153600000,2025-09-18 23:59:59.999,LINEA,1d,0.025759,0.026018,0.026313,0.02549,31101160.0,1081,LINEA,0.032859,0.025253,0.029056,0.032859,0.022252,0.0275555,,,,,,,,,,,,,,,,,,,,,
1758240000000,2025-09-19 23:59:59.999,LINEA,1d,0.027017,0.028252,0.028524,0.026998,56130480.0,3958,LINEA,0.032859,0.025253,0.029056,0.032859,0.022252,0.0275555,,,,,,,,,,,,,,,,,,,,,
1758326400000,2025-09-20 23:59:59.999,LINEA,1d,0.029527,0.02758,0.029784,0.027475,59576795.0,2655,LINEA,0.029784,0.025253,0.0275185,0.032859,0.022252,0.0275555,0.059604,0.022252,0.040928,,,,,,,,,,,,,,,,,,
1758412800000,2025-09-21 23:59:59.999,LINEA,1d,0.029098,0.031528,0.031923,0.029098,38861517.0,1934,LINEA,0.031923,0.025253,0.028588000000000002,0.032859,0.022763,0.027811,0.044479,0.022252,0.0333655,,,,,,,,,,,,,,,,,,
