t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,LINK,1d,6.2898,6.0777,6.511,6.074,143536.8,3147,LINK
1688688000000,2023-07-07 23:59:59.999,LINK,1d,6.0754,6.1561,6.2228,6.0304,117475.4,3126,LINK
1688774400000,2023-07-08 23:59:59.999,LINK,1d,6.1547,6.1922,6.2182,6.09,119763.2,3058,LINK
1688860800000,2023-07-09 23:59:59.999,LINK,1d,6.2015,6.1485,6.24,6.125,138822.3,2818,LINK
1688947200000,2023-07-10 23:59:59.999,LINK,1d,6.149,6.1683,6.3019,6.0224,160891.5,3254,LINK
1689033600000,2023-07-11 23:59:59.999,LINK,1d,6.1677,6.2031,6.2336,6.1175,105971.9,2898,LINK
1689120000000,2023-07-12 23:59:59.999,LINK,1d,6.2013,6.2507,6.3399,6.1864,86498.8,2633,LINK
1689206400000,2023-07-13 23:59:59.999,LINK,1d,6.2497,7.1163,7.1512,6.2136,44346.4,2561,LINK
1689292800000,2023-07-14 23:59:59.999,LINK,1d,7.13,6.9575,7.3464,6.6888,141496.6,3001,LINK
1689379200000,2023-07-15 23:59:59.999,LINK,1d,6.9581,6.9139,7.0187,6.8355,64410.5,2626,LINK
1689465600000,2023-07-16 23:59:59.999,LINK,1d,6.9145,6.6032,6.9188,6.5686,52647.7,2617,LINK
1689552000000,2023-07-17 23:59:59.999,LINK,1d,6.6004,7.1865,7.2505,6.44,219586.8,3160,LINK
1689638400000,2023-07-18 23:59:59.999,LINK,1d,7.1964,6.9131,7.3016,6.8,131567.4,2886,LINK
1689724800000,2023-07-19 23:59:59.999,LINK,1d,6.912,6.9096,7.0472,6.7775,79552.0,2784,LINK
1689811200000,2023-07-20 23:59:59.999,LINK,1d,6.9112,8.3506,8.4448,6.8879,165475.4,3422,LINK
1689897600000,2023-07-21 23:59:59.999,LINK,1d,8.3571,8.1316,8.4281,8.0465,125571.7,3021,LINK
1689984000000,2023-07-22 23:59:59.999,LINK,1d,8.128,7.8794,8.2496,7.769,53982.3,2729,LINK
1690070400000,2023-07-23 23:59:59.999,LINK,1d,7.8781,7.8877,8.0858,7.8315,41378.9,2620,LINK
1690156800000,2023-07-24 23:59:59.999,LINK,1d,7.8803,7.581,7.8826,7.4363,69501.4,2740,LINK
1690243200000,2023-07-25 23:59:59.999,LINK,1d,7.5789,7.3881,7.6392,7.3471,48166.7,2657,LINK
1690329600000,2023-07-26 23:59:59.999,LINK,1d,7.3883,7.7434,7.8262,7.2827,77181.1,2764,LINK
1690416000000,2023-07-27 23:59:59.999,LINK,1d,7.7406,7.9879,8.1175,7.6917,112312.0,2680,LINK
1690502400000,2023-07-28 23:59:59.999,LINK,1d,7.9848,7.783,8.0886,7.7828,66590.4,2722,LINK
1690588800000,2023-07-29 23:59:59.999,LINK,1d,7.7651,7.8436,7.9,7.7241,40717.9,2602,LINK
1690675200000,2023-07-30 23:59:59.999,LINK,1d,7.8454,7.5571,7.8647,7.3705,64644.0,2713,LINK
1690761600000,2023-07-31 23:59:59.999,LINK,1d,7.5464,7.5492,7.7122,7.4431,63135.9,2598,LINK
1690848000000,2023-08-01 23:59:59.999,LINK,1d,7.5424,7.6315,7.6432,7.2852,61619.2,2598,LINK
1690934400000,2023-08-02 23:59:59.999,LINK,1d,7.6461,7.3506,7.7179,7.3342,72900.4,2638,LINK
1691020800000,2023-08-03 23:59:59.999,LINK,1d,7.3457,7.1204,7.4093,7.0675,225903.5,3292,LINK
1691107200000,2023-08-04 23:59:59.999,LINK,1d,7.1227,7.1407,7.2504,7.0065,162579.7,3270,LINK
1691193600000,2023-08-05 23:59:59.999,LINK,1d,7.1377,7.2274,7.2423,7.0975,44288.5,2614,LINK
1691280000000,2023-08-06 23:59:59.999,LINK,1d,7.2243,7.0968,7.2749,7.0728,91033.5,2840,LINK
1691366400000,2023-08-07 23:59:59.999,LINK,1d,7.0979,7.3267,7.3916,6.9571,98198.4,3065,LINK
1691452800000,2023-08-08 23:59:59.999,LINK,1d,7.3217,7.4497,7.5224,7.2876,92809.5,2838,LINK
1691539200000,2023-08-09 23:59:59.999,LINK,1d,7.4505,7.6801,7.8942,7.3773,61374.6,2696,LINK
1691625600000,2023-08-10 23:59:59.999,LINK,1d,7.68,7.6162,7.7224,7.5596,47001.3,2607,LINK
1691712000000,2023-08-11 23:59:59.999,LINK,1d,7.6179,7.4919,7.6435,7.4057,35036.5,2595,LINK
1691798400000,2023-08-12 23:59:59.999,LINK,1d,7.4865,7.4398,7.5391,7.3798,57407.7,2626,LINK
1691884800000,2023-08-13 23:59:59.999,LINK,1d,7.4424,7.3735,7.5566,7.3128,65301.5,2774,LINK
1691971200000,2023-08-14 23:59:59.999,LINK,1d,7.3563,7.4087,7.6262,7.3093,59436.6,2723,LINK
1692057600000,2023-08-15 23:59:59.999,LINK,1d,7.4007,7.0394,7.4311,6.8044,84045.6,2792,LINK
1692144000000,2023-08-16 23:59:59.999,LINK,1d,7.0351,6.7603,7.0671,6.6088,160146.0,3122,LINK
1692230400000,2023-08-17 23:59:59.999,LINK,1d,6.7563,6.1886,6.8635,5.5638,257497.5,3622,LINK
1692316800000,2023-08-18 23:59:59.999,LINK,1d,6.1658,6.1684,6.2792,6.0845,308164.3,3628,LINK
1692403200000,2023-08-19 23:59:59.999,LINK,1d,6.1679,6.177,6.2624,6.1142,147217.9,2847,LINK
1692489600000,2023-08-20 23:59:59.999,LINK,1d,6.1755,6.2168,6.23,6.1153,122854.6,2809,LINK
1692576000000,2023-08-21 23:59:59.999,LINK,1d,6.2169,6.1702,6.2538,6.0317,76636.3,2291,LINK
1692662400000,2023-08-22 23:59:59.999,LINK,1d,6.1781,6.1094,6.2513,5.8924,75163.9,2399,LINK
1692748800000,2023-08-23 23:59:59.999,LINK,1d,6.1146,6.3477,6.4274,6.1016,52925.0,2295,LINK
1692835200000,2023-08-24 23:59:59.999,LINK,1d,6.3494,6.0808,6.3633,5.9906,65844.8,2374,LINK
1692921600000,2023-08-25 23:59:59.999,LINK,1d,6.078,6.009,6.0799,5.9226,73596.5,2357,LINK
1693008000000,2023-08-26 23:59:59.999,LINK,1d,6.0079,6.0023,6.0388,5.9544,32872.4,2105,LINK
1693094400000,2023-08-27 23:59:59.999,LINK,1d,6.0024,6.0261,6.0412,5.9509,31375.5,2035,LINK
1693180800000,2023-08-28 23:59:59.999,LINK,1d,6.0201,5.9796,6.027,5.8653,61755.0,1912,LINK
1693267200000,2023-08-29 23:59:59.999,LINK,1d,5.9808,6.1919,6.3134,5.8395,84114.7,1610,LINK
1693353600000,2023-08-30 23:59:59.999,LINK,1d,6.1932,5.9227,6.1943,5.887,53417.1,1450,LINK
1693440000000,2023-08-31 23:59:59.999,LINK,1d,5.9168,5.8745,6.0561,5.7192,100247.4,2024,LINK
1693526400000,2023-09-01 23:59:59.999,LINK,1d,5.8728,5.9349,6.0273,5.8161,110930.3,1981,LINK
1693612800000,2023-09-02 23:59:59.999,LINK,1d,5.9322,5.9677,5.9962,5.8894,56405.6,1907,LINK
1693699200000,2023-09-03 23:59:59.999,LINK,1d,5.9675,6.0216,6.0587,5.9447,57679.3,2007,LINK
1693785600000,2023-09-04 23:59:59.999,LINK,1d,6.0254,6.0076,6.1481,5.9464,68365.2,2046,LINK
1693872000000,2023-09-05 23:59:59.999,LINK,1d,6.0115,6.1346,6.1484,5.9093,81266.2,1950,LINK
1693958400000,2023-09-06 23:59:59.999,LINK,1d,6.1276,6.2983,6.3362,6.109,99338.6,1949,LINK
1694044800000,2023-09-07 23:59:59.999,LINK,1d,6.2965,6.3939,6.4717,6.1889,138186.0,2027,LINK
1694131200000,2023-09-08 23:59:59.999,LINK,1d,6.3896,6.2843,6.3996,6.1523,28493.9,1976,LINK
1694217600000,2023-09-09 23:59:59.999,LINK,1d,6.2822,6.1675,6.2931,6.1615,17247.7,2000,LINK
1694304000000,2023-09-10 23:59:59.999,LINK,1d,6.1668,6.0113,6.1668,5.9549,98972.7,2240,LINK
1694390400000,2023-09-11 23:59:59.999,LINK,1d,6.0131,5.8236,6.0288,5.7377,128354.7,2038,LINK
1694476800000,2023-09-12 23:59:59.999,LINK,1d,5.8255,5.9551,6.0689,5.8051,144246.9,2015,LINK
1694563200000,2023-09-13 23:59:59.999,LINK,1d,5.9565,6.0146,6.0639,5.9259,87410.4,2073,LINK
1694649600000,2023-09-14 23:59:59.999,LINK,1d,6.0151,6.15,6.2127,6.0031,111890.6,2038,LINK
1694736000000,2023-09-15 23:59:59.999,LINK,1d,6.1592,6.3604,6.3716,6.1053,78551.7,1995,LINK
1694822400000,2023-09-16 23:59:59.999,LINK,1d,6.3618,6.278,6.4163,6.1857,57199.8,2003,LINK
1694908800000,2023-09-17 23:59:59.999,LINK,1d,6.2714,6.1412,6.2714,6.0488,55487.3,1984,LINK
1694995200000,2023-09-18 23:59:59.999,LINK,1d,6.1407,6.5617,6.8194,6.1069,149940.8,2072,LINK
1695081600000,2023-09-19 23:59:59.999,LINK,1d,6.5632,6.8404,6.954,6.5193,112404.7,1912,LINK
1695168000000,2023-09-20 23:59:59.999,LINK,1d,6.8465,6.9091,7.0415,6.7457,171555.7,1944,LINK
1695254400000,2023-09-21 23:59:59.999,LINK,1d,6.9096,6.6694,6.9484,6.6136,131453.1,1908,LINK
1695340800000,2023-09-22 23:59:59.999,LINK,1d,6.664,6.9568,6.969,6.6029,54104.1,1898,LINK
