t,timestamp,s,i,open,close,high,low,volume,n,asset
1718841600000,2024-06-20 23:59:59.999,LISTA,1d,0.6807,0.6727,0.7259,0.6361,0.0,0,LISTA
1718928000000,2024-06-21 23:59:59.999,LISTA,1d,0.6727,0.6477,0.8565,0.6277,0.0,0,LISTA
1719014400000,2024-06-22 23:59:59.999,LISTA,1d,0.6478,0.6168,0.6976,0.5485,0.0,0,LISTA
1719100800000,2024-06-23 23:59:59.999,LISTA,1d,0.6169,0.5702,0.6554,0.5558,0.0,0,LISTA
1719187200000,2024-06-24 23:59:59.999,LISTA,1d,0.5703,0.6532,0.6785,0.5426,0.0,0,LISTA
1719273600000,2024-06-25 23:59:59.999,LISTA,1d,0.6532,0.7209,0.7679,0.6466,0.0,0,LISTA
1719360000000,2024-06-26 23:59:59.999,LISTA,1d,0.7209,0.7922,0.8285,0.6749,0.0,0,LISTA
1719446400000,2024-06-27 23:59:59.999,LISTA,1d,0.7921,0.716,0.8377,0.6915,0.0,0,LISTA
1719532800000,2024-06-28 23:59:59.999,LISTA,1d,0.7134,0.67053,0.75463,0.66232,1510385.0,1521,LISTA
1719619200000,2024-06-29 23:59:59.999,LISTA,1d,0.66908,0.64096,0.69195,0.63213,1462191.0,1858,LISTA
1719705600000,2024-06-30 23:59:59.999,LISTA,1d,0.63944,0.71288,0.7265,0.62958,1301593.0,1858,LISTA
1719792000000,2024-07-01 23:59:59.999,LISTA,1d,0.71452,0.669,0.74564,0.66721,1779854.0,1966,LISTA
1719878400000,2024-07-02 23:59:59.999,LISTA,1d,0.66881,0.65984,0.67724,0.63581,1711849.0,2240,LISTA
1719964800000,2024-07-03 23:59:59.999,LISTA,1d,0.66166,0.61187,0.66879,0.60305,1245889.0,1727,LISTA
1720051200000,2024-07-04 23:59:59.999,LISTA,1d,0.61217,0.50772,0.61466,0.50364,2063961.0,1901,LISTA
1720137600000,2024-07-05 23:59:59.999,LISTA,1d,0.50609,0.48285,0.50888,0.45275,2434588.0,1967,LISTA
1720224000000,2024-07-06 23:59:59.999,LISTA,1d,0.48436,0.54847,0.55409,0.47132,1450233.0,1897,LISTA
1720310400000,2024-07-07 23:59:59.999,LISTA,1d,0.55042,0.4609,0.55508,0.45862,2503068.0,2038,LISTA
1720396800000,2024-07-08 23:59:59.999,LISTA,1d,0.46098,0.50323,0.51424,0.4345,2302089.0,1924,LISTA
1720483200000,2024-07-09 23:59:59.999,LISTA,1d,0.5032,0.508,0.52916,0.49546,1632816.0,1816,LISTA
1720569600000,2024-07-10 23:59:59.999,LISTA,1d,0.50767,0.51977,0.57631,0.49952,1302278.0,1925,LISTA
1720656000000,2024-07-11 23:59:59.999,LISTA,1d,0.51918,0.49986,0.53938,0.49569,891488.0,1921,LISTA
1720742400000,2024-07-12 23:59:59.999,LISTA,1d,0.50216,0.52771,0.54004,0.48471,532886.0,1727,LISTA
1720828800000,2024-07-13 23:59:59.999,LISTA,1d,0.52742,0.52028,0.55204,0.51057,582179.0,1798,LISTA
1720915200000,2024-07-14 23:59:59.999,LISTA,1d,0.52054,0.5732,0.57709,0.51346,713074.0,1819,LISTA
1721001600000,2024-07-15 23:59:59.999,LISTA,1d,0.56556,0.59797,0.60322,0.55252,1005450.0,1802,LISTA
1721088000000,2024-07-16 23:59:59.999,LISTA,1d,0.59809,0.56451,0.60287,0.53708,1268638.0,1790,LISTA
1721174400000,2024-07-17 23:59:59.999,LISTA,1d,0.56509,0.56107,0.58105,0.54559,689333.0,1607,LISTA
1721260800000,2024-07-18 23:59:59.999,LISTA,1d,0.56207,0.56285,0.58131,0.53087,788244.0,1569,LISTA
1721347200000,2024-07-19 23:59:59.999,LISTA,1d,0.56468,0.55258,0.56576,0.51713,545122.0,1993,LISTA
