t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1766361600000,2025-12-22 23:59:59.999,LIT,1d,3.9955,3.8902,4.4364,2.8,4316309.0,32795,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766448000000,2025-12-23 23:59:59.999,LIT,1d,3.8902,4.1633,4.1633,3.89,137776.0,1654,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766534400000,2025-12-24 23:59:59.999,LIT,1d,3.6821,3.6121,3.7606,3.539,594948.0,6499,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766620800000,2025-12-25 23:59:59.999,LIT,1d,3.5107,3.4882,3.5489,3.488,132524.0,2008,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766707200000,2025-12-26 23:59:59.999,LIT,1d,3.4356,3.4467,3.528,3.4194,428435.0,3131,LIT,4.4364,2.8,3.6182,,,,,,,,,,,,,,,,,,,,,,,,
1766793600000,2025-12-27 23:59:59.999,LIT,1d,3.3739,3.4476,3.4853,3.3704,226475.0,4501,LIT,4.1633,3.3704,3.76685,,,,,,,,,,,,,,,,,,,,,,,,
1766880000000,2025-12-28 23:59:59.999,LIT,1d,3.4336,3.3575,3.4369,3.3499,151556.0,3539,LIT,3.7606,3.3499,3.55525,,,,,,,,,,,,,,,,,,,,,,,,
1766966400000,2025-12-29 23:59:59.999,LIT,1d,3.7197,3.6991,3.8311,3.5966,640869.0,8795,LIT,3.8311,3.3499,3.5905,,,,,,,,,,,,,,,,,,,,,,,,
1767052800000,2025-12-30 23:59:59.999,LIT,1d,3.3262,3.1302,3.4124,3.13,929578.0,8987,LIT,3.8311,3.13,3.48055,,,,,,,,,,,,,,,,,,,,,,,,
1767139200000,2025-12-31 23:59:59.999,LIT,1d,2.6607,2.6391,2.7288,2.587,2579210.0,13197,LIT,3.8311,2.587,3.2090500000000004,4.4364,2.587,3.5117000000000003,,,,,,,,,,,,,,,,,,,,,
1767225600000,2026-01-01 23:59:59.999,LIT,1d,2.4964,2.5186,2.5449,2.3417,4965684.0,14500,LIT,3.8311,2.3417,3.0864000000000003,4.1633,2.3417,3.2524999999999995,,,,,,,,,,,,,,,,,,,,,
1767312000000,2026-01-02 23:59:59.999,LIT,1d,2.6842,2.6609,2.7434,2.6501,990427.0,6946,LIT,3.8311,2.3417,3.0864000000000003,3.8311,2.3417,3.0864000000000003,,,,,,,,,,,,,,,,,,,,,
1767398400000,2026-01-03 23:59:59.999,LIT,1d,2.686,2.7135,2.7622,2.6443,1678304.0,4870,LIT,3.4124,2.3417,2.8770499999999997,3.8311,2.3417,3.0864000000000003,,,,,,,,,,,,,,,,,,,,,
1767484800000,2026-01-04 23:59:59.999,LIT,1d,2.6272,2.6752,2.704,2.5922,1013139.0,5759,LIT,2.7622,2.3417,2.5519499999999997,3.8311,2.3417,3.0864000000000003,,,,,,,,,,,,,,,,,,,,,
1767571200000,2026-01-05 23:59:59.999,LIT,1d,2.6719,2.7061,2.8839,2.6299,4807655.0,14380,LIT,2.8839,2.3417,2.6128,3.8311,2.3417,3.0864000000000003,,,,,,,,,,,,,,,,,,,,,
1767657600000,2026-01-06 23:59:59.999,LIT,1d,3.0429,3.0565,3.1039,2.9662,630530.0,2877,LIT,3.1039,2.5922,2.8480499999999997,3.8311,2.3417,3.0864000000000003,,,,,,,,,,,,,,,,,,,,,
1767744000000,2026-01-07 23:59:59.999,LIT,1d,3.1514,3.0701,3.1529,3.0194,1581181.0,5579,LIT,3.1529,2.5922,2.87255,3.8311,2.3417,3.0864000000000003,,,,,,,,,,,,,,,,,,,,,
1767830400000,2026-01-08 23:59:59.999,LIT,1d,3.146,3.1307,3.1983,3.1011,1403840.0,6058,LIT,3.1983,2.5922,2.89525,3.4124,2.3417,2.8770499999999997,,,,,,,,,,,,,,,,,,,,,
1767916800000,2026-01-09 23:59:59.999,LIT,1d,3.0673,3.0389,3.1,2.9759,1044168.0,4433,LIT,3.1983,2.6299,2.9141000000000004,3.1983,2.3417,2.77,,,,,,,,,,,,,,,,,,,,,
1768003200000,2026-01-10 23:59:59.999,LIT,1d,2.9751,2.845,2.9751,2.8432,1069056.0,3456,LIT,3.1983,2.8432,3.02075,3.1983,2.3417,2.77,4.4364,2.3417,3.38905,,,,,,,,,,,,,,,,,,
1768089600000,2026-01-11 23:59:59.999,LIT,1d,2.6265,2.6462,2.6681,2.6114,634687.0,2849,LIT,3.1983,2.6114,2.90485,3.1983,2.5922,2.89525,4.1633,2.3417,3.2524999999999995,,,,,,,,,,,,,,,,,,
