t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,LTC,1d,98.145,97.784,98.441,96.533,4850.97,2774,LTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,LTC,1d,97.718,95.04,98.351,94.736,4099.77,2682,LTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,LTC,1d,95.122,96.703,97.769,92.431,6294.39,2883,LTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,LTC,1d,96.713,96.719,98.192,95.544,6766.38,2725,LTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,LTC,1d,96.694,96.183,97.856,94.247,3886.4,2552,LTC,98.441,92.431,95.436,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,LTC,1d,96.191,101.92,104.24,95.628,3745.05,2599,LTC,104.24,92.431,98.3355,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,LTC,1d,101.88,95.103,103.56,92.405,6897.13,2783,LTC,104.24,92.405,98.32249999999999,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,LTC,1d,94.974,94.735,95.706,93.889,3431.84,2630,LTC,104.24,92.405,98.32249999999999,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,LTC,1d,94.758,92.874,95.289,91.957,3571.47,2631,LTC,104.24,91.957,98.0985,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,LTC,1d,92.831,92.185,93.623,89.432,5442.13,2662,LTC,104.24,89.432,96.836,104.24,89.432,96.836,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,LTC,1d,92.166,91.54,92.917,89.698,5423.58,2740,LTC,103.56,89.432,96.49600000000001,104.24,89.432,96.836,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,LTC,1d,91.516,91.978,94.113,91.465,5473.37,2722,LTC,95.706,89.432,92.569,104.24,89.432,96.836,,,,,,,,,,,,,,,,,,,,,
1689811200000,2023-07-20 23:59:59.999,LTC,1d,91.96,92.367,94.946,91.485,4865.91,2709,LTC,95.289,89.432,92.3605,104.24,89.432,96.836,,,,,,,,,,,,,,,,,,,,,
1689897600000,2023-07-21 23:59:59.999,LTC,1d,92.359,93.995,94.682,91.747,5336.78,2705,LTC,94.946,89.432,92.189,104.24,89.432,96.836,,,,,,,,,,,,,,,,,,,,,
1689984000000,2023-07-22 23:59:59.999,LTC,1d,94.075,92.073,96.271,91.381,3319.72,2476,LTC,96.271,89.698,92.9845,104.24,89.432,96.836,,,,,,,,,,,,,,,,,,,,,
1690070400000,2023-07-23 23:59:59.999,LTC,1d,92.078,93.095,93.531,91.514,3761.85,2642,LTC,96.271,91.381,93.826,103.56,89.432,96.49600000000001,,,,,,,,,,,,,,,,,,,,,
1690156800000,2023-07-24 23:59:59.999,LTC,1d,93.115,89.102,93.354,87.005,5517.04,2776,LTC,96.271,87.005,91.638,96.271,87.005,91.638,,,,,,,,,,,,,,,,,,,,,
1690243200000,2023-07-25 23:59:59.999,LTC,1d,89.06,89.42,90.152,88.539,4389.23,2698,LTC,96.271,87.005,91.638,96.271,87.005,91.638,,,,,,,,,,,,,,,,,,,,,
1690329600000,2023-07-26 23:59:59.999,LTC,1d,89.392,90.578,91.054,88.437,5973.25,2785,LTC,96.271,87.005,91.638,96.271,87.005,91.638,,,,,,,,,,,,,,,,,,,,,
1690416000000,2023-07-27 23:59:59.999,LTC,1d,90.6,90.581,91.934,89.616,6249.53,2671,LTC,93.531,87.005,90.268,96.271,87.005,91.638,104.24,87.005,95.6225,,,,,,,,,,,,,,,,,,
1690502400000,2023-07-28 23:59:59.999,LTC,1d,90.543,91.401,91.977,90.501,4023.52,2637,LTC,93.354,87.005,90.17949999999999,96.271,87.005,91.638,104.24,87.005,95.6225,,,,,,,,,,,,,,,,,,
1690588800000,2023-07-29 23:59:59.999,LTC,1d,91.391,94.357,94.853,90.854,3722.73,2619,LTC,94.853,88.437,91.645,96.271,87.005,91.638,104.24,87.005,95.6225,,,,,,,,,,,,,,,,,,
1690675200000,2023-07-30 23:59:59.999,LTC,1d,94.492,93.98,95.984,91.507,7873.56,2707,LTC,95.984,88.437,92.2105,96.271,87.005,91.638,104.24,87.005,95.6225,,,,,,,,,,,,,,,,,,
